CGV	CGV/SL
등	등/NNB
영화관	영화관/NNG
여전히	여전히/MAG
장애인	장애인/NNG
배려	배려/NNG
부족	부족/NNG

국내	국내/NNG
극장의	극장/NNG+의/JKG
편의시설과	편의시설/NNG+과/JC
한국영화	한국/NNP+영화/NNG
자막상영	자막상영/NNG
등	등/NNB
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
배려정책이	배려정책/NNG+이/JKS
여전히	여전히/MAG
부족한	부족하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

15일	15/SN+일/NNB
국회	국회/NNG
문화체육관광방송통신위원회	문화체육관광방송통신/NNP+위원회/NNG
김윤덕(민주통합당)의원이	김윤덕/NNP+(/SS+민주통합당/NNP+)/SS+의원/NNG+이/JKS
문화체육관광부와	문화체육관광부/NNG+와/JC
영화진흥위원회	영화진흥위원회/NNG
등으로부터	등/NNB+으로부터/JKB
제출받은	제출/NNG+받/VV+은/ETM
자료에	자료/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
올해	올해/NNG
‘영화관의	‘/SL+영화관/NNG+의/JKG
장애인시설	장애인시설/NNG
위반현황’은	위반현황/NNG+’/SN+은/JX
CGV가	CGV/SL+가/JKS
18건-롯데시네마가	18/SN+건/NNB+-/SO+롯데시네마/NNP+가/JKS
16건	16/SN+건/NNB
등	등/NNB
총	총/MM
75건으로	75/SN+건/NNB+으로/JKB
집계됐다	집계되/VV+었/EP+다/EF

위반사항으로는	위반사항/NNG+으로/JKB+는/JX
장애인	장애인/NNG
안내시설	안내시설/NNG
미설치(57건),	미설치/NNG+(/SS+57/SN+건/NNB+)/SS+,/SP
접근로	접근/NNG+로/JKB
출입시설	출입시설/NNG
미비(49건)를	미비/NNG+(/SS+49/SN+건/NNB+)/SS+를/JKO
비롯해	비롯하/VV+여/EC
위생시설	위생시설/NNG
부적합(39건),	부적하/VA+ㅂ/EF+(/SS+39/SN+건/NNB+)/SS+,/SP
전용주차구역	전용주차구역/NNG
미비(30건)	미비/NNG+(/SS+30/SN+건/NNB+)/SS
등이	등/NNB+이/JKS
지적됐다	지적되/VV+었/EP+다/EF

영화관	영화관/NNG
장애인시설	장애인시설/NNG
위반현황	위반현황/NNG

ⓒ김윤덕	ⓒ/SL+김윤덕/NNP
의원실	의원실/NNG
특히	특히/MAG
장애인	장애인/NNG
열람석이	열람석/NNG+이/JKS
아예	아예/MAG
마련되지	마련되/VV+지/EC
않았거나	않/VX+았/EP+거나/EC
전용	전용/NNG
화장실이	화장실/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
형식적으로	형식적/NNG+으로/JKB
시설을	시설/NNG+을/JKO
마련해	마련하/VV+여/EC
실제로	실제로/MAG
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
경우도	경우/NNG+도/JX
있었다	있/VA+었/EP+다/EF

또한	또한/MAG
김	김/NNP
의원이	의원/NNG+이/JKS
최근	최근/NNG
대표발의한	대표/NNG+발의하/VV+ㄴ/ETM
‘청각장애인을	‘/SL+청각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
한국영화	한국/NNP+영화/NNG
자막상영’	자막상영/NNG+’/SL
현황도	현황/NNG+도/JX
여전히	여전히/MAG
미비한	미비하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

한국영화	한국/NNP+영화/NNG
한글자막	한글자막/NNG
상영관수는	상영관수/NNG+는/JX
매년	매년/MAG
소폭	소폭/NNG
증가하는	증가하/VV+는/ETM
추세지만,	추세/NNG+이/VCP+지만/EC+,/SP
실제	실제/NNG
자막영화	자막영화/NNG
제작편수와	제작/NNG+편/NNB+수/NNG+와/JC
상영	상영/NNG
횟수는	횟수/NNG+는/JX
오히려	오히려/MAG
감소한	감소하/VV+ㄴ/ETM
상황	상황/NNG

지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
총	총/MM
15편의	15/SN+편/NNB+의/JKG
자막영화가	자막영화/NNG+가/JKS
제작돼	제작되/VV+어/EC
9개	9/SN+개/NNB
극장에서	극장/NNG+에서/JKB
280회	280/SN+회/NNB
상영되다가	상영되/VV+다가/EC
2008년에는	2008/SN+년/NNB+에/JKB+는/JX
13편의	13/SN+편/NNB+의/JKG
영화가	영화/NNG+가/JKS
13개관에서	13/SN+개/NNB+관/XSN+에서/JKB
482회	482/SN+회/NNB
상영된데	상영되/VV+ㄴ/ETM+데/NNB
반해,	반하/VV+여/EC+,/SP
지난해에는	지난해/NNG+에/JKB+는/JX
7편의	7/SN+편/NNB+의/JKG
영화만	영화/NNG+만/JX
제작돼	제작되/VV+어/EC
226회	226/SN+회/NNB
상영	상영/NNG
수준에	수준/NNG+에/JKB
머물고	머물/VV+고/EC
말았다	말/VX+았/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
“장애인은	“/SL+장애인/NNG+은/JX
위한	위하/VV+ㄴ/ETM
영화관	영화관/NNG
시설이	시설/NNG+이/JKS
아직도	아직/MAG+도/JX
매우	매우/MAG
열악한	열악하/VA+ㄴ/ETM
수준”이라며	수준”/NNG+이/VCP+라며/EC
“이번	“/SL+이번/NNG
적발	적발/NNG
내용은	내용/NNG+은/JX
일부	일부/NNG
실태조사만	실태조사/NNG+만/JX
이뤄진	이루어지/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
점검을	점검/NNG+을/JKO
통해	통하/VV+여/EC
시정	시정/NNG
조치해	조치하/VV+여/EC
나가야	나가/VX+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

한편,	한편/NNG+,/SP
김	김/NNP
의원은	의원/NNG+은/JX
청각장애인의	청각장애인/NNG+의/JKG
문화향유권	문화향유권/NNP
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
‘수화·자막·화면해설	‘/SL+수화/NNG+·/SP+자막/NNG+·/SP+화면해설/NNG
등을	등/NNB+을/JKO
이용한	이용하/VV+ㄴ/ETM
한국영화의	한국/NNP+영화/NNG+의/JKG
상영을	상영/NNG+을/JKO
일정기간	일정기간/NNG
의무화’하는	의무화’하/VV+는/ETM
내용의	내용/NNG+의/JKG
'영화	'/SS+영화/NNG
및	및/MAG
비디오물의	비디오물/NNG+의/JKG
진흥에	진흥/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
일부개정	일부개정/NNG
법률안'을	법률안/NNG+'/SS+을/JKO
지난달	지난달/NNG
국회에	국회/NNG+에/JKB
제출한	제출하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC
