진정한	진정하/VA+ㄴ/ETM
자유는	자유/NNG+는/JX
휠체어	휠체어/NNG
잠수에	잠수/NNG+에/JKB
있었다	있/VA+었/EP+다/EF

버릴	버리/VV+ㄹ/ETM
것	것/NNB
버리고	버리/VV+고/EC
열	열/VV+ㄹ/ETM
것	것/NNB
열면	열/VV+면/EC
보일	보이/VV+ㄹ/ETM
것이	것/NNB+이/JKS
보인다	보일/VV+ㄴ다/EF

수	수/NNP
오스틴,	오스틴/NNP+,/SP
천재	천재/NNG
아티스트인	아티스트/NNG+이/VCP+ㄴ/ETM
그녀가	그녀/NP+가/JKS
기존의	기존/NNG+의/JKG
것들을	것/NNB+들/XSN+을/JKO
버렸을	버리/VV+었/EP+을/ETM
때	때/NNG
진정	진정/NNG
보아야	보/VV+아야/EC
할	하/VX+ㄹ/ETM
것이	것/NNB+이/JKS
눈에	눈/NNG+에/JKB
들어왔다	들어오/VV+았/EP+다/EC

휠체어	휠체어/NNG

수	수/NNP
오스틴,	오스틴/NNP+,/SP
그녀는	그녀/NP+는/JX
멀티미디어와	멀티미디어/NNG+와/JC
설치	설치/NNG
예술가이다	예술가/NNG+이/VCP+다/EC

그녀는	그녀/NP+는/JX
수많은	수많/VA+은/ETM
상을	상/NNG+을/JKO
받은	받/VV+은/ETM
공인된	공인되/VV+ㄴ/ETM
예술인이다	예술인/NNG+이/VCP+다/EC

그녀는	그녀/NP+는/JX
플레이마우스	플레이마우스/NNP
대학에서	대학/NNG+에서/JKB
최우등	최우등/NNG
회화상을	회화상/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

그리고	그리고/MAJ
예술을	예술/NNG+을/JKO
탁월한	탁월하/VA+ㄴ/ETM
경지로	경지/NNG+로/JKB
이끄는	이끌/VV+는/ETM
사람에게	사람/NNG+에게/JKB
주어지는	주어지/VV+는/ETM
나탈리	나탈리/NNP
시스터	시스터/NNG
상을	상/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

그리고	그리고/MAJ
나탈리에서	나탈리/NNP+에서/JKB
전시회를	전시회/NNG+를/JKO
갖기도	갖/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

그녀는	그녀/NP+는/JX
휠체어에	휠체어/NNG+에/JKB
대해	대하/VV+여/EC
분석의	분석/NNG+의/JKG
메스를	메스/NNG+를/JKO
들이댔다	들이댔/VV+다/EF

그저	그저/MAG
장애인들의	장애인/NNG+들/XSN+의/JKG
이동을	이동/NNG+을/JKO
돕는	돕/VV+는/ETM
바퀴	바퀴/NNG
