권력의	권력/NNG+의/JKG
카르텔로	카르텔로/NNP
폭력	폭력/NNG
비호하려는	비호하/VV+려는/ETM
그들	그/NP+들/XSN

PD수첩	PD/SL+수첩/NNG
방송을	방송/NNG+을/JKO
보고	보/VV+고/EC
인화학교	인화학교/NNG
홈페이지에	홈페이지/NNG+에/JKB
항의의	항의/NNG+의/JKG
글을	글/NNG+을/JKO
남겼었다	남기/VV+었었/EP+다/EF

2011년	2011/SN+년/NNB
10월	10/SN+월/NNB
PD수첩은	PD/SL+수첩/NNG+은/JX
2005년	2005/SN+년/NNB
“은페된	“/SN+은페되/VV+ㄴ/ETM
진실,	진실/NNG+,/SP
특수학교	특수학교/NNG
성폭력사건”의	성폭력사건”/NNG+의/JKG
후속편으로	후속/NNG+편/NNB+으로/JKB
“도가니,	“/SN+도/NNB+가/VCP+니/EC+,/SP
영화보다	영화/NNG+보다/JKB
아팠던	아프/VA+았/EP+던/ETM
이야기”라는	이야기”/NNG+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
인화학교의	인화학교/NNG+의/JKG
당시	당시/NNG
모습을	모습/NNG+을/JKO
다뤘다	다루/VV+었/EP+다/EF

인화학교	인화학교/NNG
농아인	농아/NNG+이/VCP+ㄴ/ETM
성폭행	성폭행/NNG
가해자	가해자/NNG
6명	6/SN+명/NNB
중	중/NNB
2명이	2/SN+명/NNB+이/JKS
공소시효가	공소시효/NNG+가/JKS
끝났다는	끝나/VV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
학교로	학교/NNG+로/JKB
복직했고,	복직하/VV+였/EP+고/EC+,/SP
한	한/MM
명은	명/NNB+은/JX
아직도	아직/MAG+도/JX
교사로	교사/NNG+로/JKB
재직한다는	재직하/VV+ㄴ다는/ETM
내용이었다	내용/NNG+이/VCP+었/EP+다/EC

학생들	학생/NNG+들/XSN
역시	역시/MAG
다시	다시/MAG
학교의	학교/NNG+의/JKG
울타리로	울타리/NNG+로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없는,	없/VA+는/ETM+,/SP
다큐제목처럼	다큐제목/NNG+처럼/JKB
‘둥근장막’	‘/SN+둥근장막/MAG+’/SN
안에서	안/NNG+에서/JKB
악마와	악마/NNG+와/JKB
숨쉬어야	숨/NNG+쉬/VV+어야/EC
하는	하/VX+는/ETM
현실을	현실/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
내용이었다	내용/NNG+이/VCP+었/EP+다/EC

현재	현재/MAG
인화학교는	인화학교/NNG+는/JX
폐교되었고,	폐교되/VV+었/EP+고/EC+,/SP
내가	내/NP+가/JKS
글을	글/NNG+을/JKO
남겼던	남기/VV+었/EP+던/ETM
학교	학교/NNG
홈페이지도	홈페이지/NNG+도/JX
없는	없/VA+는/ETM
상태다	상태/NNG+이/VCP+다/EC

