인권위·기자협회	인권위/NNG+·/SP+기자협회/NNG
‘성범죄	‘/SL+성범죄/NNG
보도	보도/NNG
권고	권고/NNG
기준’	기준/NNG+’/SL
제정	제정/NNG

국가인권위원회(위원장	국가인권위원회/NNG+(/SS+위원장/NNG
현병철)와	현병철/NNP+)/SS+와/JC
한국기자협회(회장	한국기자협회/NNP+(/SS+회장/NNG
박종률)가	박종률/NNP+)/SS+가/JKS
‘성폭력	‘/SN+성폭력/NNG
범죄	범죄/NNG
보도	보도/NNG
세부	세부/NNG
권고	권고/NNG
기준’(성범죄	기준/NNG+’/SL+(/SS+성범죄/NNG
보도	보도/NNG
기준)을	기준/NNG+)/SS+을/JKO
제정해	제정하/VV+여/EC
12일	12/SN+일/NNB
발표했다	발표하/VV+였/EP+다/EC

성범죄	성범죄/NNG
보도	보도/NNG
기준은	기준/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
말	말/NNB
전남	전남/NNP
나주	나주/NNP
어린이	어린이/NNG
성폭행	성폭행/NNG
사건	사건/NNG
이후	이후/NNG
연이은	연잇/VV+은/ETM
유사	유사/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
언론보도의	언론보도/NNG+의/JKG
문제점이	문제점/NNG+이/JKS
언론계	언론계/NNG
안팎에서	안팎/NNG+에서/JKB
제기됨에	제기되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
인권위와	인권위/NNG+와/JC
기자협회가	기자협회/NNG+가/JKS
그동안	그동안/NNG
토론회,	토론회/NNG+,/SP
실무위원회	실무위원회/NNG
구성·운영,	구성/NNG+·/SP+운영/NNG+,/SP
각계	각계/NNG
전문가	전문가/NNG
및	및/MAG
관련	관련/NNG
단체	단체/NNG
자문	자문/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
마련했다	마련하/VV+였/EP+다/EF

당시	당시/NNG
언론보도에	언론보도/NNG+에/JKB
대해	대하/VV+여/EC
언론사간	언론사/NNG+간/NNB
과열경쟁과	과열경쟁/NNG+과/JC
선정적	선정적/NNG
보도,	보도/NNG+,/SP
피해자의	피해자/NNG+의/JKG
2차	2/SN+차/NNB
피해	피해/NNG
유발	유발/NNG
보도,	보도/NNG+,/SP
사회적	사회적/NNG
공분과	공분/NNG+과/JC
강력한	강력하/VA+ㄴ/ETM
처벌	처벌/NNG
여론에	여론/NNG+에/JKB
편승해	편승하/VV+여/EC
인권관점을	인권관점/NNG+을/JKO
간과한	간과하/VV+ㄴ/ETM
보도	보도/NNG
등의	등/NNB+의/JKG
문제점이	문제점/NNG+이/JKS
지적됐다	지적되/VV+었/EP+다/EF

성범죄	성범죄/NNG
보도	보도/NNG
기준은	기준/NNG+은/JX
전문,	전문/NNG+,/SP
