수화통역센터장들,	수화통역센터장/NNG+들/XSN+,/SP
'못살겠다'	'/SS+못/MAG+살/VV+겠/EP+다/EF+'/SS
청원서	청원서/NNG
제출	제출/NNG

서울시가	서울시/NNP+가/JKS
장애인지역재활시설인	장애인지역재활시설/NNG+이/VCP+ㄴ/ETM
25개구	25/SN+개/NNB+구/NNG
수화통역센터장	수화통역센터장/NNG
보수를	보수/NNG+를/JKO
지난	지나/VV+ㄴ/ETM
15년간	15/SN+년/NNB+간/XSN
계속	계속/MAG
미루어	미루/VV+어/EC
오고	오/VX+고/EC
있자,	있/VX+자/EC+,/SP
센터장들이	센터장/NNG+들/XSN+이/JKS
생계보장을	생계보장/NNG+을/JKO
위해	위하/VV+여/EC
시의회에	시의회/NNG+에/JKB
청원서를	청원서/NNG+를/JKO
제출한	제출하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

서울시	서울시/NNP
수화통역센터	수화통역센터/NNG
25개구	25/SN+개/NNB+구/NNG
센터장은	센터/NNG+장/XSN+은/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
서울시의회	서울시/NNP+의회/NNG
김기옥	김기옥/NNP
보건복지위원회	보건복지위원회/NNG
위원장과의	위원장/NNG+과/JKB+의/JKG
면담을	면담/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
보수지급	보수지급/NNG
청원서를	청원서/NNG+를/JKO
전달한	전달하/VV+ㄴ/ETM
뒤	뒤/NNG
센터장	센터/NNG+장/XSN
보수	보수/NNG
유급화의	유급화/NNG+의/JKG
시급함을	시급하/VA+ㅁ/ETN+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

현재	현재/MAG
서울시	서울시/NNP
수화통역센터는	수화통역센터/NNP+는/JX
농아인에	농아/NNG+인/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
수화통역	수화통역/NNG
및	및/MAG
상담서비스를	상담서비스/NNG+를/JKO
제공함에	제공하/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
서울시	서울시/NNP
및	및/MAG
자치구에	자치구/NNG+에/JKB
장애인복지시설	장애인복지시설/NNG
신고	신고/NNG
후,	후/NNG+,/SP
운영하는	운영하/VV+는/ETM
지역사회재활시설임에도	지역사회재활시설/NNG+이/VCP+ㅁ에도/EC
상근하는	상근하/VV+는/ETM
센터장의	센터/NNG+장/XSN+의/JKG
보수는	보수/NNG+는/JX
지급되지	지급되/VV+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

보건복지부	보건복지부/NNG
‘2012년	‘/SL+2012/SN+년/NNB
장애인복지	장애인복지/NNG
사업안내’에	사업안내’/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
청각장애인	청각장애인/NNG
수화통역센터	수화통역센터/NNG
장은	장/NNG+은/JX
센터를	센터/NNG+를/JKO
대표하고	대표하/VV+고/EC
사무를	사무/NNG+를/JKO
총괄한다	총괄하/VV+ㄴ다/EF

상근	상근/NNG
센터장	센터/NNG+장/XSN
보수는	보수/NNG+는/JX
‘장애인지역사회재활시설	‘/SN+장애인지역사회재활시설/NNG
직원보수	직원보수/NNG
지급기준’에	지급기준/NNG+’/SL+에/JKB
‘해당	‘/SN+해당/NNG
지자체와	지자체/NNG+와/JKB
협의	협의/NNG
후	후/NNG
보수기준을	보수기준/NNG+을/JKO
별도로	별도/NNG+로/JKB
정할	정하/VV+ㄹ/ETM
수	수/NNB
있다’로	있/VA+다/EC+’/SL+로/JKB
명시돼있다	명시되/VV+어/EC+있/VX+다/EF

또한	또한/MAG
서울시의회의	서울시/NNP+의회/NNG+의/JKG
‘서울특별시	‘/SL+서울특별시/NNP
수화통역센터	수화통역센터/NNG
설치	설치/NNG
및	및/MAG
운영에	운영/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례법’에도	조례법/NNG+’/SL+에/JKB+도/JX
'시장은	'/SS+시장/NNG+은/JX
센터의	센터/NNG+의/JKG
설립·운영에	설립/NNG+·/SP+운영/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
비용을	비용/NNG+을/JKO
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있다'고	있/VA+다/EF+'/SS+고/JKQ
명시돼	명시되/VV+어/EC
있는	있/VX+는/ETM
상태다	상태/NNG+이/VCP+다/EC

이를	이/NP+를/JKO
근거로	근거/NNG+로/JKB
센터장들은	센터장/NNG+들/XSN+은/JX
시	시/NNG
관계자와	관계자/NNG+와/JC
지난	지나/VV+ㄴ/ETM
3월과	3/SN+월/NNB+과/JC
9월	9/SN+월/NNB
면담	면담/NNG
등를	등/NNB+를/JKO
거쳐	거치/VV+어/EC
조속히	조속히/MAG
유급화	유급화/NNG
실시를	실시/NNG+를/JKO
요청했지만,	요청하/VV+였/EP+지만/EC+,/SP
시는	시/NNG+는/JX
수화통역센터장	수화통역센터/NNG+장/XSN
보수가	보수/NNG+가/JKS
유급화	유급화/NNG
되면	되/VV+면/EC
주간	주간/NNG
및	및/MAG
재가	재/NNG+가/JKS
노인지원센터장	노인지원센터장/NNG
외	외/NNB
기타	기타/NNG
센터장	센터/NNG+장/XSN
보수로	보수/NNG+로/JKB
연간	연간/NNG
100억원이	100/SN+억/NR+원/NNB+이/JKS
필요하기	필요하/VA+기/ETN
때문에	때문/NNB+에/JKB
'지급할	'/SS+지급하/VV+ㄹ/ETM
수	수/NNB
없다'는	없/VA+다/EF+'/SS+는/JX
의견을	의견/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

센터장들은	센터장/NNG+들/XSN+은/JX
재정상의	재정/NNG+상/XSN+의/JKG
이유로	이유/NNG+로/JKB
‘지급할	‘/SN+지급하/VV+ㄹ/ETM
수	수/NNB
없다’며	없/VA+다/EC+’/VX+며/EC
유급화를	유급화/NNG+를/JKO
미루고	미루/VV+고/EC
있는	있/VX+는/ETM
서울시에	서울시/NNP+에/JKB
대해	대하/VV+여/EC
‘탁상행정’을	‘/SN+탁상행정’/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다고	있/VX+다고/EC
비판했다	비판하/VV+였/EP+다/EC

재정여건이	재정여건/NNG+이/JKS
열악한	열악하/VA+ㄴ/ETM
타	타/MM
지방자치단체에서도	지방자치단체/NNG+에서/JKB+도/JX
이미	이미/MAG
실시하고	실시하/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
보면,	보/VV+면/EC+,/SP
의지가	의지/NNG+가/JKS
가장	가장/MAG
중요하다는	중요하/VA+다는/ETM
것이다	것/NNB+이/VCP+다/EC

현재	현재/MAG
강원도에서는	강원도/NNP+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
7월부터	7/SN+월/NNB+부터/JX
센터장	센터/NNG+장/XSN
유급화를	유급화/NNG+를/JKO
실시하고	실시하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
경기도	경기도/NNP
안산시,	안산시/NNP+,/SP
의왕시,	의왕시/NNP+,/SP
광명시	광명시/NNP
등에서도	등/NNB+에서/JKB+도/JX
이미	이미/MAG
유급화돼	유급화되/VV+어/EC
있다	있/VX+다/EF

한	한/MM
센터장은	센터/NNG+장/XSN+은/JX
“수화통역센터가	“/SL+수화통역센터/NNG+가/JKS
설립된	설립되/VV+ㄴ/ETM
지	지/NNB
15년째다	15/SN+년/NNB+째/XSN+다/NNG

현재까지	현재/NNG+까지/JX
급여는	급여/NNG+는/JX
일체	일체/MAG
지급된	지급되/VV+ㄴ/ETM
바	바/NNB
없이	없이/MAG
묵묵히	묵묵히/MAG
상근해왔다	상근하/VV+여/EC+오/VX+았/EP+다/EF

생업을	생업/NNG+을/JKO
포기하고	포기하/VV+고/EC
수화통역센터	수화통역센터/NNG
운영	운영/NNG
복무규정으로	복무규정/NNG+으로/JKB
매일	매일/MAG
출근해	출근하/VV+여/EC
총괄	총괄/NNG
업무를	업무/NNG+를/JKO
맡고	맡/VV+고/EC
있어	있/VX+어/EC
경제적으로나	경제적/NNG+으로/JKB+나/JX
재정적으로	재정적/NNG+으로/JKB
피해를	피해/NNG+를/JKO
받는다”며	받/VV+는다/EC+”/VV+며/EC
“헌신하는	“/SL+헌신하/VV+는/ETM
마음은	마음/NNG+은/JX
여전하지만	여전하/VA+지만/EC
이제는	이제/NNG+는/JX
최소한의	최소한/NNG+의/JKG
생계보장이	생계보장/NNG+이/JKS
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
그는	그/NP+는/JX
“서울시의회가	“/SL+서울시/NNP+의회/NNG+가/JKS
하루빨리	하루빨리/MAG
수화통역센터장	수화통역센터장/NNG
유급화	유급화/NNG
실시를	실시/NNG+를/JKO
강력하게	강력하/VA+게/EC
조치해	조치하/VV+여/EC
주길	주/VX+기/ETN+ㄹ/JKO
바란다”며	바란다”/VV+며/EC
“현재	“/SL+현재/MAG
지급되는	지급되/VV+는/ETM
보조금	보조금/NNG
업무추진비	업무추진/NNG+비/XSN
월	월/NNG
60만원에서	60/SN+만/NR+원/NNB+에서/JKB
보건복지부	보건복지부/NNG
수화통역센터	수화통역센터/NNG
운영에	운영/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
지역사회재활시설	지역사회재활시설/NNG
보수	보수/NNG
기준으로	기준/NNG+으로/JKB
전환해야	전환하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
요구에	요구/NNG+에/JKB
대해	대하/VV+여/EC
서울시는	서울시/NNP+는/JX
현재	현재/MAG
