“시외버스	“/SL+시외버스/NNG
이용	이용/NNG
못	못/MAG
한다”	하/VV+ㄴ다”/EC
위자료	위자료/NNG
청구	청구/NNG

휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
“시외버스를	“/SL+시외버스/NNG+를/JKO
이용하지	이용하/VV+지/EC
못해	못하/VX+여/EC
이동권을	이동/NNG+권/XSN+을/JKO
침해당하고	침해/NNG+당하/XSV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
공익소송을	공익소송/NNG+을/JKO
진행하고	진행하/VV+고/EC
있어	있/VX+어/EC
주목된다	주목되/VV+ㄴ다/EF

장애우권익문제연구소(이사장	장애우권익문제연구소/NNG+(/SS+이사장/NNG
김성재,	김성재/NNP+,/SP
이하	이하/NNG
연구소)는	연구소/NNG+)/SS+는/JX
시외버스에	시외버스/NNG+에/JKB
저상버스가	저상버스/NNG+가/JKS
설치되어	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
시외	시외/NNG
이동을	이동/NNG+을/JKO
하지	하/VV+지/EC
못해	못하/VX+여/EC
불편함을	불편하/VA+ㅁ/ETN+을/JKO
겪은	겪/VV+은/ETM
휠체어장애인	휠체어장애/NNG+이/VCP+ㄴ/ETM
오모씨	오/NNP+모/NP+씨/NNB
등	등/NNB
5명이	5/SN+명/NNB+이/JKS
서울시와	서울시/NNP+와/JC
정부를	정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
제기한	제기하/VV+ㄴ/ETM
공익소송	공익소송/NNG
2차	2/SN+차/NNB
변론이	변론/NNG+이/JKS
오는	오/VV+는/ETM
12일	12/SN+일/NNB
서울중앙지방법원에서	서울중앙/NNP+지방법원/NNG+에서/JKB
열린다고	열리/VV+ㄴ다고/EC
7일	7/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

연구소에	연구소/NNG+에/JKB
따르면	따르/VV+면/EC
이들은	이/NP+들/XSN+은/JX
서울에	서울/NNP+에/JKB
거주하며,	거주하/VV+며/EC+,/SP
지방을	지방/NNG+을/JKO
이동하는	이동하/VV+는/ETM
경우가	경우/NNG+가/JKS
빈번하지만	빈번하/VA+지만/EC
시외버스는	시외버스/NNG+는/JX
저상버스가	저상버스/NNG+가/JKS
없어	없/VA+어/EC
이동할	이동하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
불편함을	불편하/VA+ㅁ/ETN+을/JKO
겪었다	겪/VV+었/EP+다/EC

이에	이/NP+에/JKB
A시외버스터미널을	A/SL+시외버스터미널/NNG+을/JKO
관할하고	관할하/VV+고/EC
있는	있/VX+는/ETM
서울시와	서울시/NNP+와/JC
국가를	국가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
1인당	1/SN+인/NNG+당/XSN
500만원	500/SN+만/NR+원/NNB
총	총/MM
2500만원의	2500/SN+만/NR+원/NNB+의/JKG
위자료를	위자료/NNG+를/JKO
청구하는	청구하/VV+는/ETM
공익소송을	공익소송/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

1차	1/SN+차/NNB
변론은	변론/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
20일	20/SN+일/NNB
진행됐다	진행되/VV+었/EP+다/EF

이들은	이/NP+들/XSN+은/JX
이번	이번/NNG
소송을	소송/NNG+을/JKO
통해	통하/VV+여/EC
법원으로부터	법원/NNG+으로부터/JKB
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장에	보장/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
직무이행명령을	직무이행명령/NNG+을/JKO
받아	받/VV+아/EC
시외버스에도	시외버스/NNG+에/JKB+도/JX
저상버스가	저상버스/NNG+가/JKS
설치	설치/NNG
및	및/MAG
보급되길	보급되/VV+기/ETN+ㄹ/JKO
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

2차	2/SN+차/NNB
변론에서는	변론/NNG+에서/JKB+는/JX
소송	소송/NNG
수행	수행/NNG
변호사와	변호사/NNG+와/JC
오	오/NNP
씨가	씨/NNB+가/JKS
함께	함께/MAG
저상버스	저상버스/NNG
및	및/MAG
장애인콜택시,	장애인콜택시/NNG+,/SP
저상버스,	저상버스/NNG+,/SP
지하철	지하철/NNG
등의	등/NNB+의/JKG
교통수단을	교통수단/NNG+을/JKO
이용하는	이용하/VV+는/ETM
모습이	모습/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
동영상에	동영상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검증이	검증/NNG+이/JKS
이뤄질	이루어지/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

연구소	연구소/NNG
관계자는	관계자/NNG+는/JX
“소송	“/SN+소송/NNG
과정에서	과정/NNG+에서/JKB
장애인의	장애인/NNG+의/JKG
이동이	이동/NNG+이/JKS
가능한	가능하/VA+ㄴ/ETM
선진국의	선진국/NNG+의/JKG
사례나	사례/NNG+나/JC
장애인들을	장애인/NNG+들/XSN+을/JKO
증인으로	증인/NNG+으로/JKB
출석시켜	출석/NNG+시키/XSV+어/EC
장애인의	장애인/NNG+의/JKG
이동권을	이동/NNG+권/XSN+을/JKO
보장	보장/NNG
받을	받/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
현실을	현실/NNG+을/JKO
적극	적극/NNG
알릴	알리/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
