"영화	"/SS+영화/NNG
보러갈래?"	보/VV+러/EC+갈/VX+래/EF+?/SF+"/SS
지적장애	지적장애/NNG
청소년	청소년/NNG
유인	유인/NNG
성폭행	성폭행/NNG
덜미	덜미/NNG

CBS	CBS/SL
김연지	김연지/NNP
기자채팅으로	기자채팅/NNG+으로/JKB
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
지적장애인	지적장애인/NNG
청소년을	청소년/NNG+을/JKO
성폭행한	성폭행하/VV+ㄴ/ETM
20대	20/SN+대/NNB
남성들이	남성/NNG+들/XSN+이/JKS
경찰에	경찰/NNG+에/JKB
붙잡혔다	붙잡허/VV+였/EP+다/EF

서울	서울/NNP
동작경찰서는	동작경찰서/NNG+는/JX
가출한	가출하/VV+ㄴ/ETM
지적장애인을	지적장애인/NNG+을/JKO
인터넷	인터넷/NNG
채팅으로	채팅/NNG+으로/JKB
유인해	유인하/VV+여/EC
성폭행한	성폭행하/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
신	신/NNP
모(24)	모/NP+(/SS+24/SN+)/SS
씨	씨/NNB
등	등/NNB
2명을	2/SN+명/NNB+을/JKO
구속하고	구속하/VV+고/EC
박	박/NNP
모(27)씨	모/NP+(/SS+27/SN+)/SS+씨/NNB
등	등/NNB
2명을	2/SN+명/NNB+을/JKO
불구속입건했다고	불구속/NNG+입건하/VV+였/EP+다고/EC
16일	16/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

신	신/NNP
씨는	씨/NNB+는/JX
동네	동네/NNG
후배인	후배/NNG+이/VCP+ㄴ/ETM
이	이/NNP
모(22)씨와	모/NP+(/SS+22/SN+)/SS+씨/NNB+와/JKB
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
21일	21/SN+일/NNB
인터넷	인터넷/NNG
채팅으로	채팅/NNG+으로/JKB
잠잘	잠자/VV+ㄹ/ETM
곳을	곳/NNG+을/JKO
구하는	구하/VV+는/ETM
윤	윤/NNP
모(16)양을	모/NP+(/SS+16/SN+)/SS+양/NNB+을/JKO
유인해	유인하/VV+여/EC
게임을	게임/NNG+을/JKO
하면서	하/VV+면서/EC
술을	술/NNG+을/JKO
먹인	먹이/VV+ㄴ/ETM
뒤	뒤/NNG
만취한	만취하/VV+ㄴ/ETM
윤	윤/NNP
양을	양/NNB+을/JKO
순차적으로	순차적/NNG+으로/JKB
성폭행한	성폭행하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

이	이/NNP
씨는	씨/NNB+는/JX
공익근무요원으로	공익근무요원/NNG+으로/JKB
복무를	복무/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
성범죄를	성범죄/NNG+를/JKO
저질렀다고	저지르/VV+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
전했다	전하/VV+었/EP+다/EC

경찰	경찰/NNG
조사결과,	조사결과/NNG+,/SP
윤양은	윤/NNP+양/NNB+은/JX
이보다	이/NP+보다/JKB
앞선	앞서/VV+ㄴ/ETM
8월	8/SN+월/NNB
17일에도	17/SN+일/NNB+에/JKB+도/JX
또다른	또/MAG+다른/MM
20대	20/SN+대/NNB
남성으로부터	남성/NNG+으로부터/JKB
성폭행을	성폭행/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
지체장애인	지체장애인/NNG
5급인	5/SN+급/NNG+이/VCP+ㄴ/ETM
박	박/NNP
모(27)씨는	모/NP+(/SS+27/SN+)/SS+씨/NNB+는/JX
인터넷	인터넷/NNG
채팅을	채팅/NNG+을/JKO
통해	통하/VV+여/EC
"영화를	"/SS+영화/NNG+를/JKO
보여주겠다"며	보이/VV+어/EC+주/VX+겠/EP+다/EF+"/SS+며/EC
윤	윤/NNP
양을	양/NNB+을/JKO
유인한	유인하/VV+ㄴ/ETM
뒤	뒤/NNG
멀티방으로	멀티방/NNG+으로/JKB
데려가	데려가/VV+아/EC
성폭행한	성폭행하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

같은	같/VA+은/ETM
날	날/NNG
윤	윤/NNP
양의	양/NNB+의/JKG
친구인	친구/NNG+이/VCP+ㄴ/ETM
김	김/NNP
모(16)양도	모/NP+(/SS+16/SN+)/SS+양도/NNG
인터넷에서	인터넷/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
김	김/NNP
모(28)씨에게	모/NP+(/SS+28/SN+)/SS+씨/NNB+에게/JKB
성폭행을	성폭행/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다	확인되/VV+었/EP+다/EF

피해자	피해자/NNG
윤	윤/NNP
양과	양/NNB+과/JC
김	김/NNP
양은	양/NNP+은/JX
초등학교	초등학교/NNG
저학년	저학년/NNG
수준의	수준/NNG+의/JKG
지적	지적/NNG
능력을	능력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
3급	3/SN+급/NNG
지적장애인으로	지적장애인/NNG+으로/JKB
동작구의	동작구/NNP+의/JKG
한	한/MM
장애인	장애인/NNG
보호시설에서	보호시설/NNG+에서/JKB
지내다	지내/VV+다/EC
가출한	가출하/VV+ㄴ/ETM
뒤	뒤/NNG
인터넷	인터넷/NNG
채팅을	채팅/NNG+을/JKO
통해	통하/VV+여/EC
잠잘	잠자/VV+ㄹ/ETM
곳을	곳/NNG+을/JKO
구하고	구하/VV+고/EC
있었던	있/VX+었/EP+던/ETM
