장애인단체들	장애인단체/NNG+들/XSN
양양군수	양양/NNP+군수/NNG
인권위에	인권위/NNG+에/JKB
진정	진정/NNG

전국장애인차별철폐연대,	전/MM+국장애인차별철폐연대/NNG+,/SP
장애인차별금지추진연대	장애인차별금지추진연대/NNG
등	등/NNB
7개	7/SN+개/NNB
장애인단체가	장애인단체/NNG+가/JKS
13일	13/SN+일/NNB
하조대	하조대/NNP
해수욕장	해수욕장/NNG
장애인숙박시설(이하	장애인숙박시설/NNG+(/SS+이하/NNG
하조대	하조대/NNP
희망들)	희망/NNG+들/XSN+)/SS
건립을	건립/NNG+을/JKO
거부하고	거부하/VV+고/EC
있는	있/VX+는/ETM
정상철	정상철/NNP
양양군수를	양양/NNP+군수/NNG+를/JKO
국가인권위원회에	국가인권위원회/NNG+에/JKB
진정했다	진정하/VV+였/EP+다/EF

이들	이/NP+들/XSN
단체에	단체/NNG+에/JKB
따르면	따르/VV+면/EC
‘하조대	‘/SN+하조대/NNP
희망들’은	희망/NNG+들/XSN+’/SL+은/JX
서울시가	서울시/NNP+가/JKS
강원도	강원도/NNP
양양군	양양군/NNP
하조대	하조대/NNP
해수욕장에	해수욕장/NNG+에/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
해변에	해변/NNG+에/JKB
편하게	편하/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
편의시설이	편의시설/NNG+이/JKS
잘	잘/MAG
갖추어진	갖추/VV+어/EC+지/VX+ㄴ/ETM
숙박시설을	숙박시설/NNG+을/JKO
건립하는	건립하/VV+는/ETM
사업이다	사업/NNG+이/VCP+다/EC

장애인들의	장애인/NNG+들/XSN+의/JKG
욕구	욕구/NNG
수렴을	수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
6월	6/SN+월/NNB
30일	30/SN+일/NNB
건축계획	건축계획/NNG
수립	수립/NNG
후	후/NNG
2010년	2010/SN+년/NNB
8월	8/SN+월/NNB
2일	2/SN+일/NNB
양양군청과	양양/NNP+군청/NNG+과/JC
건축협의가	건축협의/NNG+가/JKS
완료돼	완료되/VV+어/EC
순조롭게	순조롭/VA+게/EC
진행되는	진행되/VV+는/ETM
듯	듯/NNB
했다	하/VV+였/EP+다/EC

총사업비	총/XPN+사업비/NNG
57억2300만원을	57/SN+억/NR+2300/SN+만/NR+원/NNB+을/JKO
투입해	투입하/VV+여/EC
연면적	연면적/NNG
1,923m²에	1,923/SN+m²/SL+에/JKB
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
2층	2/SN+층/NNG
규모의	규모/NNG+의/JKG
장애인	장애인/NNG
및	및/MAG
가족이	가족/NNG+이/JKS
함께	함께/MAG
머물	머물/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
숙박시설을	숙박시설/NNG+을/JKO
짓는다는	짓/VV+는다는/ETM
계획이었다	계획/NNG+이/VCP+었/EP+다/EF

하지만	하지만/MAJ
지난해	지난해/NNG
8월	8/SN+월/NNB
23일	23/SN+일/NNB
양양군이	양양군/NNP+이/JKS
서울시에	서울시/NNP+에/JKB
‘숙박시설로	‘/SN+숙박시설/NNG+로/JKB
신청한	신청하/VV+ㄴ/ETM
하조대	하조대/NNP
희마들의	희마/NNG+들/XSN+의/JKG
용도가	용도/NNG+가/JKS
노유자시설(사회복지시설)로	노유자시설/NNG+(/SS+사회복지시설/NNG+)/SS+로/JKB
공원부지내	공원부지/NNG+내/NNB
건축행위	건축행위/NNG
불가’를	불가’/NNG+를/JKO
이유로	이유/NNG+로/JKB
건축협의	건축협의/NNG
취소를	취소/NNG+를/JKO
통보해왔다	통보하/VV+여/EC+오/VX+았/EP+다/EF

이에	이/NP+에/JKB
서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
건축협의	건축협의/NNG
취소처분	취소처분/NNG
취소소송을	취소소송/NNG+을/JKO
제기했고,	제기하/VV+였/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
5일	5/SN+일/NNB
춘천지방법원	춘천/NNP+지방법원/NNG
강릉지원은	강릉/NNP+지원/NNG+은/JX
서울시의	서울시/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다	들어주/VV+었/EP+다/EF

판결에	판결/NNG+에/JKB
불복한	불복하/VV+ㄴ/ETM
양양군은	양양군/NNP+은/JX
6월	6/SN+월/NNB
22일	22/SN+일/NNB
서울고등법원	서울/NNP+고등법원/NNG
춘천재판부에	춘천재판부/NNP+에/JKB
항고했고,	항고하/VV+였/EP+고/EC+,/SP
7월	7/SN+월/NNB
23일	23/SN+일/NNB
서울시가	서울시/NNP+가/JKS
양양군에	양양군/NNP+에/JKB
제출한	제출하/VV+ㄴ/ETM
‘착공신고서’에	‘/SL+착공신고서’/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
항고	항고/NNG
진행을	진행/NNG+을/JKO
이유로	이유/NNG+로/JKB
착공신고	착공신고/NNG
불수리를	불수리/NNG+를/JKO
통지했다	통지하/VV+였/EP+다/EC

반면	반면/NNG
서울시는	서울시/NNP+는/JX
지난달	지난달/NNG
24일	24/SN+일/NNB
‘착공신고는	‘/SN+착공신고/NNG+는/JX
수리를	수리/NNG+를/JKO
요하지	요하/VV+지/EC
아니하는	아니하/VX+는/ETM
신고’로	신고’/NNG+로/JKB
불수리	불수리/NNG
통지는	통지/NNG+는/JX
법적근거가	법적근거/NNG+가/JKS
없다며	없/VA+다며/EC
현재	현재/MAG
건립	건립/NNG
공사를	공사/NNG+를/JKO
진행하고	진행하/VV+고/EC
있다	있/VX+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
인권위	인권위/NNG
진정에	진정/NNG+에/JKB
앞서	앞서/VV+어/EC
가진	가지/VV+ㄴ/ETM
기자회견에서	기자회견/NNG+에서/JKB
“법원이	“/SN+법원/NNG+이/JKS
서울시의	서울시/NNP+의/JKG
손을	손/NNG+을/JKO
들어주었지만	듣/VV+어/EC+주/VX+었/EP+지만/EC
양양군수는	양양/NNP+군수/NNG+는/JX
장애인	장애인/NNG
숙박시설	숙박시설/NNG
건축을	건축/NNG+을/JKO
거부하고	거부하/VV+고/EC
시간만	시간/NNG+만/JX
끌고	끌/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

양양군수가	양양/NNP+군수/NNG+가/JKS
시간을	시간/NNG+을/JKO
끌어	끌/VV+어/EC
사업비가	사업비/NNG+가/JKS
불용	불용/NNG
될	되/VV+ㄹ/ETM
때를	때/NNG+를/JKO
기다린	기다리/VV+ㄴ/ETM
다는	다는/ETM
것	것/NNB

사업비	사업비/NNG
총	총/MM
44억원	44/SN+억/NR+원/NNB
중	중/NNB
2010년	2010/SN+년/NNB
국고예산	국고예산/NNG
22억원은	22/SN+억/NR+원/NNB+은/JX
2013년	2013/SN+년/NNB
2월	2/SN+월/NNB
안에	안/NNG+에/JKB
집행해야	집행하/VV+여야/EC
하는	하/VX+는/ETM
예산이다	예산/NNG+이/VCP+다/EC

전장연	전장연/NNP
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“장애인차별금지법이	“/SN+장애인차별금지법/NNG+이/JKS
있는	있/VA+는/ETM
나라에서	나라/NNG+에서/JKB
책임	책임/NNG
있는	있/VA+는/ETM
양양군수가	양양/NNP+군수/NNG+가/JKS
장애인의	장애인/NNG+의/JKG
인권을	인권/NNG+을/JKO
무시,	무시/NNG+,/SP
차별하는	차별하/VV+는/ETM
것이	것/NNB+이/JKS
참으로	참으로/MAG
개탄스럽다”고	개탄스럽/VA+다”고/EC
분개했다	분개하/VV+였/EP+다/EC

전장연	전장연/NNP
김정하	김정하/NNP
조직실장은	조직실장/NNG+은/JX
“현재	“/SN+현재/NNG
우리나라에는	우리나라/NNG+에/JKB+는/JX
장애인이	장애인/NNG+이/JKS
이용할만한	이용하/VV+ㄹ/ETM+만하/VX+ㄴ/ETM
숙박시설이	숙박시설/NNG+이/JKS
없다”며	없/VA+다/EC+”/VX+며/EC
“장애인을	“/SL+장애인/NNG+을/JKO
거부한	거부하/VV+ㄴ/ETM
양양군수의	양양/NNP+군수/NNG+의/JKG
행태는	행태/NNG+는/JX
전형적인	전형적/NNG+이/VCP+ㄴ/ETM
지역	지역/NNG
이기주의”라고	이기주의”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

노들장애인야학	노들장애인야학/NNG
학생	학생/NNG
김동림	김동림/NNP
씨는	씨/NNB+는/JX
“지난	“/SL+지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
하조대	하조대/NNP
