국민관광지	국민관광지/NNG
오동도,	오동/NNG+도/JX+,/SP
장애인에겐	장애인/NNG+에게/JKB+ㄴ/JX
‘인색’	‘/SN+인색/NNG+’/SN

최근	최근/NNG
지역	지역/NNG
장애인들과	장애인/NNG+들/XSN+과/JKB
함께	함께/MAG
국민관광지인	국민관광지/NNG+이/VCP+ㄴ/ETM
전남	전남/NNP
여수시	여수시/NNP
오동도의	오동도/NNP+의/JKG
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
점검한	점검하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
이용자의	이용자/NNG+의/JKG
편의를	편의/NNG+를/JKO
무시한	무시하/VV+ㄴ/ETM
채	채/NNB
설치돼	설치되/VV+어/EC
있거나	있/VX+거나/EC
아예	아예/MAG
없어	없/VA+어/EC
개선이	개선/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

오동도	오동/NNG+도/JX
입구	입구/NNG
남녀공중화장실을	남녀공중화장실/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
입구	입구/NNG
앞의	앞/NNG+의/JKG
경사로가	경사로/NNG+가/JKS
파손되어	파손되/VV+어/EC
있는	있/VX+는/ETM
상태이며,	상태/NNG+이/VCP+며/EC+,/SP
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
밑에	밑/NNG+에/JKB
점자블록이	점자블록/NNG+이/JKS
없다	없/VA+다/EF

출입문은	출입문/NNG+은/JX
여닫이로	여닫이/NNG+로/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
이용	이용/NNG
불편을	불편/NNG+을/JKO
초래하고	초래하/VV+고/EC
있다	있/VX+다/EC

중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
공중화장실로	공/XPN+중화장/NNG+실/XSN+로/JKB
들어가야	들어가/VV+아야/EC
하는	하/VX+는/ETM
이유는	이유/NNG+는/JX
그	그/MM
안에	안/NNG+에/JKB
장애인화장실이	장애인화장실/NNG+이/JKS
마련돼	마련되/VV+어/EC
있기	있/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

장애인화장실의	장애인화장실/NNG+의/JKG
출입문	출입문/NNG
또한	또한/MAG
불편하기는	불편하/VA+기/ETN+는/JX
마찬가지인	마찬가지/NNG+이/VCP+ㄴ/ETM
미닫이다	미닫/NNG+이/VCP+다/EC

내부는	내부/NNG+는/JX
중증장애인이	중증장애인/NNG+이/JKS
이용하기에	이용하/VV+기/ETN+에/JKB
형편이	형편/NNG+이/JKS
없어	없/VA+어/EC
보였다	보이/VV+었/EP+다/EF

비상호출버튼,	비상호출버튼/NNP+,/SP
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이,	등받이/NNG+,/SP
자동	자동/NNG
물	물/NNG
내림	내리/VV+ㅁ/ETN
센서는	센서/NNG+는/JX
물론	물론/MAG
손과	손/NNG+과/JC
발로	발/NNG+로/JKB
누르는	누르/VV+는/ETM
세정장치가	세정장치/NNG+가/JKS
없었고,	없/VA+었/EP+고/EC+,/SP
휴지걸이는	휴지걸이/NNG+는/JX
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
사용하기	사용하/VV+기/ETN
불편한	불편하/VA+ㄴ/ETM
위치에	위치/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

세면대는	세면대/NNG+는/JX
손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
목발을	목발/NNG+을/JKO
이용하는	이용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

오동도	오동도/NNP
광장	광장/NNG
음식점	음식점/NNG
옆	옆/NNG
맨발공원	맨발공/NNG+원/XSN
입구에는	입구/NNG+에/JKB+는/JX
남녀비장애인화장실이	남녀비장애인화장실/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
장애인화장실은	장애인화장실/NNG+은/JX
남자비장애인화장실	남자비장애인화장실/NNG
입구에	입구/NNG+에/JKB
남녀공용으로	남녀공용/NNG+으로/JKB
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

비장애인화장실을	비장애인화장실/NNG+을/JKO
먼저	먼저/MAG
살펴보면	살펴보/VV+면/EC
입구	입구/NNG
벽면에	벽면/NNG+에/JKB
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
밑에	밑/NNG+에/JKB
점자블록이	점자블록/NNG+이/JKS
없다	없/VA+다/EF

공용장애인화장실은	공용장애인화장실/NNG+은/JX
전동휠체어를	전동휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
내부로	내부/NNG+로/JKB
들어가	들어가/VV+아/EC
문을	문/NNG+을/JKO
닫을	닫/VV+을/ETM
수가	수/NNB+가/JKS
없다	없/VA+다/EF

내부공간이	내부공간/NNG+이/JKS
좁은	좁/VA+은/ETM
상태인데도	상태/NNG+이/VCP+ㄴ데/EC+도/JX
불구하고,	불구하/VV+고/EC+,/SP
출입문이	출입문/NNG+이/JKS
공간을	공간/NNG+을/JKO
많이	많이/MAG
차지하고	차지하/VV+고/EC
불편한	불편하/VA+ㄴ/ETM
접이식이기	접이식/NNG+이/VCP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

내부에는	내부/NNG+에/JKB+는/JX
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
튀어	튀/VV+어/EC
나와	나오/VV+아/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
용변기	용변/NNG+기/XSN
접근을	접근/NNG+을/JKO
방해하고	방해하/VV+고/EC
있었고,	있/VX+었/EP+고/EC+,/SP
수도꼭지	수도꼭지/NNG
또한	또한/MAG
손을	손/NNG+을/JKO
대면	대/VV+면/EC
물이	물/NNG+이/JKS
나오는	나오/VV+는/ETM
감응장치가	감응장치/NNG+가/JKC
아니어서	아니/VCN+어서/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
이용에	이용/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪을	겪/VV+을/ETM
것으로	것/NNB+으로/JKB
보였다	보이/VV+었/EP+다/EF

이	이/MM
뿐만이	뿐/NNB+만/JX+이/JKC
아니라	아니/VCN+라/EC
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이와	등받이/NNG+와/JC
비상호출버튼이	비/XPN+상호출버튼/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
휴지걸이는	휴지걸이/NNG+는/JX
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
사용하기에는	사용하/VV+기/ETN+에/JKB+는/JX
높은	높/VA+은/ETM
위치에	위치/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

관광안내소	관광안내소/NNG
옆	옆/NNG
남녀공중화장실	남녀공중화장실/NNG
양쪽	양쪽/NNG
옆에	옆/NNG+에/JKB
있는	있/VA+는/ETM
경사로에	경사로/NNG+에/JKB
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
이동에	이동/NNG+에/JKB
불편을	불편/NNG+을/JKO
줬다	주/VV+었/EP+다/EC

정면	정면/NNG
계단에	계단/NNG+에/JKB
점자블록이	점자블록이/MAG
설치됐기	설치되/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
중복으로,	중복/NNG+으로/JKB+,/SP
없애도	없애/NNG+도/JX
된다	되/VV+ㄴ다/EF

입구에	입구/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자블록	점자블록/MAG
위에는	위/NNG+에/JKB+는/JX
출입문이	출입문/NNG+이/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인이	시각장애인/NNG+이/JKS
따라	따르/VV+아/EC
걷다	걷/VV+다/EC
부딪칠	부딪치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

더욱이	더욱이/MAG
바닥에	바닥/NNG+에/JKB
점자블록이	점자블록이/MAG
무분별하게	무분별하/VA+게/EC
설치된	설치되/VV+ㄴ/ETM
점도	점/NNG+도/JX
문제며,	문제/NNG+이/VCP+며/EC+,/SP
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
없었다	없/VA+었/EP+다/EF

장애인화장실은	장애인화장실/NNG+은/JX
남녀비장애인화장실	남녀비장애인화장실/NNG
안에	안/NNG+에/JKB
마련돼	마련되/VV+어/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
출입문이	출입문/NNG+이/JKS
여닫이로	여닫이/NNG+로/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
장애인은	장애인/NNG+은/JX
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
문고리	문고리/NNG
잠금장치도	잠금장치/NNG+도/JX
고장	고장/NNG
나	나/VV
잠글	잠그/VV+ㄹ/ETM
수	수/NNG
형편이다	형편/NNG+이/VCP+다/EC

내부	내부/NNG
좁은데다	좁/VA+은데/EC+다/JX
어린이	어린이/NNG
변기까지	변기/NNG+까지/JX
있었고,	있/VA+었/EP+고/EC+,/SP
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이와	등받이/NNG+와/JC
비상호출버튼은	비/XPN+상호출버튼/NNG+은/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

휴지걸이는	휴지걸이/NNG+는/JX
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
사용하기에는	사용하/VV+기/ETN+에/JKB+는/JX
높은	높/VA+은/ETM
위치에	위치/NNG+에/JKB
있었다	있/VA+었/EP+다/EF

세면대는	세면대/NNG+는/JX
없어	없/VA+어/EC
