‘장애인	‘/SL+장애인/NNG
LPG지원’	LPG/SL+지원/NNG+’/SN
장복법	장복법/NNG
개정안	개정안/NNG
발의	발의/NNG

지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
영원히	영원히/MAG
암흑속으로	암흑속/NNG+으로/JKB
꺼진	꺼지/VV+ㄴ/ETM
장애인	장애인/NNG
LPG	LPG/SL
지원제도	지원제도/NNG
부활을	부활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
법률안이	법률안/NNG+이/JKS
국회에	국회/NNG+에/JKB
제출됐다	제출되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
오제세	오제세/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘장애인복지법’	‘/SN+장애인복지법/NNG+’/SN
개정안을	개정안/NNG+을/JKO
대표	대표/NNG
발의했다	발의하/VV+였/EP+다/EF

지난	지나/VV+ㄴ/ETM
2001년	2001/SN+년/NNB
에너지세제	에너지세제/NNG
개편으로	개편/NNG+으로/JKB
석유가스(LPG)	석유가스/NNG+(/SS+LPG/SL+)/SS
중	중/NNB
부탄에	부탄/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
개별소비세가	개별소비세/NNG+가/JKS
인상된	인상되/VV+ㄴ/ETM
이후,	이후/NNG+,/SP
정부는	정부/NNG+는/JX
장애인의	장애인/NNG+의/JKG
사회참여를	사회참여/NNG+를/JKO
돕고	돕/VV+고/EC
장애인	장애인/NNG
가구의	가구/NNG+의/JKG
소득을	소득/NNG+을/JKO
보전해주기	보전하/VV+여/EC+주/VX+기/ETN
위해	위하/VV+여/EC
장애인용	장애인/NNG+용/XSN
차량이	차량/NNG+이/JKS
사용하는	사용하/VV+는/ETM
LPG	LPG/SL
중	중/NNB
부탄에	부탄/NNP+에/JKB
대해서는	대하/VV+여서/EC+는/JX
인상된	인상되/VV+ㄴ/ETM
세액을	세액/NNG+을/JKO
유가보조금으로	유가보조금/NNG+으로/JKB
지원해	지원하/VV+여/EC
왔다	오/VX+았/EP+다/EF

하지만	하지만/MAJ
정부는	정부/NNG+는/JX
2007년부터는	2007/SN+년/NNB+부터는/JX
4~6등급	4/SN+~/SO+6/SN+등급/NNG
장애인,	장애인/NNG+,/SP
2010년부터는	2010/SN+년/NNB+부터는/JX
1~2등급	1/SN+~/SO+2/SN+등급/NNG
장애인	장애인/NNG
중	중/NNB
기초생활	기초생활/NNG
