장애인들,	장애인/NNG+들/XSN+,/SP
양양군청	양양군청/NNG
로비	로비/NNG
이틀째	이틀/NNG+째/XSN
점거	점거/NNG
중	중/NNB

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
등	등/NNB
장애인단체	장애인단체/NNG
활동가	활동가/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
정상철	정상철/NNP
양양군수와의	양양/NNP+군수/NNG+와/JKB+의/JKG
면담을	면담/NNG+을/JKO
요구하며,	요구하/VV+며/EC+,/SP
이틀째	이틀/NNG+째/XSN
양양군청	양양/NNP+군청/NNG
로비를	로비/NNG+를/JKO
점거중이다	점거/NNG+중/NNB+이/VCP+다/EC

장애인활동가들은	장애인활동가/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
오후	오후/NNG
3시께	3/SN+시/NNB+께/XSN
양양군청	양양군청/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
양양군수와의	양양/NNP+군수/NNG+와/JKB+의/JKG
면담을	면담/NNG+을/JKO
요청했으나	요청하/VV+였/EP+으나/EC
실패했다	실패하/VV+였/EP+다/EC

면담에	면담/NNG+에/JKB
실패한	실패하/VV+ㄴ/ETM
장애인활동가들은	장애인활동가/NNG+들/XSN+은/JX
기자회견	기자회견/NNG
이후	이후/NNG
양양군수	양양/NNP+군수/NNG
면담	면담/NNG
및	및/MAG
‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/SN
즉각	즉각/MAG
건립을	건립/NNG+을/JKO
촉구하며	촉구하/VV+며/EC
양양군청	양양군청/NNG
로비에서	로비/NNG+에서/JKB
밤샘농성에	밤샘농성/NNG+에/JKB
돌입했다	돌입하/VV+였/EP+다/EF

장애인활동가들은	장애인활동가/NNG+들/XSN+은/JX
19일	19/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
현재까지도	현재/NNG+까지도/JX
로비를	로비/NNG+를/JKO
점거	점거/NNG
중에	중/NNB+에/JKB
있다	있/VA+다/EF

이는	이/NP+는/JX
하조대	하조대/MAG
해수욕장에	해수욕장/NNG+에/JKB
들어설	들어서/VV+ㄹ/ETM
‘하조대	‘/SN+하조대/NNP
희마들’	희마/NNG+들/XSN+’/JKV
건립을	건립/NNG+을/JKO
‘주민들이	‘/SL+주민/NNG+들/XSN+이/JKS
반대하고	반대하/VV+고/EC
있다’는	있/VX+다/EF+’/SL+는/JX
이유로	이유/NNG+로/JKB
양양군수가	양양/NNP+군수/NNG+가/JKS
반대하고	반대하/VV+고/EC
있기	있/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

전장연	전장연/NNP
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“숙박시설	“/SL+숙박시설/NNG
건립과	건립/NNG+과/JKB
관련해	관련하/VV+여/EC
군청과	군청/NNG+과/JC
군수와	군수/NNG+와/JC
반대하는	반대하/VV+는/ETM
것은	것/NNB+은/JX
명백한	명백하/VA+ㄴ/ETM
장애인	장애인/NNG
차별	차별/NNG
인데도	인데/NNG+도/JX
그저	그저/MAG
법적판단에	법적판단/NNG+에/JKB
맡기겠다는	맡기/VV+겠/EP+다는/ETM
입장”이라고	입장”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

‘하조대	‘/SN+하조대/NNP
희망들’은	희망/NNG+들/XSN+’/SN+은/JX
서울시가	서울시/NNP+가/JKS
강원도	강원도/NNP
양양군	양양군/NNP
하조대	하조대/NNP
해수욕장에	해수욕장/NNG+에/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
해변에	해변/NNG+에/JKB
편하게	편하/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
편의시설이	편의시설/NNG+이/JKS
잘	잘/MAG
갖추어진	갖추/VV+어/EC+지/VX+ㄴ/ETM
숙박시설을	숙박시설/NNG+을/JKO
건립하는	건립하/VV+는/ETM
