장애인단체들	장애인단체/NNG+들/XSN
양양군수	양양/NNP+군수/NNG
검찰에	검찰/NNG+에/JKB
고발	고발/NNG

장애인단체가	장애인단체/NNG+가/JKS
하조대	하조대/NNP
해수욕장	해수욕장/NNG
장애인숙박시설인	장애인숙박시설/NNG+이/VCP+ㄴ/ETM
'하조대	'/SS+하조대/NNP
희망들'	희망/NNG+들/XSN+'/SS
건립을	건립/NNG+을/JKO
거부하고	거부하/VV+고/EC
있는	있/VX+는/ETM
정상철	정상철/NNP
양양군수를	양양/NNP+군수/NNG+를/JKO
검찰에	검찰/NNG+에/JKB
고발했다	고발하/VV+였/EP+다/EF

서울장애인자립생활센터협의회(이하	서울/NNP+장애인자립생활센터협의회/NNG+(/SS+이하/NNG
협의회)는	협의회/NNG+)/SS+는/JX
27일	27/SN+일/NNB
서울	서울/NNP
광화문	광화문/NNP
광장에서	광장/NNG+에서/JKB
정상철	정상철/NNP
양양군수	양양/NNP+군수/NNG
외	외/NNB
직원	직원/NNG
2명을	2/SN+명/NNB+을/JKO
장애인차별,	장애인차별/NNG+,/SP
직권남용과	직권남용/NNG+과/JC
직무유기로	직무유기/NNG+로/JKB
춘천지방검찰청	춘천/NNP+지방검찰청/NNG
속초지청에	속초지청/NNG+에/JKB
고발장을	고발장/NNG+을/JKO
제출함과	제출하/VV+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
진행할	진행하/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
선포했다	선포하/VV+였/EP+다/EF

앞서	앞서/MAG
양양군은	양양군/NNP+은/JX
서울시가	서울시/NNP+가/JKS
지으려는	짓/VV+으려는/ETM
하조대해수욕장	하조대해수욕장/NNP
장애인숙박시설	장애인숙박시설/NNG
건축을	건축/NNG+을/JKO
허가가	허가/NNG+가/JKS
난	나/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
돌연	돌연/MAG
취소했다	취소하/VV+였/EP+다/EC

지역주민의	지역주민/NNG+의/JKG
건립	건립/NNG
반대	반대/NNG
요구가	요구/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
숙박시설로	숙박시설/NNG+로/JKB
건축허가를	건축허가/NNG+를/JKO
냈는데	내/VV+었/EP+는데/EC
장애인재활시설이	장애인재활시설/NNG+이/JKS
건립되는	건립되/VV+는/ETM
것으로	것/NNB+으로/JKB
당초	당초/NNG
계획과	계획/NNG+과/JKB
다르다는	다르/VA+다는/ETM
이유다	이유/NNG+이/VCP+다/EF

이에	이/NP+에/JKB
서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
양양군을	양양군/NNP+을/JKO
상대로	상대/NNG+로/JKB
‘건축협의	‘/SN+건축협의/NNG
취소처분	취소처분/NNG
취소소송’을	취소소송/NNG+’/SL+을/JKO
제기했다	제기하/VV+였/EP+다/EC

현재	현재/MAG
2심	2/SN+심/NNG
판결까지	판결/NNG+까지/JX
난	나/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

춘천지방법원	춘천/NNP+지방법원/NNG
강릉지원은	강릉/NNP+지원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
5일	5/SN+일/NNB
1심	1/SN+심/NNG
판결에서,	판결/NNG+에서/JKB+,/SP
서울고등법원	서울/NNP+고등법원/NNG
춘천재판부는	춘천재판부/NNP+는/JX
9월	9/SN+월/NNB
26일	26/SN+일/NNB
2심	2/SN+심/NNG
판결에서	판결/NNG+에서/JKB
모두	모두/MAG
서울시의	서울시/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다	들어주/VV+었/EP+다/EF

하지만	하지만/MAJ
정상철	정상철/NNP
양양군수는	양양/NNP+군수/NNG+는/JX
2심에도	2/SN+심/NNG+에/JKB+도/JX
패했지만	패하/VV+였/EP+지만/EC
3심까지	3/SN+심/NNG+까지/JX
갈	가/VV+ㄹ/ETM
권리가	권리/NNG+가/JKS
있다는	있/VA+다는/ETM
이유로	이유/NNG+로/JKB
계속	계속/MAG
건축허가	건축허가/NNG
취소를	취소/NNG+를/JKO
유지하고	유지하/VV+고/EC
법정다툼을	법정다툼/NNG+을/JKO
이어가려고	잇/VV+어/EC+가/VX+려고/EC
해,	하/VX+여/EC+,/SP
이날	이날/NNG
고발장을	고발장/NNG+을/JKO
접수하게	접수하/VV+게/EC
된	되/VV+ㄴ/ETM
것	것/NNB

협의회는	협의회/NNG+는/JX
고발장을	고발장/NNG+을/JKO
통해	통하/VV+여/EC
"법원의	"/SS+법원/NNG+의/JKG
판단에도	판단/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
장애인시설이라는	장애인시설/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
착공신고를	착공신고/NNG+를/JKO
불허하는	불허하/VV+는/ETM
등	등/NNB
피고소인들은	피고소인/NNG+들/XSN+은/JX
장애인의	장애인/NNG+의/JKG
권익을	권익/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사업을	사업/NNG+을/JKO
방해하고	방해하/VV+고/EC
있다	있/VX+다/EC

이러한	이러하/VA+ㄴ/ETM
행위는	행위/NNG+는/JX
장애인을	장애인/NNG+을/JKO
차별하는	차별하/VV+는/ETM
것으로	것/NNB+으로/JKB
그	그/MM
차별에는	차별/NNG+에/JKB+는/JX
고의가	고의/NNG+가/JKS
있으며,	있/VA+으며/EC+,/SP
차별적	차별적/NNG
행위로	행위/NNG+로/JKB
인해	인하/VV+여/EC
장애인의	장애인/NNG+의/JKG
행복추구권이	행복추구권/NNG+이/JKS
심각히	심각히/MAG
침해	침해/NNG
받고	받/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

1인	1/SN+인/NNG
시위	시위/NNG
피켓	피켓/NNG

또한	또한/MAG
"'하조대	"'/SS+하조대/NNP
희망들'은	희망/NNG+들/XSN+'/SS+은/JX
장애인의	장애인/NNG+의/JKG
소망인	소망/NNG+이/VCP+ㄴ/ETM
바다를	바다/NNG+를/JKO
보고	보/VV+고/EC
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장애인	장애인/NNG
전용	전용/NNG
숙박시설을	숙박시설/NNG+을/JKO
이용하고자	이용하/VV+고자/EC
하는	하/VX+는/ETM
장애인과	장애인/NNG+과/JC
그	그/MM
가족의	가족/NNG+의/JKG
절실한	절실하/VA+ㄴ/ETM
욕구로	욕구/NNG+로/JKB
추진됐다"며	추진되/VV+었/EP+다/EF+"/SS+며/EC
"양양군수와	"/SS+양양/NNP+군수/NNG+와/JC
민원봉사과	민원봉사/NNG+과/JC
관계공무원을	관계공무원/NNG+을/JKO
건립을	건립/NNG+을/JKO
방해해	방해하/VV+여/EC
무산시키고자	무산/NNG+시키/XSV+고자/EC
법원의	법원/NNG+의/JKG
판결을	판결/NNG+을/JKO
무시하고	무시하/VV+고/EC
법치주의	법치주의/NNG
및	및/MAG
법치행정의	법치행정/NNG+의/JKG
원칙을	원칙/NNG+을/JKO
파괴하는	파괴하/VV+는/ETM
위법한	위법하/VV+ㄴ/ETM
행정행위를	행정행위/NNG+를/JKO
했기에	하/VV+였/EP+기에/EC
고발한다"고	고발하/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이날	이날/NNG
첫	첫/MM
1인시위	1/SN+인시위/NNG
주자로	주자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
박홍구	박홍구/NNP
한국뇌병변인권협회	한국뇌병변인권협회/NNP
서울지부장은	서울/NNP+지부장/NNG+은/JX
"중증장애인이	"/SS+중증장애인/NNG+이/JKS
해변에서	해변/NNG+에서/JKB
즐겁게	즐겁/VA+게/EC
즐길수	즐기/VV+ㄹ/ETM+수/NNB
있는	있/VA+는/ETM
것을	것/NNB+을/JKO
반대하는	반대하/VV+는/ETM
양양군에	양양군/NNP+에/JKB
울화가	울화/NNG+가/JKS
치민다	치밀/VV+ㄴ다/EF

좋은	좋/VA+은/ETM
시설이	시설/NNG+이/JKS
들어오면	들어오/VV+면/EC
상식적으로	상식적/NNG+으로/JKB
땅값이	땅값/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
게	것/NNB+이/JKC
아니라	아니/VCN+라/EC
올라가는게	올라가/VV+는/ETM+것/NNB+이/JKS
맞지	맞/VV+지/EC
않냐	않/VX+냐/EF

땅값	땅값/NNG
떨어진다고	떨어지/VV+ㄴ다고/EC
반대를	반대/NNG+를/JKO
하는	하/VV+는/ETM
땅주인들을	땅주인/NNG+들/XSN+을/JKO
이해할	이해하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"이번	"/SS+이번/NNG
검찰	검찰/NNG
고발을	고발/NNG+을/JKO
통해	통하/VV+여/EC
진상을	진상/NNG+을/JKO
낱낱이	낱낱이/MAG
밝혀달라"고	밝혀달/VV+라/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
협의회는	협의회/NNG+는/JX
박	박/NNP
서울지부장의	서울/NNP+지부장/NNG+의/JKG
1인시위를	1/SN+인시위/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
무기한으로	무기한/NNG+으로/JKB
시위를	시위/NNG+를/JKO
진행할	진행하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

박경석	박경석/NNP
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
상임대표가	상임대표/NNG+가/JKS
고발장을	고발장/NNG+을/JKO
들고있다	들/VV+고/EC+있/VX+다/EC

서울장애인자립생활센터협의회(이하	서울/NNP+장애인자립생활센터협의회/NNG+(/SS+이하/NNG
협의회)는	협의회/NNG+)/SS+는/JX
27일	27/SN+일/NNB
서울	서울/NNP
광화문	광화문/NNP
광장에서	광장/NNG+에서/JKB
정상철	정상철/NNP
양양군수외	양양군수/NNP+외/NNB
직원2명을	직원/NNG+2/SN+명/NNB+을/JKO
장애인차별,	장애인차별/NNG+,/SP
직권남용과	직권남용/NNG+과/JC
직무유기로	직무유기/NNG+로/JKB
춘천지방검찰청	춘천/NNP+지방검찰청/NNG
속초지청에	속초지청/NNG+에/JKB
고발함과	고발하/VV+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
진행할	진행하/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
선포했다	선포하/VV+였/EP+다/EF
