구리선관위	구리선관위/NNG
'거소투표'	'/SS+거소투표/NNG+'/SS
잘못한	잘못하/VV+ㄴ/ETM
장애인시설	장애인시설/NNG
고발	고발/NNG

(구리=연합뉴스)	(/SS+구리/NNG+=/SW+연합뉴스/NNP+)/SS
김도윤	김도윤/NNP
기자	기자/NNG
=	=/SW
경기도	경기도/NNP
구리지역의	구리지역/NNG+의/JKG
한	한/MM
장애인시설에서	장애인시설/NNG+에서/JKB
거소투표가	거소투표/NNG+가/JKS
제	저/NP+의/JKG
날짜에	날짜/NNG+에/JKB
진행되지	진행되/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
확인돼	확인되/VV+어/EC
선거관리위원회가	선거관리위원회/NNG+가/JKS
조사에	조사/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

선관위는	선관위/NNG+는/JX
투표	투표/NNG
과정에서	과정/NNG+에서/JKB
간섭이	간섭/NNG+이/JKS
있었을	있/VA+었/EP+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
해당	해당/NNG
시설	시설/NNG
직원을	직원/NNG+을/JKO
검찰에	검찰/NNG+에/JKB
고발했다	고발하/VV+였/EP+다/EF

18일	18/SN+일/NNB
구리	구리/NNG
선관위에	선관위/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MM
장애인시설은	장애인시설/NNG+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
입소자	입소자/NNG
중	중/NNB
부재자	부재자/NNG
신고한	신고하/VV+ㄴ/ETM
20명을	20/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
거소투표가	거소투표/NNG+가/JKS
예정됐다	예정되/VV+었/EP+다/EC

그러나	그러나/MAJ
이	이/MM
시설	시설/NNG
직원이	직원/NNG+이/JKS
예정일보다	예정일/NNG+보다/JKB
5일	5/SN+일/NNB
앞선	앞서/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
기표소도	기표소/NNG+도/JX
설치하지	설치하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
마음대로	마음대로/MAG
투표를	투표/NNG+를/JKO
진행했다	진행하/VV+였/EP+다/EF

거소투표는	거소투표/NNG+는/JX
선거	선거/NNG
당일	당일/NNG
투표소에	투표소/NNG+에/JKB
직접	직접/MAG
방문할	방문하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
때	때/NNG
거처에서	거처/NNG+에서/JKB
투표할	투표하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
부재자	부재자/NNG
투표	투표/NNG
방식이다	방식/NNG+이/VCP+다/EC

대상이	대상/NNG+이/JKS
30명	30/SN+명/NNB
미만일	미만/NNG+이/VCP+ㄹ/ETM
때는	때/NNG+는/JX
정당	정당/NNG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
치러진다	치르/VV+어/EC+지/VX+ㄴ다/EC

정해진	정하/VV+여/EC+지/VX+ㄴ/ETM
날짜에	날짜/NNG+에/JKB
선관위	선관위/NNG
직원이	직원/NNG+이/JKS
기표소를	기표소/NNG+를/JKO
설치해	설치하/VV+여/EC
투표를	투표/NNG+를/JKO
진행하고	진행하/VV+고/EC
정당	정당/NNG
직원이	직원/NNG+이/JKS
참관하게	참관하/VV+게/EC
돼	되/VV+어/EC
있다	있/VX+다/EC

기표소를	기표소/NNG+를/JKO
설치하지	설치하/VV+지/EC
않으면	않/VX+으면/EC
해당	해당/NNG
시설에	시설/NNG+에/JKB
최고	최고/NNG
200만원의	200/SN+만/NR+원/NNB+의/JKG
과태료가	과태료/NNG+가/JKS
부과된다	부과되/VV+ㄴ다/EF

투표의	투표/NNG+의/JKG
유·무효	유/NNG+·/SP+무효/NNG
여부와는	여부/NNG+와/JKB+는/JX
