장애인	장애인/NNG
괴롭힘	괴롭히/VV+ㅁ/ETN
동영상	동영상/NNG
게시	게시/NNG
구글	구글/NNG
경영진	경영진/NNG
무죄	무죄/NNG

이탈리아	이탈리아/NNP
항소법원	항소법원/NNG
1심법원	1/SN+심법원/NNG
판결	판결/NNG
뒤집어(서울=연합뉴스)	뒤집/VV+어/EF+(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
류현성	류현성/NNP
기자	기자/NNG
=	=/SW
이탈리아	이탈리아/NNP
항소법원은	항소법원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
다운증후군을	다운증후군/NNG+을/JKO
앓는	앓/VV+는/ETM
장애	장애/NNG
청소년이	청소년/NNG+이/JKS
학교에서	학교/NNG+에서/JKB
괴롭힘을	괴롭히/VV+ㅁ/ETN+을/JKO
당하는	당하/VV+는/ETM
동영상을	동영상/NNG+을/JKO
게재함으로써	게재하/VV+ㅁ/ETN+으로써/JKB
사생활을	사생활/NNG+을/JKO
침해했다며	침해하/VV+였/EP+다며/EC
구글	구글/NNG
경영진	경영진/NNG
3명에	3/SN+명/NNB+에/JKB
대해	대하/VV+여/EC
형법상의	형법/NNG+상/XSN+의/JKG
유죄판결을	유죄판결/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
1심판결을	1/SN+심판결/NNG+을/JKO
뒤집었다고	뒤집/VV+었/EP+다고/EC
AP가	AP/SL+가/JKS
22일	22/SN+일/NNB
보도했다	보도하/VV+였/EP+다/EC

휴대전화로	휴대전화/NNG+로/JKB
촬영된	촬영되/VV+ㄴ/ETM
문제의	문제/NNG+의/JKG
동영상은	동영상/NNG+은/JX
다운증후군인	다운증후군/NNG+이/VCP+ㄴ/ETM
한	한/MM
소년이	소년/NNG+이/JKS
여러	여러/MM
명이	명/NNB+이/JKS
지켜보는	지켜보/VV+는/ETM
가운데	가운데/NNG
다른	다른/MM
소년으로부터	소년/NNG+으로부터/JKB
욕설과	욕설/NNG+과/JKB
함께	함께/MAG
발길질과	발길질/NNG+과/JC
조롱을	조롱/NNG+을/JKO
당하는	당하/VV+는/ETM
내용으로	내용/NNG+으로/JKB
2006년	2006/SN+년/NNB
9월	9/SN+월/NNB
8일부터	8/SN+일/NNB+부터/JX
같은	같/VA+은/ETM
해	해/NNG
11월	11/SN+월/NNB
7일까지	7/SN+일/NNB+까지/JX
두	두/MM
달	달/NNB
동안	동안/NNG
구글	구글/NNG
동영상에	동영상/NNG+에/JKB
게시됐다	게시되/VV+었/EP+다/EF

구글은	구글/NNG+은/JX
이탈리아	이탈리아/NNP
당국의	당국/NNG+의/JKG
통보를	통보/NNG+를/JKO
받고	받/VV+고/EC
2시간	2/SN+시간/NNB
안에	안/NNG+에/JKB
이	이/MM
동영상을	동영상/NNG+을/JKO
제거했다	제거하/VV+였/EP+다/EC

이탈리아	이탈리아/NNP
밀라노	밀라노/NNP
법원은	법원/NNG+은/JX
데이비드	데이비드/NNP
카를	카/NNG+를/JKO
드루몬드	드루몬드/NNG
전	전/MM
구글	구글/NNG
이탈리아	이탈리아/NNP
