장애인숙박시설	장애인숙박시설/NNG
건립반대	건립반대/NNG
올인	올/NNG+이/VCP+ㄴ/ETM
양양군수	양양/NNP+군수/NNG
규탄	규탄/NNG

전국장애인야학협의회와	전/MM+국장애인야학협의회/NNG+와/JC
전국장애인차별철폐연대,	전/MM+국장애인차별철폐연대/NNG+,/SP
한국장애인자립생활센터협의회,	한국장애인자립생활센터협의회/NNP+,/SP
장애인차별금지추진연대는	장애인차별금지추진연대/NNP+는/JX
9일	9/SN+일/NNB
오후	오후/NNG
강원도	강원도/NNP
양양군청	양양군청/NNP
앞에서	앞/NNG+에서/JKB
‘정상철	‘/SN+정상철/NNG
양양군수	양양/NNP+군수/NNG
규탄	규탄/NNG
장애인	장애인/NNG
총력	총력/NNG
결의대회’를	결의대회’/NNG+를/JKO
가졌다	가지/VV+었/EP+다/EC

이는	이/NP+는/JX
하조대	하조대/NNP
해수욕장	해수욕장/NNG
내	내/NNB
장애인숙박시설(하조대	장애인숙박시설/NNG+(/SS+하조대/NNP
희망들)	희망/NNG+들/XSN+)/SS
건립을	건립/NNG+을/JKO
놓고	놓/VV+고/EC
갈등을	갈등/NNG+을/JKO
빚어오던	빚/VV+어/EC+오/VX+던/ETM
양양군청이	양양/NNP+군청/NNG+이/JKS
서울시와의	서울시/NNP+와/JKB+의/JKG
법정다툼에서	법정다툼/NNG+에서/JKB
패소하고도	패소하/VV+고도/EC
대법원(3심)	대법원/NNG+(/SS+3/SN+심/NNG+)/SS
판결까지	판결/NNG+까지/JX
갈	가/VV+ㄹ/ETM
권리가	권리/NNG+가/JKS
있다는	있/VA+다는/ETM
이유로	이유/NNG+로/JKB
건축허가	건축허가/NNG
취소를	취소/NNG+를/JKO
고수하고	고수하/VV+고/EC
있기	있/VX+기/ETN
때문	때문/NNB

앞서	앞서/MAG
양양군은	양양군/NNP+은/JX
서울시가	서울시/NNP+가/JKS
지으려는	짓/VV+으려는/ETM
하조대	하조대/NNP
해수욕장	해수욕장/NNG
건축을	건축/NNG+을/JKO
허가한	허가하/VV+ㄴ/ETM
후	후/NNG
돌연	돌연/MAG
취소했다	취소하/VV+였/EP+다/EC

지역주민의	지역주민/NNG+의/JKG
건립	건립/NNG
반대	반대/NNG
요구가	요구/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
숙박시설로	숙박시설/NNG+로/JKB
건축허가를	건축허가/NNG+를/JKO
냈는데	내/VV+었/EP+는데/EC
장애인재활시설이	장애인재활시설/NNG+이/JKS
건립되는	건립되/VV+는/ETM
것으로	것/NNB+으로/JKB
당초	당초/NNG
계획과	계획/NNG+과/JKB
다르다는	다르/VA+다는/ETM
이유에서다	이유/NNG+에서다/JKB

이에	이/NP+에/JKB
서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
양양군을	양양군/NNP+을/JKO
상대로	상대/NNG+로/JKB
‘건축협의	‘/SN+건축협의/NNG
취소처분	취소처분/NNG
취소소송’을	취소소송/NNG+’/SL+을/JKO
제기했다	제기하/VV+였/EP+다/EC

현재	현재/MAG
2심	2/SN+심/NNG
판결까지	판결/NNG+까지/JX
난	나/VV+ㄴ/ETM
상태로	상태/NNG+로/JKB
춘천지방법원	춘천/NNP+지방법원/NNG
강릉지원은	강릉/NNP+지원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
5일	5/SN+일/NNB
1심	1/SN+심/NNG
판결에서,	판결/NNG+에서/JKB+,/SP
서울고등법원	서울/NNP+고등법원/NNG
춘천재판부는	춘천재판부/NNP+는/JX
9월	9/SN+월/NNB
26일	26/SN+일/NNB
2심	2/SN+심/NNG
판결에서	판결/NNG+에서/JKB
모두	모두/MAG
서울시의	서울시/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다	들어주/VV+었/EP+다/EF

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“장애인에	“/SN+장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이유	이유/NNG
없는	없/VA+는/ETM
편견과	편견/NNG+과/JC
혐오를	혐오/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
하는	하/VV+는/ETM
하조대주민들의	하조대주민/NNG+들/XSN+의/JKG
반대	반대/NNG
때문에	때문/NNB+에/JKB
양양군수	양양/NNP+군수/NNG
역시	역시/MAG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별이	차별/NNG+이/JKS
분명함에도	분명하/VA+ㅁ에도/EC
불구하고	불구하/VV+고/EC
계속	계속/MAG
건축허가	건축허가/NNG
취소를	취소/NNG+를/JKO
유지하고	유지하/VV+고/EC
법정다툼을	법정다툼/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
강하게	강하/VA+게/EC
비판했다	비판하/VV+였/EP+다/EC

이어	이어/MAG
“양양군수는	“/SL+양양/NNP+군수/NNG+는/JX
끝내	끝내/MAG
3심까지	3/SN+심/NNG+까지/JX
가서라도	가/VV+아서/EC+라도/JX
‘하조대의	‘/SN+하조대/NNP+의/JKG
희망들’	희망/NNG+들/XSN+’/SN
건축을	건축/NNG+을/JKO
막겠다는	막/VV+겠/EP+다는/ETM
입장”이라며	입장”/NNG+이/VCP+라며/EC
“3심까지	“/SW+3/SN+심/NNG+까지/JX
가면	가/VV+면/EC
해를	해/NNG+를/JKO
넘기게	넘기/VV+게/EC
되고	되/VV+고/EC
서울시가	서울시/NNP+가/JKS
승소하더라도	승소하/VV+더라도/EC
무조건	무조건/MAG
국고예산을	국고예산/NNG+을/JKO
반납해야	반납하/VV+여야/EC
해	하/VX+여/EC
이	이/MM
사업은	사업/NNG+은/JX
물거품이	물거품/NNG+이/JKC
돼	되/VV+어/EC
버린다”고	버리/VX+ㄴ다/EF+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“주민들과	“/SL+주민/NNG+들/XSN+과/JKB
대화를	대화/NNG+를/JKO
시도했지만	시도하/VV+였/EP+지만/EC
대화	대화/NNG
의지가	의지/NNG+가/JKS
없었다”며	없/VA+었/EP+다/EC+”/VV+며/EC
“인권위	“/SN+인권위/NNG
진정	진정/NNG
결과가	결과/NNG+가/JKS
나오는	나오/VV+는/ETM
대로	대로/NNB
집단	집단/NNG
이기주의를	이기주의/NNG+를/JKO
보이는	보이/VV+는/ETM
양양군과	양양군/NNP+과/JC
주민들	주민/NNG+들/XSN
모두에	모두/NNG+에/JKB
대해	대하/VV+여/EC
법적	법적/NNG
대응을	대응/NNG+을/JKO
준비할	준비하/VV+ㄹ/ETM
계획에	계획/NNG+에/JKB
있다”고	있/VA+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
