장애아	장애아/NNG
출산	출산/NNG
막으려	막/VV+으려/EC
원전	원전/NNG
반대?	반대/NNG+?/SF
"위험한	"/SS+위험하/VA+ㄴ/ETM
생각"	생각/NNG+"/SS

전은옥(malgeul)	전은옥/NNP+(/SS+malgeul/SL+)/SS
기자"방사선의	기자/NNG+"/SS+방사선/NNG+의/JKG
공포를	공포/NNG+를/JKO
피해	피하/VV+여/EC
전국	전국/NNG
각지로	각지/NNG+로/JKB
피난	피난/NNG
간	간/NNB
후쿠시마	후쿠시마/NNP
현민이	현민/NNG+이/JKS
6만	6/SN+만/NR
명을	명/NNB+을/JKO
넘습니다	넘/VV+습니다/EF

장애인	장애인/NNG
중에도	중/NNB+에/JKB+도/JX
후쿠시마현을	후쿠시마현/NNP+을/JKO
떠나	떠나/VV+아/EC
피난을	피난/NNG+을/JKO
가고	가/VV+고/EC
싶어하는	싶/VX+어/EC+하/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있습니다	있/VA+습니다/EF

그러나	그러나/MAJ
건강한	건강하/VA+ㄴ/ETM
사람들과는	사람/NNG+들/XSN+과/JKB+는/JX
달리	달리/MAG
장애인이	장애인/NNG+이/JKS
살기에	살/VV+기/ETN+에/JKB
적합한	적합하/VA+ㄴ/ETM
주거	주거/NNG
환경과	환경/NNG+과/JC
교통편,	교통편/NNG+,/SP
활동보조인의	활동보조인/NNG+의/JKG
확보	확보/NNG
등	등/NNB
여건이	여건/NNG+이/JKS
충분히	충분히/MAG
마련돼	마련되/VV+어/EC
있지	있/VX+지/EC
않으면	않/VX+으면/EC
피난도	피난/NNG+도/JX
어렵습니다	어렵/VA+습니다/EF

재해가	재해/NNG+가/JKS
일어났을	일어나/VV+았/EP+을/ETM
때	때/NNG
피하지	피하/VV+지/EC
못하고	못하/VX+고/EC
현장에	현장/NNG+에/JKB
남아	남/VV+아/EC
있어야	있/VX+어야/EC
했던	하/VX+였/EP+던/ETM
사람은	사람/NNG+은/JX
혼자	혼자/NNG
힘으로는	힘/NNG+으로/JKB+는/JX
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
고령자와	고령자/NNG+와/JC
장애인이었습니다	장애인/NNG+이/VCP+었/EP+습니다/EF

이런	이런/MM
현실을	현실/NNG+을/JKO
깊이	깊이/MAG
생각해	생각하/VV+여/EC
재해	재해/NNG
대책을	대책/NNG+을/JKO
재점검해야	재점검하/VV+여야/EC
합니다	하/VX+ㅂ니다/EF

"	"/SS
지난	지나/VV+ㄴ/ETM
22일,	22/SN+일/NNB+,/SP
'핵	'/SS+핵/NNG
없는	없/VA+는/ETM
세상'	세상/NNG+'/SS
주최로	주최/NNG+로/JKB
문화예술카페	문화예술카페/NNG
별꼴에서	별꼴/NNG+에서/JKB
후쿠시마	후쿠시마/NNP
제1원전	제/XPN+1/SN+원/NNB+전/XSN
사고로	사고/NNG+로/JKB
인해	인하/VV+여/EC
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
지역인	지역/NNG+이/VCP+ㄴ/ETM
고리야마시의	고리야마시/NNP+의/JKG
피폭	피폭/NNG
장애인	장애인/NNG
시라이시	시라이시/NNP
키요하루씨의	키요하루/NNP+씨/NNB+의/JKG
강연회가	강연회/NNG+가/JKS
열렸다	열리/VV+었/EP+다/EC

소박한	소박하/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
카페	카페/NNG
안에	안/NNG+에/JKB
앉을	앉/VV+을/ETM
자리가	자리/NNG+가/JKS
부족할	부족하/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
그의	그/NP+의/JKG
이야기를	이야기/NNG+를/JKO
듣고자	듣/VV+고자/EC
모여들었다	모여들/VV+었/EP+다/EF

시라이시씨는	시라이시/NNP+씨/NNB+는/JX
이번에	이번/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
한국에	한국/NNP+에/JKB
방문했다	방문하/VV+였/EP+다/EC

지난해	지난해/NNG
3월	3/SN+월/NNB
11일	11/SN+일/NNB
동일본	동일본/NNP
대지진	대지진/NNG
직후	직후/NNG
'피재지	'/SS+피재지/NNG
장애인	장애인/NNG
지원센터	지원센터/NNG
후쿠시마'라는	후쿠시마/NNP+'/SS+이/VCP+라는/ETM
장애인	장애인/NNG
자립생활지원단체를	자립생활지원단체/NNG+를/JKO
만들어	만들/VV+어/EC
활동을	활동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
그는	그/NP+는/JX
매그니튜드	매그니튜드/NNP
9	9/SN

0의	0/SN+의/JKG
거대지진이	거대지진/NNG+이/JKS
발생했던	발생하/VV+였/EP+던/ETM
그날	그날/NNG
복지센터	복지센터/NNG
3층에	3/SN+층/NNG+에/JKB
있었다	있/VA+었/EP+다/EF

극심한	극심하/VA+ㄴ/ETM
흔들림이	흔들리/VV+ㅁ/ETN+이/JKS
3~5분	3/SN+~/SO+5/SN+분/NNB
가량	가량/XSN
이어졌는데	이어지/VV+었/EP+는데/EC
건물이	건물/NNG+이/JKS
너무	너무/MAG
흔들려서	흔들리/VV+어서/EC
공포를	공포/NNG+를/JKO
느꼈다고	느끼/VV+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

평상시처럼	평상시/NNG+처럼/JKB
전동	전동/NNG
휠체어에	휠체어/NNG+에/JKB
타고	타/VV+고/EC
있던	있/VX+던/ETM
그는	그/NP+는/JX
빨리	빨리/MAG
안전한	안전하/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
피해야	피하/VV+여야/EC
함에도	하/VX+ㅁ에도/EC
지진으로	지진/NNG+으로/JKB
엘리베이터가	엘리베이터/NNG+가/JKS
멈춰	멈추/VV+어/EC
활동보조인에게	활동보조인/NNG+에게/JKB
안겨	안기/VV+어/EC
계단을	계단/NNG+을/JKO
내려올	내려오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다	없/VA+었/EP+다/EF

다행히	다행히/MAG
고리야마시는	고리야마시/NNP+는/JX
해안지역과는	해안지역/NNG+과/JKB+는/JX
멀리	멀리/MAG
떨어져	떨어지/VV+어/EC
있어	있/VX+어/EC
해일로	해일/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
입지는	입/VV+지/EC+는/JX
않았다	않/VX+았/EP+다/EF

문제는	문제/NNG+는/JX
곧바로	곧바로/MAG
연쇄적으로	연쇄적/NNG+으로/JKB
발생한	발생하/VV+ㄴ/ETM
후쿠시마	후쿠시마/NNP
제1원전	제/XPN+1/SN+원/NNB+전/XSN
