국제적	국제적/NNG
장애인리더	장애인리더/NNG
양성	양성/NNG
시스템	시스템/NNG
‘시급’	‘/SN+시급/NNG+’/SN

유엔장애인권리협약에	유엔/NNP+장애인권리협약/NNG+에/JKB
가입한	가입하/VV+ㄴ/ETM
나라는	나라/NNG+는/JX
협약	협약/NNG
발효	발효/NNG
2년	2/SN+년/NNB
경과	경과/NNG
후에,	후/NNG+에/JKB+,/SP
그리고	그리고/MAJ
그	그/MM
다음	다음/NNG
매	매/MM
4년마다	4/SN+년/NNB+마다/JX
국가보고서를	국가보고서/NNG+를/JKO
유엔에	유엔/NNP+에/JKB
제출하게	제출하/VV+게/EC
되어있는데,	되/VV+어/EC+있/VX+는데/EC+,/SP
그	그/MM
국가보고서를	국가보고서/NNG+를/JKO
심의하는	심의하/VV+는/ETM
기구가	기구/NNG+가/JKS
바로	바로/MAG
유엔장애인권리위원회(Committee	유엔/NNP+장애인권리위원회/NNG+(/SS+Committee/SL
on	on/SL
the	the/SL
Rights	Rights/SL
of	of/SL
Persons	Persons/SL
with	with/SL
Disabilities)이다	Disabilities/SL+)/SS+이/VCP+다/EC

유엔장애인권리위원회는,	유엔/NNP+장애인권리위원회/NNG+는/JX+,/SP
지난번	지난번/NNG
인터뷰	인터뷰/NNG
기사를	기사/NNG+를/JKO
통해	통하/VV+여/EC
소개한	소개하/VV+ㄴ/ETM
바	바/NNB
있는	있/VA+는/ETM
호주	호주/NNP
출신의	출신/NNG+의/JKG
로널드	로널드/NNP
맥컬럼(Ronald	맥컬럼/NNG+(/SS+Ronald/SL
MC	MC/SL
CALLUM)씨가	CALLUM/SL+)/SS+씨/NNB+가/JKS
위원장을	위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
유엔	유엔/NNP
회원국들로부터	회원국/NNG+들/XSN+로부터/JKB
추천을	추천/NNG+을/JKO
받은	받/VV+은/ETM
장애인	장애인/NNG
인권	인권/NNG
관련	관련/NNG
전문가들	전문가/NNG+들/XSN
중에서	중/NNB+에서/JKB
선거를	선거/NNG+를/JKO
통해	통하/VV+여/EC
뽑힌	뽑히/VV+ㄴ/ETM
18명의	18/SN+명/NNB+의/JKG
위원으로	위원/NNG+으로/JKB
구성되어	구성되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
현재	현재/MAG
활동	활동/NNG
