`인권도시	`/SW+인권도시/NNG
길잡이'	길잡이/NNG+'/SS
서울시	서울시/NNP
인권위원회	인권위원회/NNG
출범	출범/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이정현	이정현/NNP
기자	기자/NNG
=	=/SW
인권에	인권/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
주요	주요/NNG
시책과	시책/NNG+과/JC
법규를	법규/NNG+를/JKO
심의하고	심의하/VV+고/EC
자문할	자문하/VV+ㄹ/ETM
서울시	서울시/NNP
인권위원회가	인권위원회/NNG+가/JKS
27일	27/SN+일/NNB
출범했다	출범하/VV+였/EP+다/EC

서울시는	서울시/NNP+는/JX
이날	이날/NNG
시	시/NNG
인권위원회	인권위원회/NNG
위원으로	위원/NNG+으로/JKB
여성ㆍ장애인ㆍ이주민	여성/NNG+ㆍ/SN+장애인/NNG+ㆍ/SP+이주민/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
분야의	분야/NNG+의/JKG
인권	인권/NNG
관련	관련/NNG
전문가	전문가/NNG
15명을	15/SN+명/NNB+을/JKO
위촉하고	위촉하/VV+고/EC
첫	첫/MM
회의를	회의/NNG+를/JKO
열었다고	열/VV+었/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

전문위원으로는	전문위원/NNG+으로/JKB+는/JX
박래군	박래군/NNG
인권재단	인권재단/NNG
사람	사람/NNG
상임이사,	상임이사/NNG+,/SP
박김영희	박김영희/NNP
장애인차별금지추진연대	장애인차별금지추진연대/NNG
사무국장,	사무국/NNG+장/XSN+,/SP
양혜우	양혜우/NNP
전	전/MM
이주인권연대	이주인권연대/NNP
대표,	대표/NNG+,/SP
이남신	이남신/NNP
한국비정규직노동센터	한국비정규직노동센터/NNP
소장,	소장/NNG+,/SP
문경란	문경란/NNP
이회여대	이회여대/NNP
여성학센터	여성학센터/NNG
연구위원,	연구위원/NNG+,/SP
김형완	김형완/NNP
인권정책연구소장,	인권정책연구소/NNG+장/XSN+,/SP
조효제	조효제/NNP
성공회대	성공회대/NNP
교수,	교수/NNG+,/SP
홍성수	홍성수/NNP
숙명여대	숙명여대/NNP
교수	교수/NNG
등이	등/NNB+이/JKS
참여했다	참여하/VV+였/EP+다/EF

지난	지나/VV+ㄴ/ETM
9월28일	9/SN+월/NNB+28/SN+일/NNB
공포된	공포되/VV+ㄴ/ETM
`서울시	`/SW+서울시/NNP
인권기본조례'에	인권기본조례/NNG+'/SS+에/JKB
근거해	근거하/VV+여/EC
발족한	발족하/VV+ㄴ/ETM
시	시/NNB
인권위원회는	인권위원회/NNG+는/JX
앞으로	앞/NNG+으로/JKB
`인권정책	`/SW+인권정책/NNG
기본계획'과	기본계획/NNG+'/SS+과/JC
연도별	연도/NNG+별/XSN
시행계획,	시행계획/NNG+,/SP
시	시/NNG
인권센터	인권센터/NNG
운영,	운영/NNG+,/SP
시장ㆍ위원장ㆍ위원회	시장/NNG+ㆍ/SP+위원장/NNG+ㆍ/SP+위원회/NNG
위원	위원/NNG
3명	3/SN+명/NNB
이상이	이상/NNG+이/JKS
제안한	제안하/VV+ㄴ/ETM
사안	사안/NNG
등에	등/NNB+에/JKB
대해	대하/VV+여/EC
심의ㆍ자문하게	심의/NNG+ㆍ/SP+자문하/VV+게/EC
된다	되/VV+ㄴ다/EF

더불어	더불/VV+어/EC
시민의	시민/NNG+의/JKG
인권을	인권/NNG+을/JKO
보호하고	보호하/VV+고/EC
실현할	실현하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
다양한	다양하/VA+ㄴ/ETM
인권	인권/NNG
의제를	의제/NNG+를/JKO
발굴하고	발굴하/VV+고/EC
정책을	정책/NNG+을/JKO
개발해	개발하/VV+여/EC
시에	시/NNG+에/JKB
제안하는	제안하/VV+는/ETM
역할도	역할/NNG+도/JX
맡는다	맡/VV+는다/EF

박원순	박원순/NNP
시장은	시장/NNG+은/JX
이날	이날/NNG
시청에서	시청/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
위촉식에	위촉/NNG+식/XSN+에/JKB
참석해	참석하/VV+여/EC
"서울시가	"/SS+서울시/NNP+가/JKS
인권도시로	인권도시/NNG+로/JKB
나아가는	나아가/VV+는/ETM
데	데/NNB
훌륭한	훌륭하/VA+ㄴ/ETM
길잡이	길잡이/NNG
역할을	역할/NNG+을/JKO
해달라"고	하/VV+여/EC+달/VX+라/EF+"/SS+고/JKQ
당부했다	당부하/VV+였/EP+다/EC

lisa@yna	lisa/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
