태풍속	태풍속/NNG
국회	국회/NNG
앞	앞/NNG
1인시위	1/SN+인시위/NNG
장애인,	장애인/NNG+,/SP
왜?	왜/MAG+?/SF

태풍	태풍/NNG
산바가	산바/NNP+가/JKS
북상하며	북상하/VV+며/EC
전국을	전국/NNG+을/JKO
강타하고	강타하/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
1인시위	1/SN+인시위/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
장애인에게	장애인/NNG+에게/JKB
우산을	우산/NNG+을/JKO
씌어주는	씌/VV+어/EC+주/VX+는/ETM
경찰관	경찰관/NNG
사진이	사진/NNG+이/JKS
온라인에서	온라인/NNG+에서/JKB
화제를	화제/NNG+를/JKO
불러일으키고	불러일으키/VV+고/EC
있다	있/VX+다/EC

한	한/MM
트위터리안(@dolmen85)은	트위터리안/NNG+(/SS+@/SW+dolmen/SL+85/SN+)/SS+은/JX
17일	17/SN+일/NNB
오후	오후/NNG
“국회	“/SN+국회/NNG
앞	앞/NNG
비오는데	비/NNG+오/VV+는데/EC
장애인분	장애인분/NNG
1인시위,	1/SN+인시위/NNG+,/SP
우산	우산/NNG
받쳐주는	받치/VV+어/EC+주/VX+는/ETM
경찰”이라는	경찰”/NNG+이/VCP+라는/ETM
글과	글/NNG+과/JKB
함께	함께/MAG
사진	사진/NNG
한	한/MM
장을	장/NNG+을/JKO
게시했다	게시하/VV+였/EP+다/EC

사진	사진/NNG
속에는	속/NNG+에/JKB+는/JX
여의도	여의도/NNP
국회의사당	국회의사당/NNG
앞에서	앞/NNG+에서/JKB
전동	전동/NNG
휠체어에	휠체어/NNG+에/JKB
탄	타/VV+ㄴ/ETM
채	채/NNB
1인	1/SN+인/NNG
피켓시위를	피켓시위/NNG+를/JKO
벌이는	벌이/VV+는/ETM
장애인과	장애인/NNG+과/JKB
묵묵히	묵묵히/MAG
우산을	우산/NNG+을/JKO
받치고	받치/VV+고/EC
있는	있/VX+는/ETM
경찰의	경찰/NNG+의/JKG
모습이	모습/NNG+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EF

이에	이/NP+에/JKB
각	각/MM
온라인	온라인/NNG
커뮤니티로	커뮤니티/NNG+로/JKB
옮겨진	옮기/VV+어/EC+지/VX+ㄴ/ETM
사진의	사진/NNG+의/JKG
댓글에는	댓글/NNG+에/JKB+는/JX
“훈훈하네용^^”,	“/SN+훈훈하네/NNG+용/XSN+^^/SW+”/SL+,/SP
“오랜만에	“/SL+오랜만/NNG+에/JKB
마음이	마음/NNG+이/JKS
따뜻해지는	따뜻하/VA+여/EC+지/VX+는/ETM
사진이네요”,	사진/NNG+이/VCP+네요/EC+”/SL+,/SP
“저런	“저럽/VA+ㄴ/ETM
경찰이	경찰/NNG+이/JKC
되고	되/VV+고/EC
싶다”등	싶/VX+다/EC+”/SL+등/NNB
집회시위	집회시위/NNG
현장에서	현장/NNG+에서/JKB
경찰과	경찰/NNG+과/JC
국민이	국민/NNG+이/JKS
서로	서로/MAG
대립이	대립/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
함께	함께/MAG
하는	하/VV+는/ETM
'친구'같은	'/SS+친구/NNG+'/SS+같/VA+은/ETM
존재임을	존재/NNG+이/VCP+ㅁ/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
모습에	모습/NNG+에/JKB
감동했다	감동하/VV+였/EP+다/EC

화제가	화제/NNG+가/JKC
된	되/VV+ㄴ/ETM
