<속보>故	</SS+속보/NNG+>/SS+故/SL
김주영씨	김주영/NNP+씨/NNB
장례	장례/NNG
뒤	뒤/NNG
경찰과	경찰/NNG+과/JC
대치	대치/NNG

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
회원	회원/NNG
등	등/NNB
장애인	장애인/NNG
600여명이	600/SN+여/XSN+명/NNB+이/JKS
오후	오후/NNG
1시	1/SN+시/NNB
30분	30/SN+분/NNB
현재	현재/MAG
서울	서울/NNP
종로구	종로구/NNP
안국동사거리	안국동사거리/NNP
인근도로에서	인근도로/NNG+에서/JKB
경찰과	경찰/NNG+과/JC
대치	대치/NNG
중이다	중/NNB+이/VCP+다/EC

이들은	이/NP+들/XSN+은/JX
오전	오전/NNG
11시	11/SN+시/NNB
광화문광장에서	광화문/NNP+광장/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
새벽	새벽/NNG
집에서	집/NNG+에서/JKB
홀로	홀로/MAG
잠자다	잠자/VV+다/EC
화재로	화재/NNG+로/JKB
참변을	참변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
여성장애인활동가	여성장애인활동가/NNG
고(故)	고/NNG+(/SS+故/SL+)/SS
김주영씨의	김주영/NNP+씨/NNB+의/JKG
장례를	장례/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
뒤	뒤/NNG
계동	계동/NNP
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖기	갖/VV+기/ETN
위해	위하/VV+여/EC
이동했다	이동하/VV+였/EP+다/EC

하지만	하지만/MAJ
경찰이	경찰/NNG+이/JKS
이를	이/NP+를/JKO
저지하고	저지하/VV+고/EC
있는	있/VX+는/ETM
상태로,	상태/NNG+로/JKB+,/SP
이들은	이/NP+들/XSN+은/JX
1·2차선의	1/SN+·/SP+2/SN+차/NNB+선/NNG+의/JKG
도로를	도로/NNG+를/JKO
점거하고	점거하/VV+고/EC
있다	있/VX+다/EC

이들은	이/NP+들/XSN+은/JX
김주영	김주영/NNP
씨와	씨/NNB+와/JKB
같은	같/VA+은/ETM
사태가	사태/NNG+가/JKS
발생하지	발생하/VV+지/EC
않도록	않/VX+도록/EC
장애인활동보조	장애인활동보조/NNG
24시간	24/SN+시간/NNB
제공을	제공/NNG+을/JKO
촉구하고	촉구하/VV+고/EC
있다	있/VX+다/EC

한편	한편/MAG
뇌병변장애	뇌병변장애/NNG
1급인	1/SN+급/NNG+이/VCP+ㄴ/ETM
김주영	김주영/NNP
씨는	씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
새벽	새벽/NNG
2시	2/SN+시/NNB
10분께	10/SN+분/NNB+께/XSN
자택인	자택/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
행당동의	행당동/NNP+의/JKG
상가건물에서	상가건물/NNG+에서/JKB
원인을	원인/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
불이	불/NNG+이/JKS
나	나/VV+아/EC
119에	119/SN+에/JKB
신고했지만,	신고하/VV+였/EP+지만/EC+,/SP
소방차가	소방차/NNG+가/JKS
도착하는	도착하/VV+는/ETM
동안	동안/NNG
질식해	질식하/VV+여/EC
숨졌다	숨지/VV+었/EP+다/EF

활동보조인이	활동보조인/NNG+이/JKS
전날	전날/NNG
오후	오후/NNG
11시에	11/SN+시/NNB+에/JKB
퇴근한	퇴근하/VV+ㄴ/ETM
이후	이후/NNG
홀로	홀로/MAG
잠을	잠/NNG+을/JKO
자던	자/VV+던/ETM
시간에	시간/NNG+에/JKB
발생한	발생하/VV+ㄴ/ETM
사건으로	사건/NNG+으로/JKB
장애인단체들은	장애인단체/NNG+들/XSN+은/JX
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
턱	턱/NNG
없이	없이/MAG
적은	적/VA+은/ETM
급여에	급여/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판의	비판/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높이고	높이/VV+고/EC
있다	있/VX+다/EC

경찰에	경찰/NNG+에/JKB
항의하고	항의하/VV+고/EC
있는	있/VX+는/ETM
장애인	장애인/NNG
