황당한	황당하/VA+ㄴ/ETM
단원구청의	단원구청/NNG+의/JKG
버스정류장	버스정류장/NNG
경계석	경계석/NNG
제거	제거/NNG

경기도	경기도/NNP
안산시	안산시/NNP
단원구청이	단원구청/NNG+이/JKS
휠체어	휠체어/NNG
및	및/MAG
교통약자	교통약자/NNG
등의	등/NNB+의/JKG
편리한	편리하/VA+ㄴ/ETM
저상버스	저상버스/NNG
이용을	이용/NNG+을/JKO
위해	위하/VV+여/EC
버스정류장의	버스정류장/NNG+의/JKG
인도	인도/NNG
경계석을	경계석/NNG+을/JKO
제거했지만	제거하/VV+였/EP+지만/EC
휠체어장애인은	휠체어장애인/NNG+은/JX
이로	이/NP+로/JKB
인해	인하/VV+여/EC
불편을	불편/NNG+을/JKO
감수해야할	감수하/VV+여야/EC+하/VX+ㄹ/ETM
형편에	형편/NNG+에/JKB
놓였다	놓이/VV+었/EP+다/EC

경기도	경기도/NNP
안산시	안산시/NNP
단원구청은	단원구청/NNG+은/JX
안산시	안산시/NNP
선부1동	선부/NNP+1/SN+동/NNG
영구임대	영구임대/NNG
아파트	아파트/NNG
앞	앞/NNG
14단지	14/SN+단지/NNG
버스정류장과	버스정류장/NNG+과/JKB
맞은편	맞은편/NNG
15단지	15/SN+단지/NNG
버스정류장	버스정류장/NNG
앞의	앞/NNG+의/JKG
인도	인도/NNP
경계석을	경계석/NNG+을/JKO
모두	모두/MAG
제거하는	제거하/VV+는/ETM
사업을	사업/NNG+을/JKO
시범적으로	시범적/NNG+으로/JKB
추진하고	추진하/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
인도	인도/NNP
경계석	경계석/NNG
제거는	제거/NNG+는/JX
버스정류장	버스정류장/NNG
앞의	앞/NNG+의/JKG
차도와	차도/NNG+와/JC
인도의	인도/NNP+의/JKG
경계를	경계/NNG+를/JKO
제거,	제거/NNG+,/SP
횡단보도처럼	횡단보도/NNG+처럼/JKB
완만한	완만하/VA+ㄴ/ETM
경사로를	경사로/NNG+를/JKO
만들어	만들/VV+어/EC
휠체어장애인	휠체어장애인/NNG
등	등/NNB
교통약자들이	교통약자/NNG+들/XSN+이/JKS
버스를	버스/NNG+를/JKO
안전하고	안전하/VA+고/EC
편리하게	편리하/VA+게/EC
탈수	탈수/NNG
있도록	있/VA+도록/EC
하겠다는	하/VX+겠/EP+다는/ETM
야심찬	야심/NNG+차/VV+ㄴ/ETM
계획에서였다	계획/NNG+에서/JKB+이/VCP+었/EP+다/EF

하지만	하지만/MAJ
안산시의	안산시/NNP+의/JKG
상록장애인자립생활센터가	상록장애인자립생활센터/NNG+가/JKS
경원여객의	경원여객/NNG+의/JKG
협조를	협조/NNG+를/JKO
얻어	얻/VV+어/EC
수동휠체어	수동휠체어/NNG
및	및/MAG
전동휠체어의	전동휠체어/NNG+의/JKG
승하차	승하차/NNG
유무를	유무/NNG+를/JKO
점검한	점검하/VV+ㄴ/ETM
결과	결과/NNG
정작	정작/NNG
불편이	불편/NNG+이/JKS
예상되면서	예상되/VV+면서/EC
