문제	문제/NNG
있는	있/VA+는/ETM
충남도청신청사	충남도청신청사/NNP
‘장애인화장실’	‘/SN+장애인화/NNG+장실/XSN+’/SN

홍성·예산의	홍성/NNP+·/SP+예산/NNG+의/JKG
균형발전을	균형발전/NNG+을/JKO
위해	위하/VV+여/EC
두	두/MM
곳의	곳/NNG+의/JKG
경계지에	경계지/NNG+에/JKB
건립	건립/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
충남도청	충남/NNP+도청/NNG
신청사의	신청/NNG+사/XSN+의/JKG
내부	내부/NNG
마무리	마무리/NNG
공사가	공사/NNG+가/JKS
한창이다	한창/NNG+이/VCP+다/EC

지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
7월	7/SN+월/NNB
공사를	공사/NNG+를/JKO
시작했으며,	시작하/VV+였/EP+으며/EC+,/SP
총	총/XPN
사업비는	사업비/NNG+는/JX
3270여억원이다	3270/SN+여/XSN+억/NR+원/NNB+이/VCP+다/EC

준공예정일은	준공예정일/NNG+은/JX
오는	오/VV+는/ETM
12월	12/SN+월/NNB
13일로	13/SN+일/NNB+로/JKB
잡고	잡/VV+고/EC
있다	있/VX+다/EC

신청사는	신/XPN+청사/NNG+는/JX
지하2층∼지상7층의	지하/NNG+2/SN+층/NNG+∼/SO+지상/NNG+7/SN+층/NNG+의/JKG
본청동,	본청동/NNG+,/SP
지하2층∼지상5층의	지하/NNG+2/SN+층/NNG+∼/SO+지상/NNG+5/SN+층/NNG+의/JKG
의회동,	의회동/NNG+,/SP
지하2층∼지상3층의	지하/NNG+2/SN+층/NNG+∼/SO+지상/NNG+3/SN+층/NNG+의/JKG
별관동,	별관동/NNG+,/SP
지하2층∼지상2층의	지하/NNG+2/SN+층/NNG+∼/SO+지상/NNG+2/SN+층/NNG+의/JKG
문예회관으로	문예회관/NNG+으로/JKB
나뉜다	나뉘/VV+ㄴ다/EF

특히	특히/MAG
설계당시부터	설계당시/NNG+부터/JX
한국장애인개발원으로부터	한국/NNP+장애인개발/NNG+원/XSN+으로부터/JKB
‘장애물	‘/SN+장애물/NNG
없는	없/VA+는/ETM
생활환경(Barrier	생활환경/NNG+(/SS+Barrier/SL
Free)'	Free/SL+)'/SS
예비인증	예비인증/NNG
최우수	최우수/NNG
등급을	등급/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

예비인증은	예비인증/NNG+은/JX
본인증	본인증/NNG
전에	전/NNG+에/JKB
사업계획서	사업계획서/NNG
또는	또는/MAG
설계도면	설계도면/NNG
등을	등/NNB+을/JKO
참고해	참고하/VV+여/EC
주어지며,	주어지/VV+며/EC+,/SP
본인증은	본인증/NNG+은/JX
공사	공사/NNG
준공	준공/NNG
혹은	혹은/MAG
사용승인	사용승/NNG+이/VCP+ㄴ/ETM
후	후/NNG
평가를	평가/NNG+를/JKO
통해	통하/VV+여/EC
최우수등급,	최우수등급/NNG+,/SP
2등급,	2/SN+등급/NNG+,/SP
3등급으로	3/SN+등급/NNG+으로/JKB
나눠	나누/VV+어/EC
부여된다	부여되/VV+ㄴ다/EF

지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
충남시각장애인연합회	충남/NNP+시각장애인연합회/NNG
관계자들과	관계자/NNG+들/XSN+과/JKB
함께	함께/MAG
내부	내부/NNG
마무리	마무리/NNG
공사	공사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
충남도청	충남/NNP+도청/NNG
신청사를	신청/NNG+사/XSN+를/JKO
방문해	방문하/VV+여/EC
본청동·의회동·별관동의	본청동/NNP+·/SP+의회동/NNP+·/SP+별관동/NNP+의/JKG
점자블록과	점자블록/NNG+과/JC
장애인화장실을	장애인화장실/NNG+을/JKO
점검해	점검하/VV+여/EC
봤다	보/VX+았/EP+다/EF

시각장애인들을	시각장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록은	점자블록/NNG+은/JX
계단	계단/NNG
중간	중간/NNG
및	및/MAG
참부분	참부분/NNG
등에	등/NNB+에/JKB
양호하게	양호하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

또한	또한/MAG
각	각/MM
동의	동/NNG+의/JKG
주출입구,	주출입구/NNG+,/SP
비장애인화장실	비장애인화장실/NNG
입구에는	입구/NNG+에/JKB+는/JX
매립형	매립/NNG+형/XSN
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인들의	시각장애인/NNG+들/XSN+의/JKG
불편이	불편/NNG+이/JKS
없어	없/VA+어/EC
보였다	보이/VV+었/EP+다/EF

문제는	문제/NNG+는/JX
장애인화장실에서	장애인화장실/NNG+에서/JKB
확인됐다	확인되/VV+었/EP+다/EF

물론	물론/MAG
내부	내부/NNG
시설이	시설/NNG+이/JKS
갖춰지지	갖추/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
상태로	상태/NNG+로/JKB
위치와	위치/NNG+와/JC
출입문,	출입문/NNG+,/SP
내부	내부/NNG
공간의	공간/NNG+의/JKG
크기	크기/NNG
정도만	정도/NNG+만/JX
점검할	점검하/VV+ㄹ/ETM
수	수/NNB
있었는데,	있/VA+었/EP+는데/EC+,/SP
불편함이	불편하/VA+ㅁ/ETN+이/JKS
눈에	눈/NNG+에/JKB
들어왔다	들어오/VV+았/EP+다/EC

본청동·의회동·별관동의	본청동/NNP+·/SP+의회동/NNP+·/SP+별관동/NNP+의/JKG
1층에는	1/SN+층/NNG+에/JKB+는/JX
장애인화장실이	장애인화장실/NNG+이/JKS
남녀로	남녀/NNG+로/JKB
구분돼	구분되/VV+어/EC
각각	각각/MAG
마련돼	마련되/VV+어/EC
있고,	있/VX+고/EC+,/SP
출입문도	출입문/NNG+도/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
설치됐다	설치되/VV+었/EP+다/EF

그렇지만	그렇지만/MAJ
나머지	나머지/NNG
각	각/MM
층에는	층/NNG+에/JKB+는/JX
