선관위,	선관위/NNG+,/SP
'장애인	'/SS+장애인/NNG
참정권	참정권/NNG
보장계획'	보장계획/NNG+'/SS
발표	발표/NNG

오는	오/VV+는/ETM
12월	12/SN+월/NNB
18대	18/SN+대/NNB
대통령선거가	대통령선거/NNG+가/JKS
치러지는	치르/VV+어/EC+지/VX+는/ETM
가운데	가운데/NNG
중앙선거관리위원회가	중앙선거관리위원회/NNG+가/JKS
장애인	장애인/NNG
유권자의	유권자/NNG+의/JKG
참정권	참정권/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주요	주요/NNG
추진계획을	추진계획/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

중앙선거관리위원회	중앙선거관리위원회/NNG
김신기	김신기/NNP
선거1과장은	선거/NNG+1/SN+과장/NNG+은/JX
3일	3/SN+일/NNB
‘장애인	‘/SN+장애인/NNG
참정권	참정권/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책토론회’에	정책토론회/NNG+’/SL+에/JKB
참석해	참석하/VV+여/EC
“전국	“/SN+전국/NNG
모든	모든/MM
투표	투표/NNG
예정	예정/NNG
장소에	장소/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투표	투표/NNG
편의시설	편의시설/NNG
실태	실태/NNG
일제점검을	일제점검/NNG+을/JKO
통해	통하/VV+여/EC
'장애인	'/SS+장애인/NNG
유권자	유권자/NNG
참정권	참정권/NNG
주요	주요/NNG
추진계획'을	추진계획/NNG+'/SS+을/JKO
수립·시행할	수립/NNG+·/SP+시행하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
발표했다	발표하/VV+였/EP+다/EC

장애인	장애인/NNG
유권자를	유권자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
종합대책으로는	종합대책/NNG+으로/JKB+는/JX
투표소	투표소/NNG
접근	접근/NNG
및	및/MAG
이동편의	이동편/NNG+의/JKG
제공	제공/NNG
강화	강화/NNG
투표절차·방법	투표절차/NNG+·/SP+방법/NNG
등	등/NNB
사전안내	사전안/NNG+내/NNB
지적·자폐성	지적/NNG+·/SP+자폐성/NNG
장애인의	장애인/NNG+의/JKG
투표	투표/NNG
보조인	보조/NNG+이/VCP+ㄴ/ETM
허용	허용/NNG
선거당일	선거당일/NNG
투표편의	투표편의/NNG
도모	도모/NNP
등의	등/NNB+의/JKG
방안이	방안/NNG+이/JKS
담겼다	담기/VV+었/EP+다/EF

김	김/NNP
과장은	과장/NNG+은/JX
“지난	“/SL+지나/VV+ㄴ/ETM
4·11총선	4/SN+·/SP+11/SN+총선/NNG
당시	당시/NNG
일부	일부/NNG
투표소의	투표소/NNG+의/JKG
경우	경우/NNG
거동이	거동/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
임시	임시/NNG
경사로	경사/NNG+로/JKB
설치에	설치/NNG+에/JKB
있어	있/VA+어/EC
일부	일부/NNG
미흡한	미흡하/VA+ㄴ/ETM
점이	점/NNG+이/JKS
지적됐었다”면서	지적되/VV+었었/EP+다/EC+”/VV+면서/EC
“현재	“/SL+현재/NNG
중앙선관위가	중앙선관위/NNG+가/JKS
유도블록	유도블록/NNG
및	및/MAG
휠체어	휠체어/NNG
이동	이동/NNG
통로	통로/NNG
설치현황,	설치현황/NNG+,/SP
임시경사로	임시경/NNG+사/XSN+로/JKB
설치요건,	설치요건/NNG+,/SP
기타	기타/NNG
장애인	장애인/NNG
시설	시설/NNG
설치현황	설치현황/NNG
등	등/NNB
장애인	장애인/NNG
투표편의	투표편의/NNG
시설에	시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실태조사를	실태조사/NNG+를/JKO
하고	하/VV+고/EC
있으며	있/VX+으며/EC
14일(9월)까지	14/SN+일/NNB+(/SS+9/SN+월/NNB+)/SS+까지/JX
조사를	조사/NNG+를/JKO
완료할	완료하/VV+ㄹ/ETM
