“장애인도	“/SL+장애인/NNG+도/JX
해수욕장에	해수욕장/NNG+에/JKB
가고	가/VV+고/EC
싶다”	싶/VX+다”/EC

정상철	정상철/NNP
양양군수를	양양/NNP+군수/NNG+를/JKO
국가인권위원회에	국가인권위원회/NNG+에/JKB
진정한	진정하/VV+ㄴ/ETM
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
등	등/NNB
7개	7/SN+개/NNB
장애인단체들이	장애인단체/NNG+들/XSN+이/JKS
이번에는	이번/NNG+에/JKB+는/JX
청원	청원/NNG
서명운동에	서명운동/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
지난	지나/VV+ㄴ/ETM
16일부터	16/SN+일/NNB+부터/JX
‘짓밟힌	‘/SN+짓/NNB+밟히/VV+ㄴ/ETM
하조대	하조대/NNP
희망들-장애인도	희망/NNG+들/XSN+-/SO+장애인/NNG+도/JX
해수욕장에	해수욕장/NNG+에/JKB
가고싶다’는	가/VV+고/EC+싶/VX+다/EC+’/SL+는/JX
주제로	주제/NNG+로/JKB
온라인	온라인/NNG
아바즈(http://www	아바즈/NNG+(/SS+http/SL+:///SP+www/SL

avaaz	avaaz/SL

org/kr/)에서	org/SL+//SP+kr/SL+//SP+)/SS+에서/JKB
청원서를	청원서/NNG+를/JKO
서명	서명/NNG
받고	받/VV+고/EC
있다	있/VX+다/EC

‘하조대	‘/SN+하조대/NNP
희망들’은	희망/NNG+들/XSN+’/SN+은/JX
서울시가	서울시/NNP+가/JKS
강원도	강원도/NNP
양양군	양양군/NNP
하조대	하조대/NNP
해수욕장에	해수욕장/NNG+에/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
해변에	해변/NNG+에/JKB
편하게	편하/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
편의시설이	편의시설/NNG+이/JKS
잘	잘/MAG
갖추어진	갖추/VV+어/EC+지/VX+ㄴ/ETM
숙박시설을	숙박시설/NNG+을/JKO
건립하는	건립하/VV+는/ETM
사업이다	사업/NNG+이/VCP+다/EC

하지만	하지만/MAJ
정상철	정상철/NNP
양양군수가	양양/NNP+군수/NNG+가/JKS
‘주민들이	‘/SL+주민/NNG+들/XSN+이/JKS
반대하고	반대하/VV+고/EC
있다’며	있/VX+다/EC+’/VV+며/EC
하조대	하조대/NNP
해수욕장에	해수욕장/NNG+에/JKB
들어설	들어서/VV+ㄹ/ETM
'하조대	'/SS+하조대/NNP
희망들'	희망/NNG+들/XSN+'/SS
건립을	건립/NNG+을/JKO
거부하고	거부하/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
양양군수가	양양/NNP+군수/NNG+가/JKS
마음을	마음/NNG+을/JKO
바꿔	바꾸/VV+어/EC
하조대	하조대/NNP
희망들	희망/NNG+들/XSN
건립에	건립/NNG+에/JKB
동참해	동참하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
촉구하는	촉구하/VV+는/ETM
서명운동을	서명운동/NNG+을/JKO
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB

목표는	목표/NNG+는/JX
1000명으로	1000/SN+명/NNB+으로/JKB
18일	18/SN+일/NNB
현재	현재/MAG
46명이	46/SN+명/NNB+이/JKS
서명에	서명/NNG+에/JKB
동참했으며,	동참하/VV+였/EP+으며/EC+,/SP
청원서는	청원서/NNG+는/JX
향후	향후/NNG
양양군수에게	양양/NNP+군수/NNG+에게/JKB
전달한다는	전달하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

한편	한편/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
18일	18/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
양양군청	양양군청/NNP
앞에서	앞/NNG+에서/JKB
양양군수	양양/NNP+군수/NNG
면담	면담/NNG
요청	요청/NNG
기자회견을	기자회견/NNG+을/JKO
갖는다	갖/VV+는다/EF
