“농아인	“/SL+농아인/NNP
권리	권리/NNG
보장해줄	보장하/VV+여/EC+주/VX+ㄹ/ETM
대통령	대통령/NNG
원한다”	원하/VV+ㄴ다/EF+”/SN

“비장애인과	“/SL+비장애인/NNG+과/JKB
똑같이	똑같이/MAG
한	한/MM
장의	장/NNB+의/JKG
투표권을	투표권/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
농인으로써,	농인/NNG+으로써/JKB+,/SP
더	더/MAG
이상	이상/NNG
차별받지	차별/NNG+받/VV+지/EC
않게	않/VX+게/EC
농인들의	농인/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
보호해줄	보호하/VV+여/EC+주/VX+ㄹ/ETM
대통령	대통령/NNG
후보를	후보/NNG+를/JKO
뽑겠다	뽑/VV+겠/EP+다/EF

”한국농아인협회는	”/SL+한국농아인협회/NNP+는/JX
15일	15/SN+일/NNB
서울	서울/NNP
여의도	여의도/NNP
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
18대	18/SN+대/NNB
대선후보들을	대선후보/NNG+들/XSN+을/JKO
향해	향하/VV+여/EC
농아인	농아/NNG+이/VCP+ㄴ/ETM
삶의	삶/NNG+의/JKG
질	질/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘한국농아인협회	‘/SL+한국농아인협회/NNP
4대	4/SN+대/NNG
정책	정책/NNG
요구	요구/NNG
공약’을	공약’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

농아인협회의	농아인협회/NNG+의/JKG
4대	4/SN+대/NNB
정책	정책/NNG
요구는	요구/NNG+는/JX
수화가	수화/NNG+가/JKS
한국어와	한국어/NNP+와/JC
동등한	동등하/VA+ㄴ/ETM
공식	공식/NNG
언어임을	언어/NNG+이/VCP+ㅁ/ETN+을/JKO
인정할	인정하/VV+ㄹ/ETM
한국수화언어	한국수화언어/NNP
기본법	기본법/NNG
제정	제정/NNG
수화통역센터의	수화통역센터/NNG+의/JKG
기능	기능/NNG
및	및/MAG
예산	예산/NNG
확대	확대/NNG
보강한	보강하/VV+ㄴ/ETM
농아인	농아/NNG+이/VCP+ㄴ/ETM
종합지원센터	종합지원센터/NNG
설립	설립/NNG
난청인의	난청인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
문자통역	문자통역/NNG
및	및/MAG
속기를	속기/NNG+를/JKO
포함한	포함하/VV+ㄴ/ETM
장애인활동지원제도	장애인활동지원제도/NNG
개선	개선/NNG
농교육	농교육/NNG
환경	환경/NNG
개선	개선/NNG
등이다	등/NNB+이/VCP+다/EC

농아인협회	농아인협회/NNG
변승일	변승일/NNG
회장은	회장/NNG+은/JX
“농아인은	“/SL+농아/NNG+인/XSN+은/JX
수화를	수화/NNG+를/JKO
사용하는	사용하/VV+는/ETM
농아인에	농아인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부정적	부정적/NNG
인식이	인식/NNG+이/JKS
만연한	만연하/VV+ㄴ/ETM
대한민국에서	대한민국/NNP+에서/JKB
언어적	언어적/NNG
소수자로서	소수자/NNG+로서/JKB
전	전/MM
생애에	생애/NNG+에/JKB
걸쳐	걸치/VV+어/EC
의사소통에	의사소통/NNG+에/JKB
많은	많/VA+은/ETM
제약을	제약/NNG+을/JKO
받아왔다”며	받/VV+아/EC+오/VX+았/EP+다/EC+”/VX+며/EC
“대선	“/SL+대선/NNG
후보	후보/NNG
중	중/NNB
누가	누구/NP+가/JKS
대통령이	대통령/NNG+이/JKC
되든	되/VV+든/EC
우리의	우리/NP+의/JKG
4대요구를	4/SN+대요구/NNG+를/JKO
이행해	이행하/VV+여/EC
농아인들의	농아인/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
보장해주길	보장하/VV+여/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SL+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
농아인협회는	농아인협회/NNP+는/JX
기자회견을	기자회견/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
후,	후/NNG+,/SP
박근혜,	박근혜/NNP+,/SP
문재인,	문재인/NNG
안철수	안철수/NNP
후보캠프에	후보캠프/NNG+에/JKB
방문해	방문하/VV+여/EC
공약	공약/NNG
요구서를	요구서/NNG+를/JKO
전달했으며,	전달하/VV+였/EP+으며/EC+,/SP
이후에도	이후/NNG+에/JKB+도/JX
계속적으로	계속적/NNG+으로/JKB
공약	공약/NNG
채택을	채택/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
활동을	활동/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

한국농아인협회는	한국농아인협회/NNP+는/JX
15일	15/SN+일/NNB
서울	서울/NNP
여의도	여의도/NNP
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
18대	18/SN+대/NNB
대선후보들을	대선후보/NNG+들/XSN+을/JKO
향해	향하/VV+여/EC
농아인	농아/NNG+이/VCP+ㄴ/ETM
삶의	삶/NNG+의/JKG
질	질/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘한국농아인협회	‘/SL+한국농아인협회/NNP
4대	4/SN+대/NNG
정책	정책/NNG
요구	요구/NNG
공약’을	공약’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

한국농아인협회	한국농아인협회/NNP
회원	회원/NNG
모습	모습/NNG

한국농아인협회는	한국농아인협회/NNP+는/JX
15일	15/SN+일/NNB
서울	서울/NNP
여의도	여의도/NNP
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
18대	18/SN+대/NNB
대선후보들을	대선후보/NNG+들/XSN+을/JKO
향해	향하/VV+여/EC
농아인	농아/NNG+이/VCP+ㄴ/ETM
삶의	삶/NNG+의/JKG
질	질/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘한국농아인협회	‘/SL+한국농아인협회/NNP
4대	4/SN+대/NNG
정책	정책/NNG
요구	요구/NNG
공약’을	공약’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC
