“차기	“/SL+차기/NNG
대통령,	대통령/NNG+,/SP
장애인	장애인/NNG
생존권	생존권/NNG
보장해주길”	보장하/VV+여/EC+주/VX+길/ETN+”/SN

향후	향후/NNG
5년	5/SN+년/NNB
간	간/XSN
대한민국을	대한민국/NNP+을/JKO
이끌어나갈	이끌/VV+어/EC+나가/VX+ㄹ/ETM
제18대	제/XPN+18/SN+대/NNG
대통령을	대통령/NNG+을/JKO
뽑는	뽑/VV+는/ETM
선거	선거/NNG
당일인	당일/NNG+이/VCP+ㄴ/ETM
19일	19/SN+일/NNB
오후	오후/NNG
1시경	1/SN+시/NNB+경/XSN

추운	춥/VA+ㄴ/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
수원시	수원시/NNP
매탄구	매탄구/NNG
인계동	인계동/NNP
제	제/XPN
5투표소인	5/SN+투표소/NNG+이/VCP+ㄴ/ETM
매여울초등학교는	매여울초등학교/NNP+는/JX
‘내	‘/SN+내/NNB
손으로	손/NNG+으로/JKB
대통령을	대통령/NNG+을/JKO
뽑겠다’는	뽑/VV+겠/EP+다/EC+’/SL+는/JX
열기로	열기/NNG+로/JKB
가득했다	가득하/VA+었/EP+다/EC

이날	이날/NNG
매여울초등학교에	매여울초등학교/NNP+에/JKB
수원중증장애인독립생활센터	수원중/NNP+증장애인독립생활센터/NNG
한경숙	한경숙/NNP
소장(49세,	소장/NNG+(/SS+49/SN+세/NNB+,/SP
지체장애	지체장애/NNG
1급)과	1/SN+급/NNG+)/SS+과/JC
그녀의	그녀/NP+의/JKG
남편이	남편/NNG+이/JKS
모습을	모습/NNG+을/JKO
드러냈다	드러내/VV+었/EP+다/EF

매서운	매섭/VA+ㄴ/ETM
날씨에	날씨/NNG+에/JKB
스카프를	스카프/NNG+를/JKO
꽁꽁	꽁꽁/MAG
두르고	두르/VV+고/EC
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
있는	있/VX+는/ETM
그녀는	그녀/NP+는/JX
한	한/MM
눈에	눈/NNG+에/JKB
들어왔다	들어오/VV+았/EP+다/EC

수원중증장애인독립생활센터	수원중/NNP+증장애인독립생활센터/NNG
한경숙	한경숙/NNP
소장이	소장/NNG+이/JKS
소중한	소중하/VA+ㄴ/ETM
한	한/MM
표를	표/NNG+를/JKO
행사하고	행사하/VV+고/EC
있다	있/VX+다/EC

지갑에서	지갑/NNG+에서/JKB
신분증을	신분증/NNG+을/JKO
꺼내고,	꺼내/VV+고/EC+,/SP
투표용지를	투표용지/NNG+를/JKO
받기	받/VV+기/ETN
위해	위하/VV+여/EC
주소록	주소록/NNG
서명하는	서명하/VV+는/ETM
것도	것/NNB+도/JX
역시	역시/MAG
그녀의	그녀/NP+의/JKG
남편	남편/NNG
몫	몫/NNG
이였다	이/NP+이/VCP+었/EP+다/EF

그는	그/NP+는/JX
한	한/MM
소장의	소장/NNG+의/JKG
휠체어를	휠체어/NNG+를/JKO
투표소	투표소/NNG
안까지	안/NNG+까지/JX
밀어	밀/VV+어/EC
