농아인들	농아/NNG+인들/XSN
방송	방송/NNG
현업인	현업/NNG+이/VCP+ㄴ/ETM
‘발언’에	‘/SL+발언/NNG+’/SL+에/JKB
격분	격분/NNG

중앙선관위	중앙선관위/NNG
산하	산하/NNG
중앙선거방송토론위원회	중앙선거방송토론위원회/NNG
위원으로	위원/NNG+으로/JKB
참여하고	참여하/VV+고/EC
있는	있/VX+는/ETM
방송	방송/NNG
현업인이	현업인/NNG+이/JKS
선거방송	선거방송/NNG
토론에서	토론/NNG+에서/JKB
수화통역을	수화통역/NNG+을/JKO
안했으면	안/MAG+하/VV+였/EP+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
발언을	발언/NNG+을/JKO
해,	하/VV+여/EC+,/SP
장애인	장애인/NNG
단체가	단체/NNG+가/JKS
사과를	사과/NNG+를/JKO
촉구하고	촉구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

수화언어권	수화언어/NNG+권/XSN
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회(이하	공동대책위원회/NNG+(/SS+이하/NNG
수화	수화/NNG
공대위)는	공대위/NNP+)/SS+는/JX
20일	20/SN+일/NNB
중앙선관위	중앙선관위/NNG
산하	산하/NNG
중앙선거방송토론위원회	중앙선거방송토론위원회/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
해당	해당/NNG
위원	위원/NNG
및	및/MAG
방송토론위를	방송토론위/NNG+를/JKO
규탄하며,	규탄하/VV+며/EC+,/SP
재발방지를	재발방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
요구서를	요구서/NNG+를/JKO
전달했다	전달하/VV+였/EP+다/EC

이는	이/NP+는/JX
앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
13일자	13/SN+일자/NNG
한	한/MM
주간지를	주간지/NNG+를/JKO
통해	통하/VV+여/EC
중앙선거방송토론위원회	중앙선거방송토론위원회/NNG
위원으로	위원/NNG+으로/JKB
참여하고	참여하/VV+고/EC
있는	있/VX+는/ETM
방송	방송/NNG
현업인이	현업인/NNG+이/JKS
수화통역을	수화통역/NNG+을/JKO
안했으면	안/MAG+하/VV+였/EP+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
발언에	발언/NNG+에/JKB
의해	의하/VV+여/EC
불거졌다	불거지/VV+었/EP+다/EF

해당	해당/NNG
위원은	위원/NNG+은/JX
“수화방송의	“/SL+수화방송/NNG+의/JKG
위치	위치/NNG
때문에	때문/NNB+에/JKB
여럿이	여럿/NNG+이/JKS
나오는	나오/VV+는/ETM
풀샷의	풀/NNG+샷/SL+의/JKG
경우	경우/NNG
오른쪽에	오른쪽/NNG+에/JKB
있는	있/VA+는/ETM
후보자가	후보자/NNG+가/JKS
가려지게	가려지/VV+게/EC
되며,	되/VV+며/EC+,/SP
실제	실제/NNG
양자토론	양자토론/NNG
화면을	화면/NNG+을/JKO
구현하기	구현하/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
것도	것/NNB+도/JX
이유가	이유/NNG+가/JKS
크다”며	크/VA+다/EC+”/VV+며/EC
“외국의	“/SL+외국/NNG+의/JKG
사례를	사례/NNG+를/JKO
면밀히	면밀히/MAG
살펴봤지만	살펴보/VV+았/EP+지만/EC
선거방송에서	선거방송/NNG+에서/JKB
수화	수화/NNG
중계를	중계/NNG+를/JKO
하는	하/VV+는/ETM
경우는	경우/NNG+는/JX
일본에서	일본/NNP+에서/JKB
지진이	지진/NNG+이/JKS
났을	나/VV+았/EP+을/ETM
때	때/NNG
담화	담화/NNG
발표하는	발표하/VV+는/ETM
경우를	경우/NNG+를/JKO
제외하곤	제외하/VV+곤/EC
본	보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다”고/EC
의견을	의견/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

이에	이/NP+에/JKB
수화공대위는	수화공대위/NNP+는/JX
16일	16/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
발언이	발언/NNG+이/JKS
수화통역방송구조나	수화통역방송구조/NNG+나/JC
현행법에	현행법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무지를	무지/NNG+를/JKO
넘어	넘/VV+어/EC
청각장애인의	청각장애인/NNG+의/JKG
참정권을	참정권/NNG+을/JKO
제한할	제한하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
위험성이	위험성/NNG+이/JKS
있다며,	있/VA+다며/EC+,/SP
발언에	발언/NNG+에/JKB
대해	대하/VV+여/EC
반박	반박/NNG
성명을	성명/NNG+을/JKO
냈다	내/VV+었/EP+다/EF

이후	이후/NNG
19일	19/SN+일/NNB
방송토론위	방송토론위/NNG
측은	측/NNB+은/JX
수화공대위	수화공대위/NNG
측에	측/NNB+에/JKB
선거방송에서	선거방송/NNG+에서/JKB
수화통역을	수화통역/NNG+을/JKO
차질	차질/NNG
없이	없이/MAG
하겠다는	하/VV+겠/EP+다는/ETM
