화마가	화마/NNG+가/JKS
앗아간	앗/VV+아/EC+가/VX+ㄴ/ETM
장애兒	장애/NNG+兒/SL
장례식	장례식/NNG
엄수	엄수/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
홍국기	홍국/NNP+기/NNG
기자	기자/NNG
=	=/SW
"지훈아	"/SS+지훈아/NNG
정말	정말/MAG
미안하다	미안하/VA+다/EC

네	네/MM
죽음이	죽음/NNG+이/JKS
헛되이	헛되이/MAG
되지	되/VV+지/EC
않도록	않/VX+도록/EC
장애인들을	장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
좋은	좋/VA+은/ETM
환경을	환경/NNG+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
우리가	우리/NP+가/JKS
더	더/MAG
힘을	힘/NNG+을/JKO
내야겠다	내/VV+어야/EC+하/VX+겠/EP+다/EF

"15일	"/SS+15/SN+일/NNB
정오께	정오/NNG+께/XSN
서울	서울/NNP
광화문	광화문/NNP
광장에서	광장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
박지훈(11)군의	박지훈/NNP+(/SS+11/SN+)/SS+군/NNB+의/JKG
장례식에서	장례식/NNG+에서/JKB
전국장애인부모연대	전/MM+국장애인부모연대/NNG
민용순	민용순/NNP
부회장은	부회장/NNG+은/JX
흐르는	흐르/VV+는/ETM
눈물을	눈물/NNG+을/JKO
주체하지	주체하/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
근근이	근근이/MAG
추모사를	추모/NNG+사/XSN+를/JKO
이어나갔다	잇/VV+어/EC+나가/VX+았/EP+다/EF

지난	지나/VV+ㄴ/ETM
10월29일	10/SN+월/NNB+29/SN+일/NNB
경기도	경기도/NNP
파주시	파주시/NNP
금촌동에서	금촌동/NNP+에서/JKB
부모가	부모/NNG+가/JKS
나간	나가/VV+ㄴ/ETM
사이	사이/NNG
집에서	집/NNG+에서/JKB
발생한	발생하/VV+ㄴ/ETM
화재로	화재/NNG+로/JKB
뇌병변	뇌병변/NNG
1급	1/SN+급/NNG
중증장애인인	중증장애인/NNG+이/VCP+ㄴ/ETM
박	박/NNP
군은	군/NNB+은/JX
미처	미처/MAG
대피하지	대피하/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
연기에	연기/NNG+에/JKB
질식했다	질식하/VV+였/EP+다/EC

박	박/NNP
군은	군/NNB+은/JX
의식을	의식/NNG+을/JKO
회복하지	회복하/VV+지/EC
못하다가	못하/VX+다가/EC
13일	13/SN+일/NNB
끝내	끝내/MAG
사망했다	사망하/VV+였/EP+다/EF

지훈군을	지훈/NNP+군/NNB+을/JKO
돌보던	돌보/VV+던/ETM
누나	누나/NNG
박지우(13)양이	박지우/NNP+(/SS+13/SN+)/SS+양/NNB+이/JKS
질식으로	질식/NNG+으로/JKB
사망한	사망하/VV+ㄴ/ETM
지	지/NNB
한	한/MM
달여	달/NNB+여/XSN
만이다	만/NNB+이/VCP+다/EC

이날	이날/NNG
장례식에	장례식/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애인과	장애인/NNG+과/JC
활동가,	활동가/NNG+,/SP
시민	시민/NNG
등	등/NNB
150여	150/SN+여/XSN
명은	명/NNB+은/JX
박군의	박/NNP+군/NNB+의/JKG
죽음을	죽음/NNG+을/JKO
애도하며	애도하/VV+며/EC
눈물을	눈물/NNG+을/JKO
흘렸다	흘리/VV+었/EP+다/EF

휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
장례식에	장례식/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
한	한/MM
장애인은	장애인/NNG+은/JX
"지훈이는	"/SS+지훈이/NNP+는/JX
매월	매월/MAG
60시간의	60/SN+시간/NNB+의/JKG
장애인활동지원	장애인활동지원/NNG
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"서비스를	"/SS+서비스/NNG+를/JKO
신청했지만	신청하/VV+였/EP+지만/EC
장애등급	장애등급/NNG
재판정을	재판정/NNG+을/JKO
요구받았고	요구/NNG+받/VV+았/EP+고/EC
등급이	등급/NNG+이/JKS
하락되면	하락되/VV+면/EC
기존의	기존/NNG+의/JKG
지원도	지원/NNG+도/JX
끊길	끊기/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려하/VV+여/EC
신청을	신청/NNG+을/JKO
포기했다"며	포기하/VV+였/EP+다/EF+"/SS+며/EC
오열했다	오열하/VV+였/EP+다/EF

이날	이날/NNG
장례식에는	장례식/NNG+에/JKB+는/JX
김소연	김소연/NNP
대통령	대통령/NNG
후보,	후보/NNG+,/SP
민주통합당	민주통합당/NNP
장하나	장/NNG+하나/NR
의원,	의원/NNG+,/SP
통합진보당	통합진보당/NNP
이상규	이상규/NNP
의원,	의원/NNG+,/SP
진보정의당	진보정의당/NNP
김제남	김제남/NNP
의원	의원/NNG
등이	등/NNB+이/JKS
참석해	참석하/VV+여/EC
정부에	정부/NNG+에/JKB
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무제의	부양의무제/NNG+의/JKG
폐지를	폐지/NNG+를/JKO
요구했다	요구하/VV+었/EP+다/EC

이날	이날/NNG
주최	주최/NNG
측은	측/NNB+은/JX
지훈군을	지훈군/NNG+을/JKO
광장으로	광장/NNG+으로/JKB
운구해	운구하/VV+여/EC
빈소를	빈소/NNG+를/JKO
차리려	차리/VV+려/EC
했지만	하/VX+였/EP+지만/EC
경찰이	경찰/NNG+이/JKS
운구	운구/NNG
차를	차/NNG+를/JKO
가로막으면서	가로막/VV+으면서/EC
장례식	장례식/NNG
참석자와	참석자/NNG+와/JKB
장애인들의	장애인/NNG+들/XSN+의/JKG
거센	거세/VA+ㄴ/ETM
항의를	항의/NNG+를/JKO
받기도	받/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

redflag@yna	redflag/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
