장애인권리협약	장애인권리협약/NNG
한국보고서	한국/NNP+보고서/JKB
3년	3/SN+년/NNB
후	후/NNG
심의	심의/NNG

지금	지금/MAG
스위스	스위스/NNP
제네바	제네바/NNP
유엔사무소에서는	유엔/NNP+사무소/NNG+에서/JKB+는/JX
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
장애인권리위원회의	장애인권리위원회/NNG+의/JKG
8차	8/SN+차/NNB
세션	세션/NNG
회의가	회의/NNG+가/JKS
한창	한창/MAG
진행	진행/NNG
중이다	중/NNB+이/VCP+다/EC

본	본/MM
세션은	세션/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
17일에	17/SN+일/NNB+에/JKB
시작되어	시작되/VV+어/EC
28일	28/SN+일/NNB
마무리된다	마무리되/VV+ㄴ다/EF

한국에는	한국/NNP+에/JKB+는/JX
유엔장애인권리협약의	유엔/NNP+장애인권리협약/NNG+의/JKG
이행을	이행/NNG+을/JKO
모니터링하기	모니터링/NNG+하/XSV+기/ETN
위해서	위하/VV+여서/EC
여러	여러/MM
장애인당사자단체들로	장애인당사자단체/NNG+들/XSN+로/JKB
구성된	구성되/VV+ㄴ/ETM
'유엔장애인권리협약모니터링연대'라는	'/SS+유엔/NNP+장애인권리협약모니터링연대/NNG+'/SS+이/VCP+라는/ETM
연대체가	연대체/NNG+가/JKS
결성되어	결성되/VV+어/EC
있다	있/VX+다/EC

특히	특히/MAG
연대	연대/NNG
내에서는	내/NNB+에서/JKB+는/JX
2011년	2011/SN+년/NNB
6월	6/SN+월/NNB
한국	한국/NNP
정부가	정부/NNG+가/JKS
유엔에	유엔/NNP+에/JKB
제출한	제출하/VV+ㄴ/ETM
한국	한국/NNP
국가보고서와	국가보고서/NNG+와/JKB
관련한	관련하/VV+ㄴ/ETM
NGO보고서를	NGO/SL+보고서/NNG+를/JKO
작성하기	작성하/VV+기/ETN
위해	위하/VV+여/EC
그	그/MM
초안을	초안/NNG+을/JKO
도출해내기	도출하/VV+여/EC+내/VX+기/ETN
위한	위하/VV+ㄴ/ETM
워킹그룹이	워킹그룹/NNP+이/JKS
활동	활동/NNG
중에	중/NNB+에/JKB
있다	있/VA+다/EC

그	그/MM
활동의	활동/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
몇몇	몇몇/MM
워킹그룹	워킹그룹/NNG
멤버들이	멤버/NNG+들/XSN+이/JKS
현재	현재/MAG
제네바에서	제네바/NNP+에서/JKB
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
유엔	유엔/NNP
장애인권리위원회회의를	장애인권리위원회회의/NNG+를/JKO
참관하고	참관하/VV+고/EC
있다	있/VX+다/EC

필자도	필자/NNG+도/JX
한국	한국/NNP
