균도부자,	균도부자/NNG+,/SP
'하조대	'/SS+하조대/NNP
희망들	희망/NNG+들/XSN
건립	건립/NNG
촉구'	촉구/NNG+'/SS
동참	동참/NNG

부산장애인부모회	부산/NNP+장애인부모회/NNG
이진섭	이진섭/NNP
부회장과	부회장/NNG+과/JC
아들	아들/NNG
이균도(자폐성장애	이균도/NNP+(/SS+자폐성장애/NNG
1급·20세)군이	1/SN+급/NNG+·/SP+20/SN+세/NNB+)/SS+군/NNB+이/JKS
‘장애인숙박시설	‘/SN+장애인숙박시설/NNG
(이하	(/SS+이하/NNG
하조대	하조대/NNP
희망들)	희망/NNG+들/XSN+)/SS
건립	건립/NNG
촉구	촉구/NNG
행진’에	행진’/NNG+에/JKB
동참했다	동참하/VV+였/EP+다/EF

균도	균도/NNG
부자는	부자/NNG+는/JX
6일	6/SN+일/NNB
양양군청	양양군청/NNP
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
전국장애인차별철폐연대의	전/MM+국장애인차별철폐연대/NNG+의/JKG
기자회견에	기자회견/NNG+에/JKB
참석하고	참석하/VV+고/EC
전장연	전장연/NNP
회원들과	회원/NNG+들/XSN+과/JKB
함께	함께/MAG
양양군청에서	양양/NNP+군청/NNG+에서/JKB
하조대까지	하조대/NNP+까지/JX
약	약/MM
13	13/SN

1km를	1/SN+km/SL+를/JKO
도보로	도보/NNG+로/JKB
행진했다	행진하/VA+었/EP+다/EF

이번	이번/NNG
도보	도보/NNG
행진은	행진/NNG+은/JX
양양군의	양양군/NNP+의/JKG
장애인차별을	장애인차별/NNG+을/JKO
폭로하고,	폭로하/VV+고/EC+,/SP
‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/SN
건립을	건립/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

서울시와의	서울시/NNP+와/JKB+의/JKG
법정공방에서	법정공방/NNG+에서/JKB
패소한	패소하/VV+ㄴ/ETM
양양군은	양양군/NNP+은/JX
지난달	지난달/NNG
9일	9/SN+일/NNB
‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/SL
건립과	건립/NNG+과/JKB
관련,	관련/NNG+,/SP
대법원에	대법원/NNG+에/JKB
상고장을	상고장/NNG+을/JKO
접수한	접수하/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/JKV
건립이	건립/NNG+이/JKS
무산되지는	무산되/VV+지/EC+는/JX
않을까	않/VX+을까/EC
우려하고	우려하/VV+고/EC
있다	있/VX+다/EC

양양군이	양양군/NNP+이/JKS
‘시간끌기’로	‘/SL+시간/NNG+끌/VV+기/ETN+’/SL+로/JKB
하조대	하조대/NNP
희망들	희망/NNG+들/XSN
건립을	건립/NNG+을/JKO
방해하고	방해하/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/JKV
건립	건립/NNG
사업비는	사업비/NNG+는/JX
총	총/MM
44억원으로	44/SN+억/NR+원/NNB+으로/JKB
이중	이/MM+중/NNB
국고	국고/NNG
예산은	예산/NNG+은/JX
22억이다	22/SN+억/NR+이/VCP+다/EC

국고예산	국고예산/NNG
22억원은	22/SN+억/NR+원/NNB+은/JX
2013년	2013/SN+년/NNB
2월	2/SN+월/NNB
안에	안/NNG+에/JKB
집행해야	집행하/VV+여야/EC
한다	하/VX+ㄴ다/EF

한편	한편/MAG
균도	균도/NNG
부자는	부자/NNG+는/JX
지난달	지난달/NNG
5일	5/SN+일/NNB
부산	부산/NNP
기장군청	기장군청/NNG
앞에서	앞/NNG+에서/JKB
출정식을	출정식/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
부양의무제	부양의무제/NNG
폐지와	폐지/NNG+와/JC
발달장애인법	발달장애인법/NNG
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
'균도와	'/SS+균도/NNG+와/JC
세상걷기	세상걷기/NNG
시즌4'를	시즌/NNG+4/SN+'/SS+를/JKO
진행	진행/NNG
중이다	중/NNB+이/VCP+다/EC

현재	현재/MAG
부산에서	부산/NNP+에서/JKB
강원도를	강원도/NNP+를/JKO
거쳐	거치/VV+어/EC
서울까지	서울/NNP+까지/JX
도보로	도보/NNG+로/JKB
800km를	800/SN+km/SL+를/JKO
행진하는	행진하/VV+는/ETM
중이다	중/NNB+이/VCP+다/EC

균도부자(사진	균도부자/NNG+(/SS+사진/NNG
오른쪽에서	오른쪽/NNG+에서/JKB
네번째,	네/MM+번째/NNB+,/SP
다섯번째)는	다섯/NR+번째/NNB+)/SS+는/JX
양양군청	양양군청/NNP
앞에서의	앞/NNG+에서/JKB+의/JKG
기자회견	기자회견/NNG
후	후/NNG
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
회원들과	회원/NNG+들/XSN+과/JKB
함께	함께/MAG
양양군청에서	양양/NNP+군청/NNG+에서/JKB
하조대까지	하조대/NNP+까지/JX
약	약/MM
13	13/SN

1km를	1/SN+km/SL+를/JKO
도보로	도보/NNG+로/JKB
행진했다	행진하/VA+었/EP+다/EF

ⓒ전국장애인차별철폐연대	ⓒ/SL+전/MM+국장애인차별철폐연대/NNG
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
회원들이	회원/NNG+들/XSN+이/JKS
하조대	하조대/NNP
희망들	희망/NNG+들/XSN
건립을	건립/NNG+을/JKO
촉구하며	촉구하/VV+며/EC
행진하고	행진하/VV+고/EC
있다	있/VX+다/EC

ⓒ전국장애인차별철폐연대	ⓒ/SL+전국장애인차별철폐연대/NNG
