“양양군수,	“/SL+양양/NNP+군수/NNG+,/SP
장애차별	장애차별/NNP
행위	행위/NNG
즉각	즉각/MAG
중단해야”	중단하/VV+여야/EC+”/SN

‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/SN
건립을	건립/NNG+을/JKO
둔	두/VV+ㄴ/ETM
법정다툼이	법정다툼/NNG+이/JKS
계속되고	계속되/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
박원순	박원순/NNP
서울시장에	서울/NNP+시장/NNG+에/JKB
이어	잇/VV+어/EC
장애단체도	장애단체/NNG+도/JX
양양군수에게	양양/NNP+군수/NNG+에게/JKB
장애인	장애인/NNG
차별행위를	차별행위/NNG+를/JKO
즉각	즉각/MAG
중지하고,	중지하/VV+고/EC+,/SP
착공에	착공/NNG+에/JKB
협조해줄	협조하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

한국장애인단체총연합회(이하	한국장애인단체총연합회/NNP+(/SS+이하/NNG
장총련)는	장총련/NNP+)/SS+는/JX
18일	18/SN+일/NNB
성명서를	성명서/NNG+를/JKO
통해	통하/VV+여/EC
“양양군수의	“/SL+양양/NNP+군수/NNG+의/JKG
장애인	장애인/NNG
숙박시설	숙박시설/NNG
‘하조대	‘/SN+하조대/NNP
희망들’에	희망/NNG+들/XSN+’/SL+에/JKB
대한	대하/VV+ㄴ/ETM
건립방해	건립방해/NNG
행위는	행위/NNG+는/JX
명백한	명백하/VA+ㄴ/ETM
장애인	장애인/NNG
차별행위”라면서	차별행위”/NNG+이/VCP+라면서/EC
“‘시간끌기’를	“‘/SL+시간/NNB+끌/VV+기/ETN+’/SW+를/JKO
통해	통하/VV+여/EC
내년	내년/NNG
2월까지	2/SN+월/NNB+까지/JX
착공되지	착공되/VV+지/EC
못하고	못하/VX+고/EC
국고예산을	국고예산/NNG+을/JKO
반납하도록	반납하/VV+도록/EC
만들어	만들/VV+어/EC
‘하조대	‘하조대/MAG
희망들’	희망/NNG+들/XSN+’/SN
건립을	건립/NNG+을/JKO
무산시키려	무산/NNG+시키/XSV+려/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
비판했다	비판하/VV+였/EP+다/EF

‘하조대	‘/SN+하조대/NNP
희망들’은	희망/NNG+들/XSN+’/SN+은/JX
장애인이	장애인/NNG+이/JKS
해변을	해변/NNG+을/JKO
쉽게	쉽/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
편의시설을	편의시설/NNG+을/JKO
완비한	완비하/VV+ㄴ/ETM
숙박시설로	숙박시설/NNG+로/JKB
오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
2월	2/SN+월/NNB
건립될	건립되/VV+ㄹ/ETM
예정이였다	예정/NNG+이/VCP+였/EP+다/EC

하조대	하조대/NNP
희망들’	희망/NNG+들/XSN+’/JKV
건립	건립/NNG
사업비는	사업비/NNG+는/JX
총	총/MM
44억원	44/SN+억/NR+원/NNB
중	중/NNB
국고	국고/NNG
예산은	예산/NNG+은/JX
22억으로	22/SN+억/NR+으로/JKB
2013년	2013/SN+년/NNB
2월	2/SN+월/NNB
안에	안/NNG+에/JKB
집행해야	집행하/VV+여야/EC
하는	하/VX+는/ETM
상황	상황/NNG

하지만	하지만/MAJ
양양군이	양양군/NNP+이/JKS
서울시에	서울시/NNP+에/JKB
숙박시설로	숙박시설/NNG+로/JKB
신청한	신청하/VV+ㄴ/ETM
‘하조대	‘하조대/NNG
희망들’의	희망/NNG+들/XSN+’/SL+의/JKG
용도가	용도/NNG+가/JKS
노유자시설로	노유자시설/NNG+로/JKB
공원부지내	공원부지/NNG+내/NNB
건축행위	건축행위/NNG
불가를	불가/NNG+를/JKO
이유로	이유/NNG+로/JKB
건축협의	건축협의/NNG
취소를	취소/NNG+를/JKO
통보했다	통보하/VV+였/EP+다/EF

이에	이/NP+에/JKB
서울시가	서울시/NNP+가/JKS
‘건축협의	‘/SN+건축협의/NNG
취소처분	취소처분/NNG
소송’을	소송’/NNG+을/JKO
제기하면서	제기하/VV+면서/EC
