인권위,	인권위/NNG+,/SP
정신장애	정신장애/NNG
차별	차별/NNG
편견	편견/NNG
해소	해소/NNG
캠페인	캠페인/NNG
벌여	벌이/VV+어/EC

국가인권위원회(위원장	국가인권위원회/NNG+(/SS+위원장/NNG
현병철)는	현병철/NNP+)/SS+는/JX
한국정신장애연대(KAMI,	한국정신장애연대/NNP+(/SS+KAMI/SL+,/SP
Korean	Korean/SL
Alliance	Alliance/SL
on	on/SL
Mental	Mental/SL
Illness)와	Illness/SL+)/SS+와/JKB
함께	함께/MAG
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
대학로	대학로/NNP
마로니에	마로니에/NNG
공원	공원/NNG
등에서	등/NNB+에서/JKB
정신장애인에	정신장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별과	차별/NNG+과/JC
편견	편견/NNG
해소를	해소/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
캠페인을	캠페인/NNG+을/JKO
개최했다	개최하/VV+였/EP+다/EC

정신장애인	정신장애인/NNG
인권	인권/NNG
문제는	문제/NNG+는/JX
지속적으로	지속적/NNG+으로/JKB
제기되고	제기되/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
오랜	오랜/MM
사회적	사회적/NNG
편견과	편견/NNG+과/JC
이로	이/NP+로/JKB
인한	인하/VV+ㄴ/ETM
차별적	차별적/NNG
대우는	대우/NNP+는/JX
여전해	여전하/VA+여/EC
취업,	취업/NNG+,/SP
각종	각종/NNG
자격취득,	자격취득/NNG+,/SP
민간보험	민간보험/NNG
가입	가입/NNG
등	등/NNB
일상	일상/NNG
생활	생활/NNG
전반에서	전반/NNG+에서/JKB
불리한	불리하/VA+ㄴ/ETM
대우를	대우/NNP+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

이날	이날/NNG
캠페인에서는	캠페인/NNG+에서/JKB+는/JX
‘인권위와	‘/SN+인권위/NNG+와/JKB
함께하는	함께하/VV+는/ETM
KAMI	KAMI/SL
WALK‘s,	WALK‘s/SL+,/SP
함께가는	함께/MAG+가/VV+는/ETM
세상이	세상/NNG+이/JKS
아름답습니다’	아름답/VA+습니다/EC+’/VA
슬로건	슬로건/NNG
아래	아래/NNG
장애	장애/NNG
당사자들을	당사자/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
시민들의	시민/NNG+들/XSN+의/JKG
참여와	참여/NNG+와/JC
공감을	공감/NNG+을/JKO
확대하기	확대하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
거리	거리/NNG
행사,	행사/NNG+,/SP
지역사회정신건강봉사단(CMHV)	지역사회정신건강봉사/NNG+단/XSN+(/SS+CMHV/SL+)/SS
단원들인	단원/NNG+들/XSN+이/VCP+ㄴ/ETM
대구대학교	대구대학교/NNP
학생들의	학생/NNG+들/XSN+의/JKG
플래시몹	플래시몹/NNG
공연	공연/NNG
등이	등/NNB+이/JKS
진행됐다	진행되/VV+었/EP+다/EF
