'MV-1'	'/SS+MV/SL+-/SO+1/SN+'/SS
미국	미국/NNP
장애인자동차	장애인자동차/NNG
역사	역사/NNG
새로	새로/MAG
쓴다	쓰/VV+ㄴ다/EF

6년,	6/SN+년/NNB+,/SP
그	그/MM
긴	길/VA+ㄴ/ETM
기간동안의	기간동안/NNG+의/JKG
철저한	철저하/VA+ㄴ/ETM
준비	준비/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
드디어	드디어/MAG
장애인에	장애인/NNG+에/JKB
꼭	꼭/MAG
맞는	맞/VV+는/ETM
차가	차/NNG+가/JKS
탄생했다	탄생하/VV+였/EP+다/EC

MV-1,	MV/SL+-/SO+1/SN+,/SP
외관에서	외관/NNG+에서/JKB
부터	부터/MAG
강력한	강력하/VA+ㄴ/ETM
파워가	파워/NNG+가/JKS
느껴지는	느끼/VV+어/EC+지/VX+는/ETM
차다	차/VV+아다/EC

가격,	가격/NNG+,/SP
성능,	성능/NNG+,/SP
실용성,	실용성/NNG+,/SP
이제	이제/MAG
미국의	미국/NNP+의/JKG
장애인용	장애인/NNG+용/XSN
차량의	차량/NNG+의/JKG
역사가	역사/NNG+가/JKS
새로	새로/MAG
쓰여지고	쓰열/VV+지/VX+고/EC
있다	있/VX+다/EC

지금까지는	지금/NNG+까지는/JX
장애인용	장애인/NNG+용/XSN
차량은	차량/NNG+은/JX
기존의	기존/NNG+의/JKG
차량에	차량/NNG+에/JKB
장애인이	장애인/NNG+이/JKS
타기에	타/VV+기/ETN+에/JKB
맞도록	맞/VV+도록/EC
시설을	시설/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

바닥을	바닥/NNG+을/JKO
24센티	24/SN+센티/NNG
정도	정도/NNG
깎고	깎/VV+고/EC
차체를	차체/NNG+를/JKO
낮추고	낮추/VV+고/EC
중간	중간/NNG
의자를	의자/NNG+를/JKO
떼어낸다	떼/VV+어/EC+내/VX+ㄴ다/EF

그러다	그러/VV+다/EC
보면	보/VX+면/EC
2만	2/SN+만/NR
달러가	달러/NNB+가/JKS
훌쩍	훌쩍/MAG
넘어	넘/VV+어/EC
버린다	버리/VX+ㄴ다/EF

차량의	차량/NNG+의/JKG
가격이	가격/NNG+이/JKS
3만	3/SN+만/NR
달러	달러/NNB
정도	정도/NNG
한다면	하/VV+ㄴ다면/EC
차에	차/NNG+에/JKB
드는	들/VV+는/ETM
가격은	가격/NNG+은/JX
5만	5/SN+만/NR
달러가	달러/NNB+가/JKS
넘는	넘/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

비	비/NNG
장애인에	장애인/NNG+에/JKB
비해	비하/VV+여/EC
몇	몇/MM
만달러를	만/NR+달러/NNB+를/JKO
더	더/MAG
들여야	들이/VV+어야/EC
하는	하/VX+는/ETM
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
차별이	차별/NNG+이/JKS
존재했던	존재하/VV+였/EP+던/ETM
것이다	것/NNB+이/VCP+다/EC

그러나	그러나/MAJ
MV-1은	MV/SL+-/SO+1/SN+은/JX
공장에서	공장/NNG+에서/JKB
직접	직접/MAG
생산된다	생산되/VV+ㄴ다/EF

공장에서	공장/NNG+에서/JKB
만들었기	만들/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
별도의	별도/NNG+의/JKG
비용이	비용/NNG+이/JKS
들	들/VV+ㄹ/ETM
일이	일/NNG+이/JKS
없다	없/VA+다/EF

이제	이제/MAG
차	차/NNG
자체	자체/NNG
가격만으로	가격/NNG+만/JX+으로/JKB
구입해도	구입하/VV+여도/EC
되게	되/VV+게/EC
된	되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

공장에서	공장/NNG+에서/JKB
직접	직접/MAG
제작했기	제작하/VV+였/EP+기/ETN
때문에	때문/NNB+에/JKB
견고성과	견고성/NNG+과/JKB
신뢰도도	신뢰도/NNG+도/JX
높다	높/VA+다/EC

기존의	기존/NNG+의/JKG
차에	차/NNG+에/JKB
다른	다르/VA+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
손을	손/NNG+을/JKO
댄다는	대/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
아무래도	아무래도/MAG
조금은	조금/NNG+은/JX
불안하기	불안하/VA+기/ETN
마련이다	마련/NNB+이/VCP+다/EC

MV-1의	MV/SL+-/SO+1/SN+의/JKG
또	또/MAG
다른	다른/MM
특징은	특징/NNG+은/JX
모든	모든/MM
과정을	과정/NNG+을/JKO
미국	미국/NNP
장애인법을	장애인법/NNG+을/JKO
참고로	참고/NNG+로/JKB
제작되었다는	제작되/VV+었/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

기존의	기존/NNG+의/JKG
차는	차/NNG+는/JX
차를	차/NNG+를/JKO
장애인에	장애인/NNG+에/JKB
맞도록	맞/VV+도록/EC
억지로	억지로/MAG
꾸며	꾸미/VV+어/EC
냈지만,	내/VX+었/EP+지만/EC+,/SP
MV-1은	MV/SL+-/SO+1/SN+은/JX
그	그/MM
자체를	자체/NNG+를/JKO
장애인에	장애인/NNG+에/JKB
맞게	맞/VV+게/EC
만들었기	만들/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
꼭	꼭/MAG
맞는	맞/VV+는/ETM
느낌을	느낌/NNG+을/JKO
준다	주/VV+ㄴ다/EF

우선	우선/MAG
휠체어가	휠체어/NNG+가/JKS
움직이는	움직이/VV+는/ETM
데	데/NNB
불편이	불편/NNG+이/JKS
없도록	없/VA+도록/EC
충분히	충분히/MAG
넓다	넓/VA+다/EC

체형이	체형/NNG+이/JKS
큰	크/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
기존의	기존/NNG+의/JKG
장애인용	장애인/NNG+용/XSN
차량을	차량/NNG+을/JKO
사용할	사용하/VV+ㄹ/ETM
때는	때/NNG+는/JX
좁아서	좁/VA+아서/EC
불편한	불편하/VA+ㄴ/ETM
점이	점/NNG+이/JKS
많았으나	많/VA+았/EP+으나/EC
MV-1는	MV/SL+-/SO+1/SN+는/JX
충분히	충분히/MAG
넓어서	넓/VA+어서/EC
그런	그런/MM
걱정을	걱정/NNG+을/JKO
하지	하/VV+지/EC
