한글날	한글날/NNP
농아인들이	농아인/NNG+들/XSN+이/JKS
고사상	고사상/NNG
차린	차리/VV+ㄴ/ETM
사정은?	사정/NNG+은/JX+?/SF

2012년	2012/SN+년/NNB
10월	10/SN+월/NNB
9일	9/SN+일/NNB
세종대왕이	세종/NNP+대왕/NNG+이/JKS
백성들을	백성/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
한글을	한글/NNG+을/JKO
만든지	만들/VV+ㄴ지/EC
566년이	566/SN+년/NNB+이/JKC
되는	되/VV+는/ETM
날이다	날/NNG+이/VCP+다/EC

이를	이/NP+를/JKO
기념하듯	기념하/VV+듯/EC
서울	서울/NNP
광화문광장	광화문/NNP+광장/NNG
세종대왕	세종/NNP+대왕/NNG
동상에는	동상/NNG+에/JKB+는/JX
갖가지	갖가지/NNG
행사와	행사/NNG+와/JKB
함께	함께/MAG
많은	많/VA+은/ETM
인파,	인파/NNG+,/SP
언론이	언론/NNG+이/JKS
몰려	몰리/VV+어/EC
축하하는	축하하/VV+는/ETM
시간을	시간/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

하지만	하지만/MAJ
한글날에서조차	한글날/NNP+에서/JKB+조차/JX
소외받는	소외/NNG+받/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있다	있/VA+다/EC

자신들의	자신/NNG+들/XSN+의/JKG
언어인	언어/NNG+이/VCP+ㄴ/ETM
수화로	수화/NNG+로/JKB
소통하는	소통하/VV+는/ETM
35만명의	35/SN+만/NR+명/NNB+의/JKG
농아인들	농아인/NNG+들/XSN

수화언어권리	수화언어권리/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회(이하	공동대책위원회/NNG+(/SS+이하/NNG
수화공대위)는	수화공대위/NNG+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
5월부터	5/SN+월/NNB+부터/JX
5개월간	5/SN+개월/NNB+간/XSN
정부와	정부/NNG+와/JC
국가를	국가/NNG+를/JKO
상대로	상대/NNG+로/JKB
