장애인개발원,	장애인개발/NNG+원/XSN+,/SP
이색	이색/NNG
마케팅체험	마케팅체험/NNG
교육	교육/NNG
‘눈길’	‘/SL+눈길/NNG+’/SN

한국장애인개발원(원장	한국/NNP+장애인개발/NNG+원/XSN+(/SS+원장/NNG
변용찬)의	변용찬/NNP+)/SS+의/JKG
이색	이색/NNG
마케팅체험	마케팅체험/NNG
교육이	교육/NNG+이/JKS
눈길을	눈길/NNG+을/JKO
끌고	끌/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
20~21일	20/SN+~/SO+21/SN+일/NNB
서울여성플라자	서울여성플라자/NNP
2층	2/SN+층/NNG
세미나실에서	세미나/NNG+실/XSN+에서/JKB
열린	열리/VV+ㄴ/ETM
‘2012	‘2012/SN
중증장애인직업재활지원사업	중증장애인직업재활지원사업/NNG
전문	전문/NNG
인력	인력/NNG
3차	3/SN+차/NNB
보수교육’	보수교육’/NNG
현장	현장/NNG

전국의	전국/NNG+의/JKG
장애인생산품	장애인생산품/NNG
판매시설	판매시설/NNG
및	및/MAG
직업재활시설,	직업재활시설/NNG+,/SP
복지관,	복지/NNG+관/XSN+,/SP
단체	단체/NNG
관계자	관계자/NNG
등	등/NNB
35명이	35/SN+명/NNB+이/JKS
장애인들이	장애인/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
물건의	물건/NNG+의/JKG
마케팅	마케팅/NNG
계획을	계획/NNG+을/JKO
스스로	스스로/MAG
짜고,	짜/VV+고/EC+,/SP
직접	직접/MAG
판매를	판매/NNG+를/JKO
위해	위하/VV+여/EC
길거리로	길거리/NNG+로/JKB
나섰다	나서/VV+었/EP+다/EF

마케팅체험	마케팅체험/NNG
전	전/MM
과정을	과정/NNG+을/JKO
통해	통하/VV+여/EC
중증장애인직업재활지원사업	중증장애인직업재활지원사업/NNG
전문	전문/NNG
인력으로서의	인력/NNG+으로서/JKB+의/JKG
역량을	역량/NNG+을/JKO
강화한다는	강화하/VV+ㄴ다는/ETM
게	것/NNB+이/JKS
이	이/MM
워크숍의	워크숍/NNG+의/JKG
목적	목적/NNG

첫째	첫째/NR
날,	날/NNG+,/SP
전문	전문/NNG
강사들의	강사/NNG+들/XSN+의/JKG
마케팅관련	마케팅관련/NNG
강의와	강의/NNG+와/JC
장애인생산품시설인	장애인생산품시설/NNG+이/VCP+ㄴ/ETM
위캔의	위캔/NNG+의/JKG
쿠키,	쿠키/NNP+,/SP
누야하우스의	누야하우스/NNP+의/JKG
비누,	비누/NNG+,/SP
씨튼보호작업장의	씨튼보호작업장/NNG+의/JKG
두부과자에	두/MM+부과자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시설	시설/NNG
담당자의	담당자/NNG+의/JKG
설명을	설명/NNG+을/JKO
들은	듣/VV+은/ETM
후	후/NNG
6개	6/SN+개/NNB
조는	졸/VV+는/ETM
팀별	팀/NNG+별/XSN
주제와	주제/NNG+와/JC
이름,	이름/NNG+,/SP
구호	구호/NNG
등을	등/NNB+을/JKO
정했다	정하/VV+였/EP+다/EF

그리고	그리고/MAJ
각	각/MM
팀별로	팀/NNG+별/XSN+로/JKB
3가지	3/SN+가지/NNB
제품	제품/NNG
중	중/NNB
한	한/MM
가지씩을	가지/NNB+씩/XSN+을/JKO
정해	정하/VV+여/EC
판매	판매/NNG
전략을	전략/NNG+을/JKO
수립했다	수립하/VV+였/EP+다/EC

둘째	둘째/NR
날,	날/NNG+,/SP
9시부터	9/SN+시/NNB+부터/JX
시작된	시작되/VV+ㄴ/ETM
워크숍	워크숍/NNG

1시간	1/SN+시간/NNB
동안	동안/NNG
각	각/MM
팀별	팀/NNG+별/XSN
판매	판매/NNG
전략에	전략/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
발표와	발표/NNG+와/JC
세미나	세미나/NNG
후	후/NNG
각	각/MM
팀은	팀/NNG+은/JX
고른	고르/VA+ㄴ/ETM
제품을	제품/NNG+을/JKO
들고	들/VV+고/EC
판매	판매/NNG
장소로	장소/NNG+로/JKB
향했다	향하/VV+었/EP+다/EC

제한	제한/NNG
시간은	시간/NNG+은/JX
오후	오후/NNG
3시까지	3/SN+시/NNB+까지/JX
총	총/MM
5시간	5/SN+시간/NNB

그동안	그동안/NNG
많이	많이/MAG
판	팔/VV+ㄴ/ETM
팀별로	팀/NNG+별/XSN+로/JKB
순위를	순위/NNG+를/JKO
정해	정하/VV+여/EC
상품도	상품/NNG+도/JX
지급키로	지급하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

여의도	여의도/NNP
광장으로	광장/NNG+으로/JKB
향한	향하/VV+ㄴ/ETM
팀,	팀/NNG+,/SP
신촌	신촌/NNP
대학가로	대학가/NNG+로/JKB
간	가/VV+ㄴ/ETM
팀	팀/NNG
등	등/NNB
각	각/MM
팀원들은	팀원/NNG+들/XSN+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
정한	정하/VV+ㄴ/ETM
판매장소로	판매장소/NNG+로/JKB
가서	가/VV+아서/EC
계획한	계획하/VV+ㄴ/ETM
판매방법대로	판매방법/NNG+대로/JX
제품들을	제품/NNG+들/XSN+을/JKO
팔기	팔/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

A팀의	A/SL+팀/NNG+의/JKG
경우	경우/NNG
신학교	신학교/NNG
학생들과	학생/NNG+들/XSN+과/JKB
사회복지학과가	사회복지학과/NNG+가/JKS
있는	있/VA+는/ETM
총신대학교로	총신대학교/NNG+로/JKB
판매	판매/NNG
장소를	장소/NNG+를/JKO
정하고	정하/VV+고/EC
교수님의	교수/NNG+님/XSN+의/JKG
협조를	협조/NNG+를/JKO
구하면	구하/VV+면/EC
판매가	판매/NNG+가/JKS
수월할	수월하/VA+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
판단했다	판단하/VV+였/EP+다/EC

하지만	하지만/MAJ
작전	작전/NNG
실패	실패/NNG

관련	관련/NNG
교수는	교수/NNG+는/JX
학교	학교/NNG
내에서	내/NNB+에서/JKB
물건을	물건/NNG+을/JKO
팔도록	팔/VV+도록/EC
해줄	하/VX+여/EC+주/VX+ㄹ/ETM
경우	경우/NNG
다른	다른/MM
여러	여러/MM
곳에서도	곳/NNG+에서/JKB+도/JX
똑같은	똑같/VA+은/ETM
요구를	요구/NNG+를/JKO
해올	하/VV+여/EC+오/VX+ㄹ/ETM
수	수/NNB
있기에	있/VA+기에/EC
예외로	예외/NNG+로/JKB
인정해주기	인정하/VV+여/EC+주/VX+기/ETN
어렵다는	어렵/VA+다는/ETM
반응을	반응/NNG+을/JKO
보였다	보이/VV+었/EP+다/EF

오히려	오히려/MAG
학교	학교/NNG
밖	밖/NNG
공공기관을	공공기관/NNG+을/JKO
방문,	방문/NNG+,/SP
제품을	제품/NNG+을/JKO
다	다/MAG
판	팔/VV+ㄴ/ETM
것은	것/NNB+은/JX
물론	물론/MAG
생산시설	생산시설/NNG
연락처를	연락처/NNG+를/JKO
가르쳐주는	가르치/VV+어/EC+주/VX+는/ETM
등	등/NNB
판매	판매/NNG
연결까지	연결/NNG+까지/JX
성공할	성공하/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

작전	작전/NNG
실패	실패/NNG
후	후/NNG
즉시	즉시/NNG
전략을	전략/NNG+을/JKO
수정해	수정하/VV+여/EC
대처한	대처하/VV+ㄴ/ETM
순발력이	순/MM+발력/NNG+이/JKS
돋보이는	돋보이/VV+는/ETM
장면이었다	장면/NNG+이/VCP+었/EP+다/EF

또	또/MAG
다른	다른/MM
