장애인	장애인/NNG
몫	몫/NNG
매점·자판기,	매점/NNG+·/SP+자판기/NNG+,/SP
관세청	관세청/NNG
직원	직원/NNG
‘꿀꺽’	‘/SL+꿀/NNG+꺽/SN+’/SL

장애인에게	장애인/NNG+에게/JKB
우선	우선/MAG
허가권을	허가/NNG+권/XSN+을/JKO
주고	주/VV+고/EC
있는	있/VX+는/ETM
관세청	관세청/NNG
매점과	매점/NNG+과/JC
자판기	자판기/NNG
운영을	운영/NNG+을/JKO
직원이	직원/NNG+이/JKS
차지하고	차지하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

15일	15/SN+일/NNB
국회	국회/NNG
기획재정위원회	기획재정위원회/NNG
소속	소속/NNG
이낙연	이낙연/NNP
의원(민주통합당)이	의원/NNG+(/SS+민주통합당/NNP+)/SS+이/JKS
관세청으로부터	관세청/NNG+으로부터/JKB
받은	받/VV+은/ETM
자료를	자료/NNG+를/JKO
살펴본	살펴보/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
현재	현재/MAG
매점	매점/NNG
3곳과	3/SN+곳/NNG+과/JC
자판기	자판기/NNG
7대	7/SN+대/NNG
중,	중/NNB+,/SP
자판기	자판기/NNG
3대만이	3/SN+대만/NNB+이/JKS
장애인이	장애인/NNG+이/JKS
운영하고	운영하/VV+고/EC
있었다	있/VX+었/EP+다/EF

나머지	나머지/NNG
매점	매점/NNG
3곳과	3/SN+곳/NNG+과/JC
자판기	자판기/NNG
4대는	4/SN+대/NNB+는/JX
직원들의	직원/NNG+들/XSN+의/JKG
몫이었다	몫/NNG+이/VCP+었/EP+다/EF

현행법은	현행법/NNG+은/JX
공공기관이	공공기관/NNG+이/JKS
매점이나	매점/NNG+이나/JC
자판기를	자판기/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
때는	때/NNG+는/JX
장애인에게	장애인/NNG+에게/JKB
우선	우선/MAG
허가를	허가/NNG+를/JKO
주도록	주/VV+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

장애인복지법	장애인복지법/NNG
제	제/XPN
42조는	42/SN+조/NNB+는/JX
“국가와	“/SN+국가/NNG+와/JC
지방자치단체,	지방자치단체/NNG+,/SP
공공단체는	공공단체/NNG+는/JX
소관	소관/NNG
매점이나	매점/NNG+이나/JC
자동판매기의	자동판매기/NNG+의/JKG
설치를	설치/NNG+를/JKO
허가하거나	허가하/VV+거나/EC
위탁할	위탁하/VV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
장애인이	장애인/NNG+이/JKS
신청하면	신청하/VV+면/EC
우선적으로	우선적/NNG+으로/JKB
반영하도록	반영하/VV+도록/EC
노력해야	노력하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
규정함에도	규정하/VV+ㅁ에도/EC
이를	이/NP+를/JKO
