현병철,	현병철/NNG+,/SP
장애인권	장애인권/NNG
침해	침해/NNG
‘사실	‘/SN+사실/NNG
아니다’	아니/VCN+다/EC+’/SL

연임된	연임되/VV+ㄴ/ETM
국가인권위원회	국가인권위원회/NNG
현병철	현병철/NNP
위원장이	위원장/NNG+이/JKS
장애인	장애인/NNG
농성	농성/NNG
당시	당시/NNG
전기·난방을	전기/NNG+·/SP+난방/NNG+을/JKO
차단한	차단하/VV+ㄴ/ETM
사실과	사실/NNG+과/JKB
관련해	관련하/VV+여/EC
‘사실’이	‘/SN+사실/NNG+’/SN+이/JKC
아니라고	아니/VCN+라고/EC
부인,	부인/NNG+,/SP
장애인단체의	장애인단체/NNG+의/JKG
반발이	반발/NNG+이/JKS
예상된다	예상되/VV+ㄴ다/EF

국회	국회/NNG
운영위원회	운영위원회/NNG
정호준	정호준/NNP
의원	의원/NNG
(민주통합당)은	(/SS+민주통합당/NNP+)/SS+은/JX
26일	26/SN+일/NNB
국가인권위원회	국가인권위원회/NNG
국정감사에서	국정감사/NNG+에서/JKB
현병철	현병철/NNP
위원장의	위원장/NNG+의/JKG
연임	연임/NNG
당시	당시/NNG
청문회에서	청문회/NNG+에서/JKB
제기된	제기되/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
인권	인권/NNG
침해	침해/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+여/EC
지적하며	지적하/VV+며/EC
사퇴	사퇴/NNG
의향을	의향/NNG+을/JKO
물었다	묻/VV+었/EP+다/EF

정	정/NNP
의원은	의원/NNG+은/JX
“장애인들이	“/SL+장애인/NNG+들/XSN+이/JKS
인권위	인권위/NNG
건물에서	건물/NNG+에서/JKB
농성	농성/NNG
할	하/VV+ㄹ/ETM
당시	당시/NNG
전기와	전기/NNG+와/JC
난방을	난방/NNG+을/JKO
다	다/MAG
끊어서	끊/VV+어서/EC
장애인	장애인/NNG
활동가	활동가/NNG
중	중/NNB
한	한/MM
명이	명/NNB+이/JKS
급성폐렴으로	급성폐렴/NNG+으로/JKB
사망으로	사망/NNG+으로/JKB
까지	까지/JX
이어져	이어지/VV+어/EC
연임	연임/NNG
청문회	청문회/NNG
자리에서	자리/NNG+에서/JKB
질타를	질타/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
안다”면서	안다”/VV+면서/EC
“위원장으로	“/SL+위원장/NNG+으로/JKB
재임	재임/NNG
된	되/VV+ㄴ/ETM
후	후/NNG
그	그/MM
당시	당시/NNG
난방과	난방/NNG+과/JC
전기를	전기/NNG+를/JKO
차단한	차단하/VV+ㄴ/ETM
측근을	측근/NNG+을/JKO
장애차별조사과장으로	장애차별조사과장/NNG+으로/JKB
임명해	임명하/VV+여/EC
‘청개구리	‘/SN+청개구리/NNG
인사’아니냐고	인사’/NNG+아니/VCN+냐고/EC
지탄	지탄/NNG
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
있었다”고	있/VA+었/EP+다/EC+”/VX+고/EC
질책했다	질책하/VV+였/EP+다/EC

이어	이어/MAG
“올해	“/SL+올해/NNG
새로운	새롭/VA+ㄴ/ETM
대통령이	대통령/NNG+이/JKS
선출되면	선출되/VV+면/EC
새로운	새롭/VA+ㄴ/ETM
정부가	정부/NNG+가/JKS
출범하게	출범하/VV+게/EC
되면	되/VV+면/EC
또	또/MAG
다시	다시/MAG
이러한	이러하/VA+ㄴ/ETM
문제에	문제/NNG+에/JKB
대해	대하/VV+여/EC
논란이	논란/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이는데	보이/VV+는데/EC
사퇴할	사퇴하/VV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있냐”고	있/VA+냐/EC+”/VX+고/EC
물었다	묻/VV+었/EP+다/EF

현	현/MM
위원장은	위원장/NNG+은/JX
“장애인에	“/SN+장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전기와	전기/NNG+와/JC
난방을	난방/NNG+을/JKO
끊었다는	끊/VV+었/EP+다는/ETM
건	것/NNB+ㄴ/JX
사실과	사실/NNG+과/JKB
다르다고	다르/VA+다고/EC
다시	다시/MAG
한	한/MM
번	번/NNB
말씀드리겠고,	말씀/NNG+드리/XSV+겠/EP+고/EC+,/SP
인사	인사/NNG
과정에서는	과정/NNG+에서/JKB+는/JX
특혜가	특혜/NNG+가/JKC
아니였다”며	아니/VCN+이/VCP+었/EP+다/EC+”/VX+며/EC
“현재	“/SL+현재/MAG
(장애인	(/SS+장애인/NNG
침해와	침해/NNG+와/JC
관련해서는)	관련하/VV+여서/EC+는/JX+)/SS
고발이	고발/NNG+이/JKC
되었기	되/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
그때	그때/NNG
되면	되/VV+면/EC
충분히	충분히/MAG
다시	다시/MAG
말하겠고,	말하/VV+겠/EP+고/EC+,/SP
또	또/MAG
다른	다른/MM
기회가	기회/NNG+가/JKC
된	되/VV+ㄴ/ETM
다면	다면/EC
충분히	충분히/MAG
설명할	설명하/VV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/SN+고/EC
답변했다	답변하/VV+였/EP+다/EF

앞서	앞서/MAG
장애인단체와	장애인단체/NNG+와/JC
시민단체들은	시민단체/NNG+들/XSN+은/JX
현	현/MM
위원장의	위원장/NNG+의/JKG
재임기간이었던	재임기간/NNG+이/VCP+었/EP+던/ETM
2010년	2010/SN+년/NNB
12월	12/SN+월/NNB
초	초/NNB
인권위	인권위/NNG
11층	11/SN+층/NNG
배움터에서	배움터/NNG+에서/JKB
위원장	위원장/NNG
사퇴와	사퇴/NNG+와/JC
장애	장애/NNG
관련	관련/NNG
3대	3/SN+대/NNG
법안	법안/NNG
재개정을	재/XPN+개정/NNG+을/JKO
요구하며	요구하/VV+며/EC
인권위를	인권위/NNG+를/JKO
점거하던	점거하/VV+던/ETM
장애인	장애인/NNG
10여명에게	10/SN+여/XSN+명/NNB+에게/JKB
식사	식사/NNG
반입을	반입/NNG+을/JKO
못하게	못하/VV+게/EC
하고,	하/VX+고/EC+,/SP
난방·전기를	난방/NNG+·/SP+전기/NNG+를/JKO
끊는	끊/VV+는/ETM
등의	등/NNB+의/JKG
장애인권	장애인권/NNG
침해가	침해/NNG+가/JKS
발생했다고	발생하/VV+였/EP+다고/EC
주장했다	주장하/VV+였/EP+다/EC

당시	당시/NNG
인권위를	인권위/NNG+를/JKO
점거하던	점거하/VV+던/ETM
장애인	장애인/NNG
활동가	활동가/NNG
1명이	1/SN+명/NNB+이/JKS
급성폐렴은	급성폐렴/NNG+은/JX
사망해	사망하/VV+여/EC
논란은	논란/NNG+은/JX
더욱	더욱/MAG
커졌다	커지/VV+었/EP+다/EC

장애인	장애인/NNG
인권침해	인권침해/NNG
문제	문제/NNG
등으로	등/NNB+으로/JKB
시민단체의	시민단체/NNG+의/JKG
거센	거세/VA+ㄴ/ETM
반발에도	반발/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
다시	다시/MAG
현	현/MM
위원장을	위원장/NNG+을/JKO
