화마속	화마속/NNG
장애	장애/NNG
동생	동생/NNG
구하던	구하/VV+던/ETM
13세누이	13/SN+세/NNB+누/XSN+이/JKS
9일만에	9/SN+일만/NNB+에/JKB
숨져	숨지/VV+어/EC

(고양=연합뉴스)	(/SS+고양/NNG+=/SW+연합뉴스/NNP+)/SS
우영식	우영식/NNP
기자	기자/NNG
=	=/SW
화마	화마/NNG
속에	속/NNG+에/JKB
장애가	장애/NNG+가/JKS
있는	있/VA+는/ETM
남동생을	남동생/NNG+을/JKO
구하려다가	구하/VV+려다가/EC
함께	함께/MAG
중태에	중태/NNG+에/JKB
빠져	빠지/VV+어/EC
오누이의	오누이/NNG+의/JKG
애틋한	애틋하/VA+ㄴ/ETM
정을	정/NNG+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
박모(13)양이	박/NNP+모/NP+(/SS+13/SN+)/SS+양/NNB+이/JKS
끝내	끝내/MAG
숨졌다	숨지/VV+었/EP+다/EF

화재	화재/NNG
발생	발생/NNG
직후	직후/NNG
의식을	의식/NNG+을/JKO
잃고	잃/VV+고/EC
치료를	치료/NNG+를/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
지	지/NNB
9일만이다	9/SN+일만/NNB+이/VCP+다/EC

뇌병변장애가	뇌병변장애/NNG+가/JKS
있는	있/VA+는/ETM
남동생(11)도	남동생/NNG+(/SS+11/SN+)/SS+도/JX
10일째	10/SN+일/NNB+째/XSN
의식을	의식/NNG+을/JKO
회복하지	회복하/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
위중한	위중하/VA+ㄴ/ETM
상태여서	상태/NNG+이/VCP+어서/EC
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
더하고	더하/VV+고/EC
있다	있/VX+다/EC

인제대	인제대/NNP
일산백병원은	일산백병원/NNP+은/JX
7일	7/SN+일/NNB
오후	오후/NNG
5시34분께	5/SN+시/NNB+34/SN+분/NNB+께/JKB
병원	병원/NNG
중환자실에서	중환자실/NNG+에서/JKB
치료를	치료/NNG+를/JKO
받던	받/VV+던/ETM
박양이	박/NNP+양/NNB+이/JKS
숨을	숨/NNG+을/JKO
거뒀다고	거두/VV+었/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

박양	박양/NNP
남매는	남매/NNG+는/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
오후	오후/NNG
6시5분께	6/SN+시/NNB+5/SN+분/NNB+께/XSN
경기	경기/NNP
파주시	파주시/NNP
금촌동	금촌동/NNP
아파트	아파트/NNG
화재	화재/NNG
때	때/NNG
미처	미처/MAG
빠져나오지	빠져나오/VV+지/EC
못하고	못하/VX+고/EC
의식을	의식/NNG+을/JKO
잃은	잃/VV+은/ETM
채	채/NNB
발견돼	발견되/VV+어/EC
그동안	그동안/NNG
병원치료를	병원치료/NNG+를/JKO
받아왔다	받/VV+아/EC+오/VX+았/EP+다/EF

박양은	박/NNP+양/NNB+은/JX
발달	발달/NNG
장애가	장애/NNG+가/JKS
있기는	있/VA+기/ETN+는/JX
하지만	하/VX+지만/EC
일상생활에	일상생활/NNG+에/JKB
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
없어	없/VA+어/EC
충분히	충분히/MAG
빠져나올	빠져나오/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이었다	상황/NNG+이/VCP+었/EP+다/EC

그러나	그러나/MAJ
뇌병변장애	뇌병변장애/NNG
1급인	1/SN+급/NNG+이/VCP+ㄴ/ETM
동생이	동생/NNG+이/JKS
함께	함께/MAG
있어	있/VA+어/EC
동생을	동생/NNG+을/JKO
보호하려다	보호하/VV+려다/EC
변을	변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정됐다	추정되/VV+었/EP+다/EF

화재	화재/NNG
당시	당시/NNG
박양의	박/NNP+양/NNB+의/JKG
부모는	부모/NNG+는/JX
어려운	어렵/VA+ㄴ/ETM
형편에	형편/NNG+에/JKB
일을	일/NNG+을/JKO
나가	나가/VV+아/EC
남매만	남매/NNG+만/JX
집에	집/NNG+에/JKB
있었다	있/VA+었/EP+다/EF

박	박/NNP
양은	양/NNP+은/JX
일반	일반/NNG
중학교에	중학교/NNG+에/JKB
진학하라는	진학하/VV+라는/ETM
부모의	부모/NNG+의/JKG
조언에도	조언/NNG+에/JKB+도/JX
불구	불구/NNG
동생이	동생/NNG+이/JKS
다니는	다니/VV+는/ETM
특수학교에	특수학교/NNG+에/JKB
진학하는	진학하/VV+는/ETM
등	등/NNB
동생에	동생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보살핌이	보살피/VV+ㅁ/ETN+이/JKS
남달랐다	남달랐/VV+다/EF

대변을	대변/NNG+을/JKO
못	못/MAG
가리는	가리/VV+는/ETM
동생이	동생/NNG+이/JKS
바지에	바지/NNG+에/JKB
오물을	오물/NNG+을/JKO
묻히면	묻히/VV+면/EC
닦아주고	닦/VV+아/EC+주/VX+고/EC
직접	직접/MAG
세탁까지	세탁/NNG+까지/JX
해줬다고	하/VV+여/EC+주/VX+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

화재	화재/NNG
뒤	뒤/NNG
남매의	남매/NNG+의/JKG
사연이	사연/NNG+이/JKS
알려지며	알려지/VV+며/EC
주변에서는	주변/NNG+에서/JKB+는/JX
온정의	온정/NNG+의/JKG
손길과	손길/NNG+과/JKB
함께	함께/MAG
남매가	남매/NNG+가/JKS
무사히	무사히/MAG
건강을	건강/NNG+을/JKO
회복하길	회복하/VV+기/ETN+ㄹ/JKO
바랐다	바/NNB+라/VV+았/EP+다/EF

그러나	그러나/MAJ
이	이/NP
같은	같/VA+은/ETM
바람은	바람/NNG+은/JX
연기처럼	연기/NNG+처럼/JKB
사라졌다	사라지/VV+었/EP+다/EF

박양의	박/NNP+양/NNB+의/JKG
아버지는	아버지/NNG+는/JX
"안타깝게도	"/SS+안타깝/VA+게/EC+도/JX
큰	크/VA+ㄴ/ETM
애가	애/NNG+가/JKS
먼저	먼저/MAG
하늘나라로	하늘나라/NNG+로/JKB
갔다"며	가/VV+았/EP+다/EF+"/SS+며/EC
"막내도	"/SS+막내/NNG+도/JX
힘겨운	힘겹/VA+ㄴ/ETM
