"2년전	"/SS+2/SN+년/NNB+전/NNG
국내	국내/NNG
첫	첫/MM
'화학적	'/SS+화학적/NNG
거세'	거세/NNG+'/SS
있었다"	있/VA+었/EP+다/EF+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김길원	김길원/NNP
기자	기자/NNG
=	=/SW
국내	국내/NNG
첫	첫/MM
'화학적	'/SS+화학적/NNG
거세'가	거세/NNG+'/SS+가/JKS
이미	이미/MAG
2010년에	2010/SN+년/NNB+에/JKB
국내	국내/NNG
한	한/MM
대학병원에서	대학병원/NNG+에서/JKB
이뤄진	이루어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다	확인되/VV+었/EP+다/EF

검찰이	검찰/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
청소년	청소년/NNG
성폭행범에게	성폭행범/NNG+에게/JKB
'화학적	'/SS+화학적/NNG
거세'를	거세/NNG+'/SS+를/JKO
국내	국내/NNG
처음으로	처음/NNG+으로/JKB
청구했다고	청구하/VV+였/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
것과	것/NNB+과/JKB
비교하면	비교하/VV+면/EC
2년이나	2/SN+년/NNB+이나/JX
먼저인	먼저일/VV+ㄴ/EF
셈이다	셈/NNB+이/VCP+다/EC

28일	28/SN+일/NNB
의료계에	의료계/NNG+에/JKB
따르면	따르/VV+면/EC
국내	국내/NNG
첫	첫/MM
화학적	화학적/NNG
거세는	거세/NNG+는/JX
2010년	2010/SN+년/NNB
8월	8/SN+월/NNB
모	모/MM
대학병원에서	대학병원/NNG+에서/JKB
만	만/MM
18세의	18/SN+세/NNB+의/JKG
성도착증	성도착증/NNG
남성을	남성/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
이뤄졌다	이루어지/VV+었/EP+다/EF

이	이/MM
남성은	남성/NNG+은/JX
고등학생	고등학생/NNG
시절이던	시절/NNG+이/VCP+던/ETM
2009년부터	2009/SN+년/NNB+부터/JX
학교생활	학교생활/NNG
부적응과	부적응/NNG+과/JC
신체	신체/NNG
왜곡망상,	왜곡망상/NNG+,/SP
하루	하루/NNG
3~4차례의	3/SN+~/SO+4/SN+차례/NNG+의/JKG
자위행위,	자위행위/NNG+,/SP
여성의	여성/NNG+의/JKG
가슴을	가슴/NNG+을/JKO
만지고	만지/VV+고/EC
도망치는	도망치/VV+는/ETM
등의	등/NNB+의/JKG
충동적	충동적/NNG
성행위	성행위/NNG
등의	등/NNB+의/JKG
문제행동이	문제행동/NNG+이/JKS
이어져	이어지/VV+어/EC
병원을	병원/NNG+을/JKO
찾았다	찾/VV+았/EP+다/EC

그해	그해/NNG
10월부터	10/SN+월/NNB+부터/JX
정신과	정신/NNG+과/JC
진료를	진료/NNG+를/JKO
받은	받/VV+은/ETM
이	이/MM
학생은	학생/NNG+은/JX
당시	당시/NNG
성도착증과	성도착증/NNG+과/JC
충동조절장애	충동조절장애/NNG
진단을	진단/NNG+을/JKO
받았으며	받/VV+았/EP+으며/EC
20일에	20/SN+일/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
입원기간에	입원기간/NNG+에/JKB
심리치료	심리치료/NNG
및	및/MAG
약물치료가	약물치료/NNG+가/JKS
이뤄졌다	이루어지/VV+었/EP+다/EF

하지만,	하지만/MAJ+,/SP
퇴원	퇴원/NNG
후에도	후/NNG+에/JKB+도/JX
증상이	증상/NNG+이/JKS
개선되지	개선되/VV+지/EC
않아	않/VX+아/EC
2010년	2010/SN+년/NNB
1월	1/SN+월/NNB
이후로도	이후/NNG+로/JKB+도/JX
10여차례에	10/SN+여/XSN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
외래	외래/NNG
정신치료를	정신치료/NNG+를/JKO
