선관위,	선관위/NNG+,/SP
투표소	투표소/NNG
장애인유권자	장애인유권자/NNG
편의시설	편의시설/NNG
실태조사	실태조사/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김연정	김연정/NNP
기자	기자/NNG
=	=/SW
중앙선거관리위원회는	중앙선거관리위원회/NNG+는/JX
제18대	제/XPN+18/SN+대/NNG
대선에	대선/NNG+에/JKB
설치할	설치하/VV+ㄹ/ETM
전국	전국/NNG
1만3천482개	1/SN+만/NR+3/SN+천/NR+482/SN+개/NNB
투표소에	투표소/NNG+에/JKB
대해	대하/VV+여/EC
휠체어	휠체어/NNG
이동통로	이동통로/NNG
등	등/NNB
장애인	장애인/NNG
유권자	유권자/NNG
편의시설	편의시설/NNG
실태	실태/NNG
파악에	파악/NNG+에/JKB
들어갔다고	들어가/VV+았/EP+다고/EC
17일	17/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

선관위는	선관위/NNG+는/JX
거동이	거동/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
선거인을	선거인/NNG+을/JKO
위해	위하/VV+여/EC
대선	대선/NNG
투표소	투표소/NNG
예정	예정/NNG
장소에	장소/NNG+에/JKB
대해	대하/VV+여/EC
시각장애인	시각장애인/NNG
점자형	점자형/NNG
유도블록	유도블록/NNG
설치	설치/NNG
여부,	여부/NNG+,/SP
휠체어	휠체어/NNG
이동통로,	이동통/NNG+로/JKB+,/SP
임시경사로	임시경/NNG+사/XSN+로/JKB
설치	설치/NNG
여부	여부/NNG
등	등/NNB
장애인	장애인/NNG
유권자	유권자/NNG
편의시설을	편의시설/NNG+을/JKO
점검하라고	점검하/VV+라고/EC
구ㆍ시ㆍ군	구/NNG+ㆍ/SP+시/NNG+ㆍ/SP+군/NNG
선관위에	선관위/NNG+에/JKB
지시했다	지시하/VV+였/EP+다/EC

투표소	투표소/NNG
현장점검은	현장점검/NNG+은/JX
장애인	장애인/NNG
단체,	단체/NNG+,/SP
정당,	정당/NNG+,/SP
지방자치단체	지방자치단체/NNG
협조를	협조/NNG+를/JKO
얻어	얻/VV+어/EC
가급적	가급적/MAG
함께	함께/MAG
참여하고	참여하/VV+고/EC
장애인	장애인/NNG
단체에서	단체/NNG+에서/JKB
개선	개선/NNG
요구	요구/NNG
사항이	사항/NNG+이/JKS
있으면	있/VA+으면/EC
적극	적극/NNG
반영하라고	반영하/VV+라고/EC
지시했다	지시하/VV+였/EP+다/EC

선관위	선관위/NNG
관계자는	관계자/NNG+는/JX
"이번	"/SS+이번/NNG
투표소	투표소/NNG
예정	예정/NNG
장소	장소/NNG
실태조사	실태조사/NNG
결과를	결과/NNG+를/JKO
반영해	반영하/VV+여/EC
장애인	장애인/NNG
유권자의	유권자/NNG+의/JKG
투표	투표/NNG
편의를	편의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
종합대책을	종합대책/NNG+을/JKO
곧	곧/MAG
시행할	시행하/VV+ㄹ/ETM
예정"이라며	예정/NNG+"/SS+이/VCP+라며/EC
"투표소	"/SS+투표소/NNG
선정을	선정/NNG+을/JKO
조기에	조기/NNG+에/JKB
확정하고	확정하/VV+고/EC
선관위	선관위/NNG
홈페이지	홈페이지/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
투표소	투표소/NNG
위치를	위치/NNG+를/JKO
안내할	안내하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

yjkim84@yna	yjkim/SL+84/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
