한국,	한국/NNP+,/SP
UN	UN/SL
‘Inclusion	‘Inclusion/SL
International’	International’/SL
회원국	회원국/NNG
되다	되/VV+다/EC

한국이	한국/NNP+이/JKS
발달장애인	발달장애인/NNG
사회통합을	사회통합/NNG+을/JKO
내걸고	내걸/VV+고/EC
출발한	출발하/VV+ㄴ/ETM
UN	UN/SL
산하	산하/NNG
세계적인	세계적/NNG+이/VCP+ㄴ/ETM
조직인	조직/NNG+이/VCP+ㄴ/ETM
‘Inclusion	‘Inclusion/SL
International’의	International’/SL+의/JKG
정식	정식/NNG
회원국이	회원국/NNG+이/JKC
됐다	되/VV+었/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
사실은	사실/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
25일부터	25/SN+일/NNB+부터/JX
29일까지	29/SN+일/NNB+까지/JX
미국	미국/NNP
워싱턴DC에서	워싱턴/NNP+DC/SL+에서/JKB
개최된	개최되/VV+ㄴ/ETM
‘Inclusion	‘Inclusion/SL
International	International/SL
포럼’에서	포럼/NNG+’/SL+에서/JKB
한국이	한국/NNP+이/JKS
회원국으로	회원국/NNG+으로/JKB
가입·승인될	가입/NNG+·/SP+승인되/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
산파역할을	산파역할/NNG+을/JKO
담당한	담당하/VV+ㄴ/ETM
한국지적장애인복지협회	한국지적장애인복지협회/NNP
김종인	김종인/NNP
이사(나사렛대	이사/NNG+(/SS+나사렛대/NNP
부총장)에	부총장/NNG+)/SS+에/JKB
의해	의하/VV+여/EC
확인됐다	확인되/VV+었/EP+다/EF

‘Inclusion	‘Inclusion/SL
International’은	International’/SL+은/JX
지적·자폐성장애	지적/NNG+·/SP+자폐성장애/NNG
등	등/NNB
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
발달장애	발달장애/NNG
당사자와	당사자/NNG+와/JC
부모,	부모/NNG+,/SP
전문가가	전문가/NNG+가/JKS
함께	함께/MAG
참여하는	참여하/VV+는/ETM
세계적인	세계적/NNG+이/VCP+ㄴ/ETM
조직체로	조직체/NNG+로/JKB
1975년	1975/SN+년/NNB
설립됐다	설립되/VV+었/EP+다/EF

현재	현재/MAG
세계	세계/NNG
80여개국이	80/SN+여/XSN+개국/NNB+이/JKS
회원국으로	회원국/NNG+으로/JKB
되어	되/VV+어/EC
있어	있/VX+어/EC
향후	향후/NNG
한국의	한국/NNP+의/JKG
발달장애인	발달장애인/NNG
교육·재활·복지,	교육/NNG+·/SP+재활/NNG+·/SP+복지/NNG+,/SP
사회통합을	사회통합/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
삶의	삶/NNG+의/JKG
질	질/NNG
향상에	향상/NNG+에/JKB
크게	크/VA+게/EC
기여할	기여하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

김종인	김종인/NNP
이사는	이사/NNG+는/JX
“협회가	“/SN+협회/NNG+가/JKS
그동안	그동안/NNG
국내는	국내/NNG+는/JX
물론	물론/MAG
아시아에서	아시아/NNP+에서/JKB
지적장애인,	지적장애인/NNG+,/SP
자폐성장애인	자폐성장애인/NNG
등	등/NNB
발달장애인의	발달장애인/NNG+의/JKG
자기권리	자기권리/NNG
주장이나	주장/NNG+이나/JC
권익신장에	권익신장/NNG+에/JKB
기여했다”며서	기여하/VV+였/EP+다/EC+”/VV+며서/EC
“향후	“/SL+향후/NNG
우리나라의	우리나라/NNG+의/JKG
발달장애인이	발달장애인/NNG+이/JKS
국제사회의	국제사회/NNG+의/JKG
통합	통합/NNG
주인공이	주인공/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘	‘/SL
Inclusion	Inclusion/SL
International’과	International’/SL+과/JKB
더불어	더불/VV+어/EC
노력을	노력/NNG+을/JKO
경주할	경주하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
