개통한	개통하/VV+ㄴ/ETM
분당선	분당/NNP+선/XSN
4개	4/SN+개/NNB
역사…교통약자	역사/NNG+…/SE+교통약자/NNG
‘불편’	‘/SN+불/NNB+편/XSN+’/SN

분당선	분당/NNP+선/XSN
왕십리~선릉(6	왕십리/NNP+~/SO+선릉/NNG+(/SS+6/SN

8㎞)	8/SN+㎞/SW+)/SS
구간이	구간/NNG+이/JKS
개통,	개통/NNG+,/SP
지난	지나/VV+ㄴ/ETM
6일부터	6/SN+일/NNB+부터/JX
정식운행에	정식운행/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

이	이/MM
구간에는	구간/NNG+에/JKB+는/JX
왕십리,	왕십리/NNP+,/SP
서울숲,	서울/NNP+숲/NNG+,/SP
압구정로데오,	압구정로데오/NNP+,/SP
강남구청,	강남구청/NNP+,/SP
선정릉,	선정릉/NNP+,/SP
선릉	선릉/NNP
등	등/NNB
모두	모두/MAG
6개	6/SN+개/NNB
역이	역/NNG+이/JKS
있다	있/VA+다/EF

왕십리·선릉역은	왕십리/NNP+·/SP+선릉역/NNP+은/JX
기존역사이며,	기존역사/NNG+이/VCP+며/EC+,/SP
이외에는	이외/NNG+에/JKB+는/JX
신설된	신설되/VV+ㄴ/ETM
역이다	역/NNG+이/VCP+다/EC

그렇다면	그렇/VA+다면/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
불편	불편/NNG
없이	없이/MAG
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있을까?	있/VA+을까/EF+?/SF
6일	6/SN+일/NNB
직접	직접/MAG
방문해	방문하/VV+여/EC
6개	6/SN+개/NNB
역사를	역사/NNG+를/JKO
둘러본	둘러보/VV+ㄴ/ETM
결과	결과/NNG
미흡했다	미흡하/VA+었/EP+다/EF

더욱이	더욱이/MAG
신설된	신설되/VV+ㄴ/ETM
4개역은	4/SN+개/NNB+역/NNG+은/JX
일부	일부/NNG
엘리베이터	엘리베이터/NNG
공사가	공사/NNG+가/JKS
완료되지	완료되/VV+지/EC
않은	않/VX+은/ETM
상태로	상태/NNG+로/JKB
장애인을	장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
교통약자들의	교통약자/NNG+들/XSN+의/JKG
불편을	불편/NNG+을/JKO
초래하고	초래하/VV+고/EC
있었다	있/VX+었/EP+다/EF

특히	특히/MAG
장애인화장실은	장애인화장실/NNG+은/JX
공통적으로	공통적/NNG+으로/JKB
비장애인화장실	비장애인화장실/NNG
안쪽	안쪽/NNG
입구에	입구/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
경우,	경우/NNG+,/SP
성별이	성별/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받기	받/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

시각장애인들	시각장애인/NNG+들/XSN
또한	또한/MAG
관련	관련/NNG
편의시설	편의시설/NNG
미비로	미비/NNG+로/JKB
인해	인하/VV+여/EC
역사를	역사/NNG+를/JKO
이용하기에는	이용하/VV+기/ETN+에/JKB+는/JX
매우	매우/MAG
불편해	불편하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

■서울숲역=승강장에	■/SW+서울/NNP+숲역/NNG+=/SW+승강장/NNG+에/JKB
스크린도어가	스크린도어/NNP+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
전동차와	전동차/NNG+와/JC
승강장	승강장/NNG
사이가	사이/NNG+가/JKS
넓어	넓/VA+어/EC
휠체어	휠체어/NNG
바퀴가	바퀴/NNG+가/JKS
빠질	빠지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다	있/VA+다/EF

선릉방향	선릉방향/NNP
승강장에서	승강장/NNG+에서/JKB
지상1층	지상/NNG+1/SN+층/NNG
맞이방으로	맞이방/NNG+으로/JKB
올라가는	올라가/VV+는/ETM
엘리베이터는	엘리베이터/NNG+는/JX
아직	아직/MAG
설치	설치/NNG
공사가	공사/NNG+가/JKS
완료되지	완료되/VV+지/EC
않은	않/VX+은/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

때문에	때문/NNB+에/JKB
유모차를	유모차/NNG+를/JKO
손으로	손/NNG+으로/JKB
들고	들/VV+고/EC
올라가야	올라가/VV+아야/EC
하는	하/VX+는/ETM
실정일	실정/NNG+이/VCP+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
경우	경우/NNG
맞이방	맞이방/NNG
1층으로	1/SN+층/NNG+으로/JKB
올라가지	올라가/VV+지/EC
못했다	못하/VX+였/EP+다/EC

엘리베이터	엘리베이터/NNG
앞에는	앞/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록이/MAG
무분별하게	무분별하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
밑에	밑/NNG+에/JKB
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

장애인화장실은	장애인화장실/NNG+은/JX
남여비장애인화장실	남여비장애인화장실/NNG
안에	안/NNG+에/JKB
각각	각각/MAG
마련돼	마련되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
이곳	이곳/NP
주위에	주위/NNG+에/JKB
점자블록이	점자블록이/MAG
길게	길/VA+게/EC
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

내부는	내부/NNG+는/JX
공간이	공간/NNG+이/JKS
넓었고,	넓/VA+었/EP+고/EC+,/SP
용변기	용변/NNG+기/XSN
뒤에	뒤/NNG+에/JKB
등받이와	등받이/NNG+와/JC
비상호출버튼이	비/XPN+상호출버튼/NNG+이/JKS
잘	잘/MAG
설치된	설치되/VV+ㄴ/ETM
반면	반면/NNG
휴지걸이는	휴지걸이/NNG+는/JX
아직	아직/MAG
미설치된	미설치되/VV+ㄴ/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

손을	손/NNG+을/JKO
닦고	닦/VV+고/EC
말리는	말리/VV+는/ETM
핸드드라이어기는	핸드드라이어기/NNG+는/JX
용변기	용변/NNG+기/XSN
앞	앞/NNG
벽면에	벽면/NNG+에/JKB
설치돼	설치되/VV+어/EC
휠체어장애인이	휠체어장애인/NNG+이/JKS
용변기에	용변/NNG+기/XSN+에/JKB
접근할	접근하/VV+ㄹ/ETM
때	때/NNG
걸려	걸리/VV+어/EC
불편을	불편/NNG+을/JKO
초래하고	초래하/VV+고/EC
있어	있/VX+어/EC
이동이	이동/NNG+이/JKS
필요해	필요하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

남자	남자/NNG
비장애인화장실의	비장애인화장실/NNG+의/JKG
경우	경우/NNG
소변기	소변기/NNG
손잡이가	손잡이/NNG+가/JKS
잘	잘/MAG
설치됐다	설치되/VV+었/EP+다/EF

하지만	하지만/MAJ
소변기가	소변기/NNG+가/JKS
높아	높/VA+아/EC
휠체어장애인은	휠체어장애인/NNG+은/JX
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

시각장애인에게	시각장애인/NNG+에게/JKB
역사를	역사/NNG+를/JKO
안내해	안내하/VV+여/EC
주는	주/VX+는/ETM
점자안내판과	점자안내판/NNG+과/JC
계단	계단/NNG
손잡이에	손잡이/NNG+에/JKB
층수를	층수/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
핸드레일	핸드레일/NNG
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

■압구정로데오역=승강장에	■/SW+압구정로데오역/NNP+=/SW+승강장/NNG+에/JKB
스크린도어가	스크린도어/NNP+가/JKS
설치됐다	설치되/VV+었/EP+다/EF

엘리베이터도	엘리베이터/NNG+도/JX
4대나	4/SN+대/NNB+나/JX
설치됐지만	설치되/VV+었/EP+지만/EC
역사	역사/NNG
구조가	구조/NNG+가/JKS
복잡해	복잡하/VA+여/EC
이용에	이용/NNG+에/JKB
불편함을	불편하/VA+ㅁ/ETN+을/JKO
초래하고	초래하/VV+고/EC
있었다	있/VX+었/EP+다/EF

휠체어	휠체어/NNG
장애인이	장애인/NNG+이/JKS
왕십리	왕십리/NNP
방향으로	방향/NNG+으로/JKB
가려면	가/VV+려면/EC
선릉방향	선릉방향/NNP
엘리베이터를	엘리베이터/NNG+를/JKO
타고,	타/VV+고/EC+,/SP
지하	지하/NNG
1층으로	1/SN+층/NNG+으로/JKB
내려가서	내려가/VV+아서/EC
다시	다시/MAG
왕십리방향	왕십리방향/NNP
엘리베이터로	엘리베이터/NNG+로/JKB
갈아타야	갈아타/VV+아야/EC
한다	하/VX+ㄴ다/EF

엘리베이터	엘리베이터/NNG
앞에는	앞/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록이/MAG
무분별하게	무분별하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

비장애인화장실	비장애인화장실/NNG
입구에는	입구/NNG+에/JKB+는/JX
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
없다	없/VA+다/EC

장애인화장실은	장애인화장실/NNG+은/JX
남녀비장애인화장실	남녀비장애인화장실/NNG
안에	안/NNG+에/JKB
각각	각각/MAG
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

내부는	내부/NNG+는/JX
넓고,	넓/VA+고/EC+,/SP
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
비상호출버튼이	비/XPN+상호출버튼/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

하지만	하지만/MAJ
휴지걸이는	휴지걸이/NNG+는/JX
미설치된	미설치되/VV+ㄴ/ETM
상태이며,	상태/NNG+이/VCP+며/EC+,/SP
손을	손/NNG+을/JKO
닦고	닦/VV+고/EC
말리는	말리/VV+는/ETM
핸드드라이어기가	핸드드라이어기/NNG+가/JKS
용변기	용변/NNG+기/XSN
앞에	앞/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
이동을	이동/NNG+을/JKO
방해하고	방해하/VV+고/EC
있었다	있/VX+었/EP+다/EF

남자	남자/NNG
비장애인화장실의	비장애인화장실/NNG+의/JKG
경우	경우/NNG
소변기	소변기/NNG
손잡이가	손잡이/NNG+가/JKS
잘	잘/MAG
설치됐지만	설치되/VV+었/EP+지만/EC
소변기가	소변기/NNG+가/JKS
높아	높/VA+아/EC
휠체어장애인은	휠체어장애인/NNG+은/JX
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

시각장애인에게	시각장애인/NNG+에게/JKB
역사를	역사/NNG+를/JKO
안내해	안내하/VV+여/EC
주는	주/VX+는/ETM
점자안내판과	점자안내판/NNG+과/JC
계단	계단/NNG
손잡이에	손잡이/NNG+에/JKB
층수를	층수/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
핸드레일	핸드레일/NNG
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

이처럼	이/NP+처럼/JKB
장애인화장실	장애인화장/NNG+실/XSN
내부와	내부/NNG+와/JC
시각장애인	시각장애인/NNG
관련	관련/NNG
편의시설은	편의시설/NNG+은/JX
서울숲역과	서울/NNP+숲역/NNG+과/JC
차이를	차이/NNG+를/JKO
보이지	보이/VV+지/EC
않았다	않/VX+았/EP+다/EC

■강남구청역=	■/SW+강남구청역/NNP+=/SW
7호선과	7/SN+호/NNB+선/XSN+과/JC
환승이	환승/NNG+이/JKS
가능하다	가능하/VA+다/EC

하지만	하지만/MAJ
7호선	7/SN+호/NNB+선/XSN
환승계단에는	환승계단/NNG+에/JKB+는/JX
안전	안전/NNG
문제가	문제/NNG+가/JKS
제기되고	제기되/VV+고/EC
있어	있/VX+어/EC
휠체어장애인이	휠체어장애인/NNG+이/JKS
이용을	이용/NNG+을/JKO
두려워하는	두려워하/VV+는/ETM
‘휠체어	‘/SL+휠체어/NNG
