‘시각장애인	‘/SN+시각장애인/NNG
웹접근성	웹접근성/NNG
차별’	차별’/NNG
첫	첫/MM
손배소	손배소/NNG

장애인이	장애인/NNG+이/JKS
자유롭게	자유롭/VA+게/EC
인터넷에	인터넷/NNG+에/JKB
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
웹접근성이	웹접근성/NNG+이/JKS
침해받고	침해/NNG+받/VV+고/EC
있자,	있/VX+자/EC+,/SP
시각장애인	시각장애인/NNG
10명이	10/SN+명/NNB+이/JKS
차별행위에	차별행위/NNG+에/JKB
대해	대하/VV+여/EC
손해배상	손해배상/NNG
소송을	소송/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

고려대학교	고려대학교/NNP
공익법률상담소,	공익법률상담소/NNG+,/SP
공익변호사그룹	공익변호사그룹/NNG
공감,	공감/NNG+,/SP
한국장애인단체총연합회	한국장애인단체총연합회/NNP
장애인인권침해예방센터,	장애인인권침해예방센터/NNG+,/SP
참여연대	참여연대/NNP
공익법센터	공익법센터/NNG
등은	등/NNB+은/JX
29일	29/SN+일/NNB
서울중앙지법	서울중앙/NNP+지법/NNG
기자실에서	기자실/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
웹접근성을	웹접근성/NNG+을/JKO
지키지	지키/VV+지/EC
않은	않/VX+은/ETM
서울도시철도공사	서울도시철도공사/NNP
등	등/NNB
4곳을	4/SN+곳/NNG+을/JKO
상대로	상대/NNG+로/JKB
손배소송을	손배소송/NNG+을/JKO
냈다고	내/VV+었/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
소송은	소송/NNG+은/JX
대한항공,	대한항공/NNP+,/SP
한전병원,	한전병원/NNP+,/SP
서울도시철도공사,	서울도시철도공사/NNP+,/SP
서울시(서울시장애인종합복지관)	서울시/NNP+(/SS+서울/NNP+시장애인종합복지관/NNG+)/SS
등	등/NNB
4곳으로,	4/SN+곳/NNG+으로/JKB+,/SP
관할법원인	관할법원/NNG+이/VCP+ㄴ/ETM
서부지법,	서부지법/NNG+,/SP
북부지법,	북부지법/NNG+,/SP
동부지법,	동부지법/NNG+,/SP
중앙지법에	중앙지법/NNG+에/JKB
각각	각각/MAG
5천만원	5/SN+천만/NR+원/NNB
총	총/MM
2억원을	2/SN+억/NR+원/NNB+을/JKO
청구했다	청구하/VV+였/EP+다/EF

앞서	앞서/MAG
2007년	2007/SN+년/NNB
4월부터	4/SN+월/NNB+부터/JX
사회	사회/NNG
각	각/MM
영역에서	영역/NNG+에서/JKB
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별을	차별/NNG+을/JKO
금지하는	금지하/VV+는/ETM
‘장애인	‘/SL+장애인/NNG
차별금지	차별금지/NNG
및	및/MAG
권리구제	권리구제/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’이	법률/NNG+’/SL+이/JKS
시행되고	시행되/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별은	차별/NNG+은/JX
쉽게	쉽/VA+게/EC
개선되고	개선되/VV+고/EC
있지	있/VX+지/EC
않다	않/VX+다/EC

특히	특히/MAG
인터넷	인터넷/NNG
상	상/XSN
정보에	정보/NNG+에/JKB
자유롭게	자유롭/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
웹접근성	웹접근성/NNG
보장의	보장/NNG+의/JKG
경우,	경우/NNG+,/SP
장애인들의	장애인/NNG+들/XSN+의/JKG
생존과	생존/NNG+과/JC
사회생활을	사회생활/NNG+을/JKO
위해	위하/VV+여/EC
필수적이지만,	필수적/NNG+이/VCP+지만/EC+,/SP
아직	아직/MAG
많은	많/VA+은/ETM
공공기관,	공공기관/NNG+,/SP
기업	기업/NNG
등의	등/NNB+의/JKG
홈페이지는	홈페이지/NNG+는/JX
충분한	충분하/VA+ㄴ/ETM
인식	인식/NNG
조차	조차/JX
없으며,	없/VA+으며/EC+,/SP
준수율도	준수율/NNG+도/JX
매우	매우/MAG
낮은게	낮/VA+은/ETM+것/NNB+이/JKS
현실이다	현실/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
장총련은	장총련/NNP+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
웹접근성을	웹접근성/NNG+을/JKO
보장하지	보장하/VV+지/EC
않은	않/VX+은/ETM
주요	주요/NNG
기관	기관/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
접근성	접근성/NNG
보장을	보장/NNG+을/JKO
요청하는	요청하/VV+는/ETM
공문을	공문/NNG+을/JKO
요청했으며,	요청하/VV+였/EP+으며/EC+,/SP
요청한	요청하/VV+ㄴ/ETM
기관	기관/NNG
중	중/NNB
웹접근성이	웹접근성/NNG+이/JKS
특히	특히/MAG
보장되지	보장되/VV+지/EC
않은	않/VX+은/ETM
4곳을	4/SN+곳/NNG+을/JKO
상대로	상대/NNG+로/JKB
이번	이번/NNG
소송을	소송/NNG+을/JKO
제기하게	제기하/VV+게/EC
된	되/VV+ㄴ/ETM
것	것/NNB

원고소송인	원고소송인/NNG
10명	10/SN+명/NNB
중	중/NNB
대표이기도	대표/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/EF
한국장애인단체총연합회	한국장애인단체총연합회/NNP
서인환	서인환/NNP
사무총장은	사무총장/NNG+은/JX
“이번	“/SL+이번/NNG
소송은	소송/NNG+은/JX
그동안	그동안/NNG
인권위에	인권위/NNG+에/JKB
진정을	진정/NNG+을/JKO
해왔던	하/VV+여/EC+오/VX+았/EP+던/ETM
웹접근성이	웹접근성/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
민사소송을	민사소송/NNG+을/JKO
제기한	제기하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+여/EC
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다”며	있/VA+다/EC+”/VX+며/EC
“웹접근성이	“/SN+웹접근성/NNG+이/JKS
보장돼	보장되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
장애인들과	장애인/NNG+들/XSN+과/JKB
비장애인들의	비장애인/NNG+들/XSN+의/JKG
격차가	격차/NNG+가/JKS
더욱	더욱/MAG
심화된다	심화되/VV+ㄴ다/EF

권고로써	권고/NNP+로써/JKB
끝날게	끝나/VV+ㄹ게/EC
아니라	아니/VCN+라/EC
소송을	소송/NNG+을/JKO
통해	통하/VV+여/EC
경각심을	경각심/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
필요성이	필요성/NNG+이/JKS
있다”고	있/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
이들은	이/NP+들/XSN+은/JX
이번	이번/NNG
4곳에	4/SN+곳/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
손해배상	손해배상/NNG
소송을	소송/NNG+을/JKO
진행하며,	진행하/VV+며/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
웹접근성을	웹접근성/NNG+을/JKO
준수하지	준수하/VV+지/EC
않은	않/VX+은/ETM
기관	기관/NNG
등에	등/NNB+에/JKB
대해	대하/VV+여/EC
추가	추가/NNG
소송을	소송/NNG+을/JKO
진행할	진행하/VV+ㄹ/ETM
