“사람답게	“/SN+사람/NNG+답/XSA+게/EC
살고	살/VV+고/EC
싶다”	싶/VX+다/EC+”/SW
빗속	빗속/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
외침	외침/NNG

전국장애인차별철폐연대를	전/MM+국장애인차별철폐연대/NNG+를/JKO
주축으로	주축/NNG+으로/JKB
한	하/VV+ㄴ/ETM
전국의	전국/NNG+의/JKG
장애인들이	장애인/NNG+들/XSN+이/JKS
3일	3/SN+일/NNB
오후	오후/NNG
‘제20회	‘/SN+제/XPN+20/SN+회/NNB
세계장애인의	세계장애인/NNG+의/JKG
날’을	날/NNG+’/SL+을/JKO
맞아	맞/VV+아/EC
서울	서울/NNP
광화문	광화문/NNP
광장에서	광장/NNG+에서/JKB
결의대회를	결의대회/NNG+를/JKO
갖고	갖/VV+고/EC
장애등급제	장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
장애인활동지원제도	장애인활동지원제도/NNG
개선	개선/NNG
등을	등/NNB+을/JKO
촉구하고	촉구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

'장애인들의	'/SS+장애인/NNG+들/XSN+의/JKG
인간다운	인간/NNG+답/XSA+ㄴ/ETM
삶	삶/NNG
보장'을	보장/NNG+'/SS+을/JKO
위해서는	위하/VV+여서/EC+는/JX
무엇보다	무엇/NP+보다/JKB
장애등급졔	장애등급/NNG+졔/SN
폐지	폐지/NNG
및	및/MAG
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
개선	개선/NNG
등이	등/NNB+이/JKS
시급하다는	시급하/VA+다는/ETM
이유에서다	이유/NNG+에서다/JKB

이날	이날/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
영하에	영하/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
매서운	매섭/VA+ㄴ/ETM
추운	춥/VA+ㄴ/ETM
날씨와	날씨/NNG+와/JC
차디찬	차디차/VA+ㄴ/ETM
빗속에도	빗속/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
거리로	거리/NNG+로/JKB
쏟아져	쏟아지/VV+어/EC
나왔다	나오/VV+았/EP+다/EF

특히	특히/MAG
국내	국내/NNG
연수를	연수/NNG+를/JKO
위해	위하/VV+여/EC
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
파키스탄	파키스탄/NNP
등	등/NNB
해외	해외/NNG
장애인들도	장애인/NNG+들/XSN+도/JX
동참해	동참하/VV+여/EC
눈길을	눈길/NNG+을/JKO
끌었다	끌/VV+었/EP+다/EC

이들	이/NP+들/XSN
장애인들의	장애인/NNG+들/XSN+의/JKG
절규하는	절규하/VV+는/ETM
모습을	모습/NNG+을/JKO
카메라에	카메라/NNG+에/JKB
담았다	담/VV+았/EP+다/EC

투쟁장으로	투쟁장/NNG+으로/JKB
향하는	향하/VV+는/ETM
장애인활동가들의	장애인활동가/NNG+들/XSN+의/JKG
모습	모습/NNG

빗속에서	빗속/NNG+에서/JKB
열심히	열심히/MAG
청각장애인을	청각장애인/NNG+을/JKO
위해	위하/VV+여/EC
수화통역	수화통역/NNG
하는	하/VV+는/ETM
활동가의	활동가/NNG+의/JKG
모습	모습/NNG

"추우니까	"/SS+추우/VV+니까/EC
이거	이거/NP
덮자"	덮/VV+자/EF+"/SS

서로서로	서로서로/MAG
챙기는	챙기/VV+는/ETM
장애인활동가들	장애인활동가/NNG+들/XSN

"안녕,	"/SS+안녕/IC+,/SP
파키스탄에서도	파키스탄/NNP+에서/JKB+도/JX
왔어요"	오/VV+았/EP+어요/EF+"/SS

"장애인도	"/SS+장애인/NNG+도/JX
사람답게	사람/NNG+답/XSA+게/EC
살고싶다"고	살/VV+고/EC+싶/VX+다/EF+"/SS+고/JKQ
외치는	외치/VV+는/ETM
활동가들	활동가/NNG+들/XSN

전국장애인차별철폐연대가	전/MM+국장애인차별철폐연대/NNG+가/JKS
3일	3/SN+일/NNB
‘제20회	‘/SN+제/XPN+20/SN+회/NNB
세계장애인의	세계장애인/NNG+의/JKG
날’을	날/NNG+’/SL+을/JKO
맞아,	맞/VV+아/EC+,/SP
오후	오후/NNG
2시	2/SN+시/NNB
서울	서울/NNP
광화문광장에서	광화문/NNP+광장/NNG+에서/JKB
결의대회를	결의대회/NNG+를/JKO
개최했다	개최하/VV+였/EP+다/EC

한국	한국/NNP
장애인에게	장애인/NNG+에게/JKB
조끼를	조끼/NNG+를/JKO
입혀주는	입히/VV+어/EC+주/VX+는/ETM
파키스탄	파키스탄/NNP
장애인활동가	장애인활동가/NNG

장애인권리보장법을	장애인권리보장법/NNG+을/JKO
설명하는	설명하/VV+는/ETM
활동가들	활동가/NNG+들/XSN
모습	모습/NNG

빗속에	빗속/NNG+에/JKB
적셔진	적시/VV+어/EC+지/VX+ㄴ/ETM
'장애해방가'	'/SS+장애해방/NNG+가/JKS+'/SS
악보	악보/NNG
