균도아빠	균도아빠/NNG
"발달장애인법	"/SS+발달장애인법/NNG
제정,	제정/NNG+,/SP
부양의무제	부양의무제/NNG
폐지를"	폐지/NNG+를/JKO+"/SS

(춘천=연합뉴스)	(/SS+춘천/NNP+=/SW+연합뉴스/NNP+)/SS
강은나래	강은나래/NNP
기자	기자/NNG
=	=/SW
발달장애인에	발달장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심과	관심/NNG+과/JKB
관련법	관련법/NNG
제정을	제정/NNG+을/JKO
촉구하며	촉구하/VV+며/EC
지난달	지난달/NNG
부산	부산/NNP
기장군에서	기장군/NNP+에서/JKB
출발해	출발하/VV+여/EC
'균도와	'/SS+균도/NNG+와/JC
세상걷기	세상걷기/NNG
시즌	시즌/NNG
4'를	4/SN+'/SS+를/JKO
시작한	시작하/VV+ㄴ/ETM
이균도(20·자폐성장애	이균도/NNP+(/SS+20/SN+·/SP+자폐성장애/NNG
1급)씨와	1/SN+급/NNG+)/SS+씨/NNB+와/JC
아버지	아버지/NNG
이진섭(47)씨가	이진섭/NNP+(/SS+47/SN+)/SS+씨/NNB+가/JKS
14일	14/SN+일/NNB
오전	오전/NNG
강원	강원/NNP
춘천시에	춘천시/NNP+에/JKB
도착했다	도착하/VV+였/EP+다/EF

당뇨와	당뇨/NNG+와/JC
직장암	직장암/NNG
투병	투병/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
아버지	아버지/NNG
이씨와	이/NNP+씨/NNB+와/JC
자폐성	자폐성/NNG
장애를	장애/NNG+를/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
균도군은	균도군/NNG+은/JX
지난해	지난해/NNG
3월부터	3/SN+월/NNB+부터/JX
'균도와	'/SS+균도/NNG+와/JC
세상걷기'란	세상걷기/NNG+'/SS+이/VCP+란/ETM
이름으로	이름/NNG+으로/JKB
지금까지	지금/NNG+까지/JX
3차례에	3/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
전국	전국/NNG
도보	도보/NNG
대장정을	대장정/NNG+을/JKO
벌여	벌이/VV+어/EC
'장애아동복지지원법'	'/SS+장애아동복지지원법/NNG+'/SS
제정을	제정/NNG+을/JKO
이끌어	이끌/VV+어/EC
냈다	내/VX+었/EP+다/EF

이번	이번/NNG
4번째	4/SN+번째/NNB
도보	도보/NNG
대장정은	대장정/NNG+은/JX
부산에서	부산/NNP+에서/JKB
강원도를	강원도/NNP+를/JKO
거쳐	거치/VV+어/EC
서울까지	서울/NNP+까지/JX
총	총/MM
50여	50/SN+여/XSN
일	일/NNB
동안	동안/NNG
도보로	도보/NNG+로/JKB
800여km를	800/SN+여/XSN+km/SL+를/JKO
이동하는	이동하/VV+는/ETM
코스	코스/NNG

출발	출발/NNG
41일	41/SN+일/NNB
만에	만/NNB+에/JKB
춘천에	춘천/NNP+에/JKB
도착한	도착하/VV+ㄴ/ETM
이씨	이/NNP+씨/NNB
부자는	부자/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
10시	10/SN+시/NNB
강원도청	강원도청/NNP
앞에서	앞/NNG+에서/JKB
강원도장애인부모연대와	강원도/NNP+장애인부모연대/NNG+와/JKB
함께	함께/MAG
기자회견을	기자회견/NNG+을/JKO
열고	열/VV+고/EC
발달장애인법	발달장애인법/NNG
제정과	제정/NNG+과/JC
국민기초생활보장법상의	국민기초생활보장법상/NNP+의/JKG
부양	부양/NNG
의무제	의무/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EF

아버지	아버지/NNG
이씨는	이/NNP+씨/NNB+는/JX
지난달	지난달/NNG
경기	경기/NNP
파주시의	파주시/NNP+의/JKG
한	한/MM
아파트에서	아파트/NNG+에서/JKB
불이	불/NNG+이/JKS
나	나/VV+아/EC
집안에	집안/NNG+에/JKB
단둘이	단둘/NNG+이/JKS
있던	있/VA+던/ETM
장애인	장애인/NNG
남매	남매/NNG
중	중/NNB
누나(13)가	누나/VV+아/EC+(/SS+13/SN+)/SS+가/JKS
숨진	숨지/VV+ㄴ/ETM
사고를	사고/NNG+를/JKO
언급하며	언급하/VV+며/EC
"현재	"/SS+현재/MAG
발달장애인에게	발달장애인/NNG+에게/JKB
제공되는	제공되/VV+는/ETM
월	월/NNG
62시간,	62/SN+시간/NNB+,/SP
하루	하루/NNG
2시간	2/SN+시간/NNB
남짓의	남짓/NNB+의/JKG
활동보조서비스를	활동보조서비스/NNG+를/JKO
확대해	확대하/VV+여/EC
