장애인활동지원예산	장애인활동지원예산/NNG
1000억원	1000/SN+억/NR+원/NNB
증액	증액/NNG
촉구	촉구/NNG

중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
국회에	국회/NNG+에/JKB
제출된	제출되/VV+ㄴ/ETM
내년	내년/NNG
장애인활동지원예산안에	장애인활동지원예산안/NNG+에/JKB
1000억원을	1000/SN+억/NR+원/NNB+을/JKO
추가	추가/NNG
증액할	증액하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

전국장애인차별철폐연대와	전/MM+국장애인차별철폐연대/NNG+와/JC
민주당	민주당/NNP
예산결산특별위원회는	예산결산특별위원회/NNG+는/JX
8일	8/SN+일/NNB
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
최중증장애인들에게	최/XPN+중증장애인/NNG+들/XSN+에게/JKB
하루	하루/NNG
24시간	24/SN+시간/NNB
활동지원	활동지원/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
총	총/MM
4214억원의	4214/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
요구했다	요구하/VV+었/EP+다/EC

당초	당초/NNG
이날	이날/NNG
기자회견은	기자회견/NNG+은/JX
오전	오전/NNG
10시	10/SN+시/NNB
30분	30/SN+분/NNB
국회	국회/NNG
본청	본청/NNG
계단	계단/NNG
앞에서	앞/NNG+에서/JKB
진행될	진행되/VV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
규정상의	규정상/NNG+의/JKG
문제로	문제/NNG+로/JKB
의회	의회/NNG
경호원들과	경호원/NNG+들/XSN+과/JC
경찰의	경찰/NNG+의/JKG
저지로	저지/NNG+로/JKB
무산,	무산/NNG+,/SP
영정	영정/NNG
사진을	사진/NNG+을/JKO
든	들/VV+ㄴ/ETM
채	채/NNB
30분간의	30/SN+분/NNB+간/XSN+의/JKG
몸싸움	몸싸움/NNG
끝에	끝/NNG+에/JKB
정론관으로	정론관/NNG+으로/JKB
옮겨	옮기/VV+어/EC
진행됐다	진행되/VV+었/EP+다/EF

올해	올해/NNG
정부가	정부/NNG+가/JKS
국회에	국회/NNG+에/JKB
제출한	제출하/VV+ㄴ/ETM
내년예산안에는	내년예산안/NNG+에/JKB+는/JX
장애인활동지원예산이	장애인활동지원예산/NNG+이/JKS
3214억원으로	3214/SN+억/NR+원/NNB+으로/JKB
올해	올해/NNG
예산(3099억원)에	예산/NNG+(/SS+3099/SN+억/NR+원/NNB+)/SS+에/JKB
비해	비하/VV+여/EC
3	3/SN

7%	7/SN+%/SW
인상에	인상/NNG+에/JKB
그치고	그치/VV+고/EC
있다	있/VX+다/EC

그나마	그나마/MAG
서비스	서비스/NNG
수가	수/NNG+가/JKS
3%인상을	3/SN+%/SW+인상/NNG+을/JKO
감안하면	감안하/VV+면/EC
실질적	실질적/NNG
서비스	서비스/NNG
확대는	확대/NNG+는/JX
전혀	전혀/MAG
없는	없/VA+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“복지부에	“/SL+복지부/NNG+에/JKB
문의해보니	문의하/VV+여/EC+보/VX+니/EC
긴급하게	긴급하/VA+게/EC
24시간	24/SN+시간/NNB
활동보조가	활동보조/NNG+가/JKS
필요한	필요하/VA+ㄴ/ETM
최중증장애인들이	최/XPN+중증장애인/NNG+들/XSN+이/JKS
1500명	1500/SN+명/NNB
정도	정도/NNG
된다	되/VV+ㄴ다/EF

이분들이	이분/NP+들/XSN+이/JKS
24시간	24/SN+시간/NNB
활동보조를	활동보조/NNG+를/JKO
받게	받/VV+게/EC
하려면	하/VX+려면/EC
현재	현재/MAG
예산안에서	예산안/NNG+에서/JKB
1000억원이	1000/SN+억/NR+원/NNB+이/JKS
더	더/MAG
필요하다”면서	필요하/VA+다/EC+”/VX+면서/EC
“우선	“/SN+우/JKV+서/JKB+이/VCP+ㄴ/EC
긴급하게	긴급하/VA+게/EC
필요하신	필요하/VA+시/EP+ㄴ/ETM
분들만이라도	분/NNB+들/XSN+만이라도/JX
24시간	24/SN+시간/NNB
서비스를	서비스/NNG+를/JKO
받을수	받/VV+을/ETM+수/NNB
있게	있/VA+게/EC
하기	하/VX+기/ETN
위해서라도	위하/VV+여서/EC+라도/JX
예산	예산/NNG
확보를	확보/NNG+를/JKO
요구하는	요구하/VV+는/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

성동장애인자립생활센터	성동/NNP+장애인자립생활센터/NNG
최진영	최진영/NNP
소장은	소장/NNG+은/JX
“얼마전	“/SN+얼마전/NNG
김주영	김주영/NNP
동지가	동지/NNG+가/JKS
떠났다	떠나/VV+았/EP+다/EF

정부의	정부/NNG+의/JKG
예산이	예산/NNG+이/JKS
없다라는	없/VA+다라는/ETM
핑계가	핑계/NNG+가/JKS
중증장애인을	중증장애인/NNG+을/JKO
죽게했다”며	죽/VV+게/EC+하/VX+였/EP+다/EC+”/VV+며/EC
“얼마나	“/SN+얼마/NNG+나/JC
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
더	더/MAG
죽어야	죽/VV+어야/EC
예산확보가	예산확보/NNG+가/JKS
가능하냐	가능하/VA+냐/EC

피투성이가	피투성이/NNG+가/JKC
될	되/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
24시간	24/SN+시간/NNB
활동보조를	활동보조/NNG+를/JKO
위해	위하/VV+여/EC
싸우겠다”고	싸우/VV+겠/EP+다/EC+”/VX+고/EC
외쳤다	외치/VV+었/EP+다/EC

민주통합당	민주통합당/NNP
최민희	최민희/NNP
의원은	의원/NNG+은/JX
“복지부는	“/SL+복지부/NNG+는/JX
내년도	내년도/NNG
예산을	예산/NNG+을/JKO
3214억원	3214/SN+억/NR+원/NNB
편성했다	편성하/VV+였/EP+다/EF

중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
24시간	24/SN+시간/NNB
활동지원제도를	활동지원제도/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
예산확보를	예산확보/NNG+를/JKO
위해	위하/VV+여/EC
애쓰겠다	애쓰/VV+겠/EP+다/EC

눈물을	눈물/NNG+을/JKO
닦아드리지	닦/VV+아/EC+드리/VX+지/EC
못해	못하/VX+여/EC
죄송하다”고	죄송하/VA+다”고/EC
예산	예산/NNG
증액에	증액/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
전장연은	전장연/NNP+은/JX
오는	오/VV+는/ETM
9일	9/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
부모가	부모/NNG+가/JKS
일하러	일하/VV+러/EC
나간	나가/VV+ㄴ/ETM
사이	사이/NNG
발생한	발생하/VV+ㄴ/ETM
화재	화재/NNG
속에서	속/NNG+에서/JKB
남동생(뇌병변장애1급)을	남동생/NNG+(/SS+뇌병변장애/NNG+1/SN+급/NNG+)/SS+을/JKO
구하려다	구하/VV+려다/EC
함께	함께/MAG
중태에	중태/NNG+에/JKB
빠져	빠지/VV+어/EC
치료를	치료/NNG+를/JKO
받던	받/VV+던/ETM
중	중/NNB
7일	7/SN+일/NNB
사망한	사망하/VV+ㄴ/ETM
고(故)	고/NNG+(/SS+故/SL+)/SS
박지우	박지우/NNP
양의	양/NNB+의/JKG
장례식을	장례식/NNG+을/JKO
거행한	거행하/VV+ㄴ/ETM
뒤	뒤/NNG
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
지	지/NNB
보름이	보름/NNG+이/JKC
된	되/VV+ㄴ/ETM
고(故)	고/NNG+(/SS+故/SL+)/SS
김주영	김주영/NNP
활동가의	활동가/NNG+의/JKG
추모식을	추모식/NNG+을/JKO
진행하는	진행하/VV+는/ETM
등	등/NNB
향후	향후/NNG
활동지원	활동지원/NNG
예산	예산/NNG
증액을	증액/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
계획하고	계획하/VV+고/EC
있다	있/VX+다/EC

기자회견	기자회견/NNG
전	전/MM
국회앞	국회앞/NNG
계단앞에서	계단앞/NNG+에서/JKB
경찰과의	경찰/NNG+과/JKB+의/JKG
