칠곡서	칠곡/NNP+서/JKB
흉기난동…여대생	흉기난동/NNG+…/SE+여대생/NNG
숨져(종합2보)	숨지/VV+어/EC+(/SS+종합/NNG+2/SN+보/NNG+)/SS

(칠곡=연합뉴스)	(/SS+칠곡/NNP+=/SW+연합뉴스/NNP+)/SS
김선형	김선형/NNP
기자	기자/NNG
=	=/SW
1일	1/SN+일/NNB
낮	낮/NNG
12시10분께	12/SN+시/NNB+10/SN+분/NNB+께/JKB
경북	경북/NNP
칠곡군	칠곡군/NNP
왜관읍	왜관읍/NNP
왜관시장	왜관시장/NNG
지하도에서	지하도/NNG+에서/JKB
윤모(34)씨가	윤/NNP+모/NP+(/SS+34/SN+)/SS+씨/NNB+가/JKS
여대생을	여대생/NNG+을/JKO
흉기로	흉기/NNG+로/JKB
찔러	찌르/VV+어/EC
숨지게	숨지/VV+게/EC
했다	하/VX+였/EP+다/EC

지적장애	지적장애/NNG
2급인	2/SN+급/NNG+이/VCP+ㄴ/ETM
윤씨는	윤/NNP+씨/NNB+는/JX
아무런	아무런/MM
관계가	관계/NNG+가/JKS
없는	없/VA+는/ETM
행인	행인/NNG
신모(21·대학3학년)	신/NNP+모/NP+(/SS+21/SN+·/SP+대학/NNG+3/SN+학년/NNG+)/SS
양에게	양/NNB+에게/JKB
미리	미리/MAG
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
흉기를	흉기/NNG+를/JKO
휘둘렀다	휘두르/VV+었/EP+다/EF

신양은	신양/NNP+은/JX
배와	배/NNG+와/JC
가슴	가슴/NNG
등	등/NNB
5군데를	5/SN+군데/NNB+를/JKO
찔려	찔리/VV+어/EC
병원으로	병원/NNG+으로/JKB
옮겨졌으나	옮기/VV+어/EC+지/VX+었/EP+으나/EC
숨졌다	숨지/VV+었/EP+다/EF

평소	평소/NNG
지하도로에는	지하도로/NNG+에/JKB+는/JX
행인들이	행인/NNG+들/XSN+이/JKS
제법	제법/MAG
다녔으나	다니/VV+었/EP+으나/EC
범행	범행/NNG
당시에는	당시/NNG+에/JKB+는/JX
윤씨와	윤/NNP+씨/NNB+와/JC
신양만	신양/NNG+만/JX
있었다	있/VA+었/EP+다/EF

범행	범행/NNG
직후	직후/NNG
윤씨는	윤/NNP+씨/NNB+는/JX
지나가던	지나가/VV+던/ETM
A(18)군에게	A/SL+(/SS+18/SN+)/SS+군/NNB+에게/JKB
"경찰에	"/SS+경찰/NNG+에/JKB
신고해달라"고	신고하/VA+여/EC+달/VX+라/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

신고자	신고자/NNG
A씨는	A/SL+씨/NNB+는/JX
"신씨의	"/SS+신/NNP+씨/NNB+의/JKG
비명소리를	비명소리/NNG+를/JKO
듣고	듣/VV+고/EC
지하차도에	지하차도/NNG+에/JKB
내려가보니	내려가/VV+아/EC+보/VX+니/EC
(윤씨가)	(/SS+윤/NNP+씨/NNB+가/JKS+)/SS
칼을	칼/NNG+을/JKO
바닥에	바닥/NNG+에/JKB
