개장	개장/NNG
앞둔	앞두/VV+ㄴ/ETM
‘롯데마트	‘/SL+롯데마트/NNP
상록점’	상록점/NNG+’/SL
장애인편의	장애인편/NNG+의/JKG
미흡	미흡/NNG

롯데마트	롯데마트/NNP
상록점이	상록점/NNG+이/JKS
오는	오/VV+는/ETM
29일	29/SN+일/NNB
개장을	개장/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다	있/VX+다/EC

상록점은	상록점/NNG+은/JX
안산시	안산시/NNP
상록구	상록구/NNP
본오동에	본오동/NNP+에/JKB
위치한	위치하/VV+ㄴ/ETM
(구)한양프라자를	(/SS+구/NNG+)/SS+한양프라자/NNP+를/JKO
리모델링한	리모델링/NNG+하/XSV+ㄴ/ETM
건물이다	건물/NNG+이/VCP+다/EC

지하3층∼지상4층,	지하/NNG+3/SN+층/NNG+∼/SO+지상/NNG+4/SN+층/NNG+,/SP
6590m²	6590/SN+m²/SL
규모다	규모/NNG+이/VCP+다/EF

지하3층∼지하2층은	지하/NNG+3/SN+층/NNG+∼/SO+지하/NNG+2/SN+층/NNG+은/JX
주차장,	주차장/NNG+,/SP
지하1층∼지상3층은	지하/NNG+1/SN+층/NNG+∼/SO+지상/NNG+3/SN+층/NNG+은/JX
롯데마트매장,	롯데마트/NNP+매장/NNG+,/SP
지상4층은	지상/NNG+4/SN+층/NNG+은/JX
수영장	수영장/NNG
및	및/MAG
헬스클럽을	헬스클럽/NNG+을/JKO
갖췄다	갖추/VV+었/EP+다/EF

남녀장애인화장실은	남녀장애인화장실/NNG+은/JX
지상1층∼지상3층에	지상/NNG+1/SN+층/NNG+∼/SO+지상/NNG+3/SN+층/NNG+에/JKB
각각	각각/MAG
비장애인화장실	비장애인화장실/NNG
입구에	입구/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

모두	모두/MAG
출입문은	출입문/NNG+은/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인의	중증장애인/NNG+의/JKG
사용이	사용/NNG+이/JKS
편하지만,	편하/VA+지만/EC+,/SP
입구	입구/NNG
벽면에	벽면/NNG+에/JKB
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
