“장애남매	“/SL+장애남매/NNG
화재	화재/NNG
중태,	중태/NNG+,/SP
정책적	정책적/NNG
방치	방치/NNG
때문”	때문/NNB+”/SL

최근	최근/NNG
파주시에서	파주시/NNP+에서/JKB
발생한	발생하/VV+ㄴ/ETM
화재로	화재/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
장애남매	장애남매/NNG
중태	중태/NNG
사건과	사건/NNG+과/JKB
관련	관련/NNG
장애아동	장애아동/NNG
부모들이	부모/NNG+들/XSN+이/JKS
정책적	정책적/NNG
방치	방치/NNG
때문이라고	때문/NNB+이/VCP+라고/EC
주장하며,	주장하/VV+며/EC+,/SP
이	이/NP
같은	같/VA+은/ETM
일이	일/NNG+이/JKS
재발하지	재발하/VV+지/EC
않도록	않/VX+도록/EC
대책	대책/NNG
마련을	마련/NNG+을/JKO
촉구하고	촉구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

전국장애인부모연대와	전/MM+국장애인부모연대/NNG+와/JC
새누리(경기도)장애인부모연대파주지부,	새누리/NNP+(/SS+경기도/NNP+)/SS+장애인부모연대파주지부/NNG+,/SP
경기장애인차별철폐연대는	경기장애인차별철폐연대/NNG+는/JX
6일	6/SN+일/NNB
오전	오전/NNG
파주시청에서	파주/NNP+시청/NNG+에서/JKB
지역	지역/NNG
장애아동	장애아동/NNG
부모	부모/NNG
등이	등/NNB+이/JKS
자리한	자리하/VV+ㄴ/ETM
가운데	가운데/NNG
‘파주시	‘/SN+파주시/NNP
장애인	장애인/NNG
가족지원	가족지원/NNG
대책마련	대책마련/NNG
촉구	촉구/NNG
기자회견’을	기자회견/NNG+’/SL+을/JKO
개최했다	개최하/VV+였/EP+다/EC

이는	이/NP+는/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
6시경	6/SN+시/NNB+경/XSN
부모가	부모/NNG+가/JKS
일하러	일하/VV+러/EC
간	가/VV+ㄴ/ETM
사이	사이/NNG
집안의	집안/NNG+의/JKG
화재로	화재/NNG+로/JKB
인해	인하/VV+여/EC
장애인	장애인/NNG
남매가	남매/NNG+가/JKS
의식	의식/NNG
불명이	불명/NNG+이/JKC
되는	되/VV+는/ETM
사고가	사고/NNG+가/JKS
파주시	파주시/NNP
금촌에서	금촌/NNP+에서/JKB
일어났기	일어나/VV+았/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

화재사고	화재사고/NNG
당시	당시/NNG
뇌병변	뇌병변/NNG
1급	1/SN+급/NNG
중복장애	중복장애/NNG
남동생(11살)과	남동생/NNG+(/SS+11/SN+살/NNB+)/SS+과/JC
누나(13살)만이	눕/VV+나/EF+(/SS+13/SN+살/NNB+)/SS+만/JX+이/JKS
집안에	집안/NNG+에/JKB
있었고,	있/VA+었/EP+고/EC+,/SP
불길을	불길/NNG+을/JKO
피하지	피하/VV+지/EC
못한	못하/VX+ㄴ/ETM
남매는	남매/NNG+는/JX
유독가스에	유독가스/NNG+에/JKB
질식해	질식하/VV+여/EC
의식불명	의식불명/NNG
상태다	상태/NNG+이/VCP+다/EC

현재	현재/MAG
남동생은	남동생/NNG+은/JX
뇌사판정을	뇌사판정/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

이들은	이/NP+들/XSN+은/JX
“장애자녀를	“/SN+장애자녀/NNG+를/JKO
두고	두/VV+고/EC
있고	있/VX+고/EC
가난에	가난/NNG+에/JKB
허덕이는	허덕이/VV+는/ETM
이	이/MM
가족을	가족/NNG+을/JKO
위해	위하/VV+여/EC
3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
파주시에	파주시/NNP+에/JKB
무한돌봄서비스	무한돌봄서비스/NNP
등의	등/NNB+의/JKG
지원	지원/NNG
대책을	대책/NNG+을/JKO
요구했으나	요구하/VV+였/EP+으나/EC
무시된	무시되/VV+ㄴ/ETM
채	채/NNB
방치돼	방치되/VV+어/EC
왔다”면서	오/VX+았/EP+다/EC+”/VV+면서/EC
“결국	“/SN+결국/NNG
집은	집/NNG+은/JX
경매로	경매/NNG+로/JKB
넘어갔고	넘어가/VV+았/EP+고/EC
아이들과	아이/NNG+들/XSN+과/JKB
함께	함께/MAG
살기	살/VV+기/ETN
위해	위하/VV+여/EC
한	한/MM
푼이라도	푼/NNB+이라도/JX
더	더/MAG
벌어야	벌/VV+어야/EC
했던	하/VX+였/EP+던/ETM
부모는	부모/NNG+는/JX
남매만을	남매/NNG+만/JX+을/JKO
놔두고	놔두/VV+고/EC
일을	일/NNG+을/JKO
다녀야	다니/VV+어야/EC
하는	하/VX+는/ETM
상황에	상황/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

특히	특히/MAG
이들은	이/NP+들/XSN+은/JX
“최근	“/SL+최근/NNG
파주시	파주시/NNP
한	한/MM
특수학교	특수학교/NNG
기숙사에서	기숙사/NNG+에서/JKB
맹장염으로	맹장염/NNG+으로/JKB
고통을	고통/NNG+을/JKO
호소하는	호소하/VV+는/ETM
발달장애인에게	발달장애인/NNG+에게/JKB
간단히	간단히/MAG
진통제를	진통제/NNG+를/JKO
주사해	주사하/VV+여/EC
숨지는	숨지/VV+는/ETM
사건도	사건/NNG+도/JX
발생했다”며	발생하/VV+였/EP+다/EC+”/VV+며/EC
“이	“/SL+이/JKS
같은	같/VA+은/ETM
사고는	사고/NNG+는/JX
예방	예방/NNG
가능했음에도	가능하/VA+었/EP+음/ETN+에/JKB+도/JX
정부와	정부/NNG+와/JC
지자체의	지자체/NNG+의/JKG
부족한	부족하/VA+ㄴ/ETM
