전국의	전국/NNG+의/JKG
중증장애인생산품	중증장애인생산품/NNG
한자리에	한자리/NNG+에/JKB

한국장애인직업재활시설협회가	한국/NNP+장애인직업재활시설협회/NNG+가/JKS
30일	30/SN+일/NNB
일산	일산/NNP
킨텍스에서	킨텍스/NNP+에서/JKB
1박2일	1/SN+박/NNB+2/SN+일/NNB
동안의	동안/NNG+의/JKG
일정으로	일정/NNG+으로/JKB
‘2012	‘/SL+2012/SN
장애인생산품	장애인생산품/NNG
박람회’를	박람회’/NNG+를/JKO
열고	열/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
박람회에는	박람회/NNG+에/JKB+는/JX
60여개	60/SN+여/XSN+개/NNB
업체가	업체/NNG+가/JKS
부스를	부스/NNG+를/JKO
차리고	차리/VV+고/EC
장애인	장애인/NNG
생산품을	생산품/NNG+을/JKO
전시·홍보하고	전시/NNG+·/SP+홍보하/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
장애인보조기기	장애인보조기기/NNG
전시,	전시/NNG+,/SP
헬스키퍼,	헬스키퍼/NNG+,/SP
무료건강검진	무료건강검진/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
부스도	부스/NNG+도/JX
운영되고	운영되/VV+고/EC
있다	있/VX+다/EC

첫날	첫날/NNG
박람회장에는	박람회/NNG+장/XSN+에/JKB+는/JX
장애인생산품에	장애인생산품/NNG+에/JKB
관심	관심/NNG
있는	있/VA+는/ETM
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
부스를	부스/NNG+를/JKO
찾아	찾/VV+아/EC
체험해보고,	체험하/VV+여/EC+보/VX+고/EC+,/SP
구매도	구매/NNG+도/JX
했다	하/VV+였/EP+다/EF

영양	영양/NNG
어묵,	어묵/NNG+,/SP
빵,	빵/NNG+,/SP
쿠키	쿠키/NNG
등을	등/NNB+을/JKO
생산하고	생산하/VV+고/EC
있는	있/VX+는/ETM
광주광역시	광주광역시/NNP
소재	소재/NNG
바오로일터(062-943-3068)	바오/NNG+로일터/JKB+(/SS+062/SN+-/SO+943/SN+-/SO+3068/SN+)/SS
부스	부스/NNG

브랜드명은	브랜드명/NNG+은/JX
‘햇가연’이다	‘/SL+햇가연’/NNG+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
현미비누,	현미비누/NNP+,/SP
세탁비누,	세탁비누/NNG+,/SP
대나무	대나무/NNG
숯	숯/NNG
비누	비누/NNG
등	등/NNB
각종	각종/NNG
비누를	비누/NNG+를/JKO
생산·판매하고	생산/NNG+·/SP+판매하/VV+고/EC
있는	있/VX+는/ETM
김포시	김포시/NNP
행복누리장애인작업장(031-984-7283)	행복누리장애인작업장/NNG+(/SS+031/SN+-/SO+984/SN+-/SO+7283/SN+)/SS
부스	부스/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인들이	장애인/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
화환,	화환/NNG+,/SP
화분	화분/NNG
등으로	등/NNB+으로/JKB
전국	전국/NNG
꽃	꽃/NNG
배달	배달/NNG
사업을	사업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
천안시	천안시/NNP
장애인보호작업장(041-621-6161)	장애인보호작업장/NNG+(/SS+041/SN+-/SO+621/SN+-/SO+6161/SN+)/SS
부스	부스/NNG

