'도가니'	'/SS+도가니/NNG+'/SS
항소심	항소심/NNG
공판…목격자·신의진	공판/NNG+…/SE+목격자/NNG+·/SP+신의진/NNP
의원	의원/NNG
증언	증언/NNG

새누리당	새누리당/NNP
신의진	신의진/NNP
의원(자료사진)(광주=연합뉴스)	의원/NNG+(/SS+자료사진/NNG+)(/SS+광주/NNP+=/SW+연합뉴스/NNP+)/SS
손상원	손상원/NNP
기자	기자/NNG
=	=/SW
대책위의	대책위/NNG+의/JKG
재판부	재판부/NNG
변경	변경/NNG
요구로	요구/NNG+로/JKB
논란이	논란/NNG+이/JKS
일었던	일/VV+었/EP+던/ETM
인화학교	인화학교/NNG
성폭행	성폭행/NNG
사건	사건/NNG
재판이	재판/NNG+이/JKS
속행됐다	속행되/VV+었/EP+다/EF

광주고법	광주/NNP+고법/NNG
형사	형사/NNG
1부(이창한	1/SN+부/NNB+(/SS+이창하/VA+ㄴ/ETM
부장판사)는	부장판사/NNG+)/SS+는/JX
13일	13/SN+일/NNB
오후	오후/NNG
강간치상	강간치상/NNG
혐의로	혐의/NNG+로/JKB
1심에서	1/SN+심/NNG+에서/JKB
징역	징역/NNG
12년을	12/SN+년/NNB+을/JKO
선고받은	선고/NNG+받/VV+은/ETM
인화학교	인화학교/NNG
전	전/MM
행정실장	행정실/NNG+장/XSN
김모씨에	김/NNP+모/NP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
항소심	항소심/NNG
속행	속행/NNG
공판을	공판/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

이날	이날/NNG
공판은	공판/NNG+은/JX
피해자	피해자/NNG
측이	측/NNB+이/JKS
"장애인의	"/SS+장애인/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려하지	고려하/VV+지/EC
않고	않/VX+고/EC
무죄를	무죄/NNG+를/JKO
예단한	예단하/VV+ㄴ/ETM
재판	재판/NNG
진행을	진행/NNG+을/JKO
한다"며	하/VV+ㄴ다/EF+"/SS+며/EC
재판부	재판부/NNG
기피신청을	기피신청/NNG+을/JKO
했다가	하/VV+였/EP+다가/EC
각하된	각하되/VV+ㄴ/ETM
뒤	뒤/NNG
처음	처음/NNG
열린	열리/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

재판부는	재판부/NNG+는/JX
피해자를	피해자/NNG+를/JKO
진료한	진료/NNG+하/XSV+ㄴ/ETM
새누리당	새누리당/NNP
신의진	신의진/NNP
의원과	의원/NNG+과/JC
청각장애인인	청각장애인인/NNG
목격자를	목격자/NNG+를/JKO
