휠체어장애인	휠체어장애인/NNG
남산케이블카	남산케이블카/NNP
이용	이용/NNG
가능	가능/NNG

전동휠체어	전동휠체어/NNG
장애인이	장애인/NNG+이/JKS
혼자의	혼자/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
남산케이블카에	남산케이블카/NNP+에/JKB
탑승했다	탑승하/VV+였/EP+다/EC

남산케이블카가	남산케이블카/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
1962년	1962/SN+년/NNB
개통한	개통하/VV+ㄴ/ETM
이래	이래/NNB
50년	50/SN+년/NNB
만에	만/NNB+에/JKB
처음	처음/NNG
있는	있/VA+는/ETM
일이다	일/NNG+이/VCP+다/EC

한국삭도공업주식회사는	한국삭도공업주식회사/NNP+는/JX
4층의	4/SN+층/NNG+의/JKG
남산케이블카	남산케이블카/NNP
건물의	건물/NNG+의/JKG
엘리베이터	엘리베이터/NNG
설치	설치/NNG
공사를	공사/NNG+를/JKO
완료,	완료/NNG+,/SP
지난달	지난달/NNG
31일	31/SN+일/NNB
휠체어장애인이	휠체어장애인/NNG+이/JKS
참여한	참여하/VV+ㄴ/ETM
가운데	가운데/NNG
최종	최종/NNG
점검을	점검/NNG+을/JKO
실시했다	실시하/VV+였/EP+다/EC

이날	이날/NNG
휠체어장애인은	휠체어장애인/NNG+은/JX
남산케이블카	남산케이블카/NNP
건물	건물/NNG
1·3층에	1/SN+·/SP+3/SN+층/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
장애인화장실,	장애인화장실/NNG+,/SP
남산케이블카를	남산케이블카/NNP+를/JKO
직접	직접/MAG
이용해	이용하/VV+여/EC
봤다	보/VX+았/EP+다/EF

먼저	먼저/MAG
남녀로	남녀/NNG+로/JKB
구분된	구분되/VV+ㄴ/ETM
장애인화장실의	장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
이용이	이용/NNG+이/JKS
편리했던	편리하/VA+었/EP+던/ETM
반면	반면/NNG
내부는	내부/NNG+는/JX
개선해야할	개선하/VV+여야/EC+하/VX+ㄹ/ETM
점이	점/NNG+이/JKS
많았다	많/VA+았/EP+다/EC

세면대	세면대/NNG
손잡이	손잡이/NNG
고정식으로	고정식/NNG+으로/JKB
설치되는	설치되/VV+는/ETM
등의	등/NNB+의/JKG
이유	이유/NNG
때문에	때문/NNB+에/JKB
휠체어장애인의	휠체어장애인/NNG+의/JKG
용변기	용변/NNG+기/XSN
접근이	접근/NNG+이/JKS
힘들다	힘들/VA+다/EC

아직	아직/MAG
휴지걸이,	휴지걸이/NNG+,/SP
비상호출버튼,	비/XPN+상호출버튼/NNG+,/SP
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이도	등받이/NNG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

특히	특히/MAG
건물	건물/NNG
내부에	내부/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
스테인리스	스테인리스/NNG
점자블록도	점자/VV+블록/EC+도/JX
문제였다	문제/NNG+이/VCP+었/EP+다/EF

이	이/MM
제품은	제품/NNG+은/JX
엘리베이터	엘리베이터/NNG
앞,	앞/NNG+,/SP
장애인화장실	장애인화장실/NNG
입구에	입구/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

제품을	제품/NNG+을/JKO
매립형	매립형/NNG
점자블록으로	점자블/NNG+록/XSN+으로/JKB
바꿔야한다	바꾸/VV+어야/EC+하/VX+ㄴ다/EF

더욱이	더욱이/MAG
장애인화장실	장애인화장실/NNG
입구의	입구/NNG+의/JKG
경우,	경우/NNG+,/SP
시각장애인은	시각장애인/NNG+은/JX
비장애인화장실을	비장애인화장실/NNG+을/JKO
이용하기	이용하/VV+기/ETN
때문에	때문/NNB+에/JKB
점자블록이	점자블록이/MAG
