“농아인	“/SL+농아/NNG+인/XSN
생존권	생존권/NNG
요구에	요구/NNG+에/JKB
정부는	정부/NNG+는/JX
무관심”	무관심”/NNG

농아인들이	농아/NNG+인들/XSN+이/JKS
생존권	생존권/NNG
및	및/MAG
권리보장	권리보장/NNG
요구에	요구/NNG+에/JKB
무관심으로	무관심/NNG+으로/JKB
일관하는	일관하/VV+는/ETM
정부의	정부/NNG+의/JKG
행태를	행태/NNG+를/JKO
비판하며,	비판하/VV+며/EC+,/SP
앞으로	앞/NNG+으로/JKB
더욱	더욱/MAG
강도	강도/NNG
높은	높/VA+은/ETM
투쟁의	투쟁/NNG+의/JKG
의지를	의지/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

한국농아인협회(회장	한국농아인협회/NNP+(/SS+회장/NNG
변승일,	변승일/NNP+,/SP
이하	이하/NNG
농아인협회)는	농아인협회/NNP+)/SS+는/JX
12일	12/SN+일/NNB
서울	서울/NNP
광화문	광화문/NNP
세종대왕	세종/NNP+대왕/NNG
동상	동상/NNG
앞에서	앞/NNG+에서/JKB
‘전국	‘/SN+전국/NNG
릴레이	릴레이/NNG
1인	1/SN+인/NNG
시위	시위/NNG
종료’	종료’/NNG
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
정부의	정부/NNG+의/JKG
관심과	관심/NNG+과/JKB
함께	함께/MAG
요구	요구/NNG
수용을	수용/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

농아인협회	농아인협회/NNG
소속	소속/NNG
회원들은	회원/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
1일	1/SN+일/NNB
언어선택권,	언어선택권/NNG+,/SP
학습권,	학습권/NNG+,/SP
방송접근·정보취득권,	방송접근/NNG+·/SP+정보취득권/NNG+,/SP
노동권,	노동권/NNG+,/SP
참정권,	참정권/NNG+,/SP
문화	문화/NNG
향유권	향유/NNG+권/XSN
등	등/NNB
6가지	6/SN+가지/NNB
요구	요구/NNG
사항을	사항/NNG+을/JKO
밝힘과	밝히/VV+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
서울	서울/NNP
광화문	광화문/NNP
등	등/NNB
전국에서	전국/NNG+에서/JKB
릴레이	릴레이/NNG
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
진행해	진행하/VV+여/EC
왔다	오/VX+았/EP+다/EF

100일	100/SN+일/NNB
동안	동안/NNG
진행된	진행되/VV+ㄴ/ETM
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
통해	통하/VV+여/EC
국민들에게	국민/NNG+들/XSN+에게/JKB
농아인들의	농아인/NNG+들/XSN+의/JKG
현실을	현실/NNG+을/JKO
알리기는	알리/VV+기/ETN+는/JX
했지만	하/VX+였/EP+지만/EC
여전히	여전히/MAG
정부는	정부/NNG+는/JX
무관심하고,	무관심하/VA+고/EC+,/SP
수화를	수화/NNG+를/JKO
언어로	언어/NNG+로/JKB
인정하려는	인정하/VV+려는/ETM
기미조차	기미/NNG+조차/JX
보이지	보이/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
현실이다	현실/NNG+이/VCP+다/EC

농아인협회는	농아인협회/NNG+는/JX
“수화를	“/SN+수화/NNG+를/JKO
사용하는	사용하/VV+는/ETM
농아인은	농아/NNG+인/XSN+은/JX
음성언어	음성언어/NNG
중심의	중심/NNG+의/JKG
사회에서	사회/NNG+에서/JKB
의사소통	의사소통/NNG
장애,	장애/NNG+,/SP
정보취득	정보취득/NNG
제약으로	제약/NNG+으로/JKB
가정	가정/NNG
등	등/NNB
사회생활	사회생활/NNG
전	전/MM
영역에서	영역/NNG+에서/JKB
소외되고	소외되/VV+고/EC
차별받고	차별/NNG+받/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“인간다운	“/SN+인간/NNG+답/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
보장받을	보장/NNG+받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
끝까지	끝/NNG+까지/JX
투쟁해	투쟁하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
애바다학교	애바다학교/NNP
권오일	권오일/NNP
교장은	교장/NNG+은/JX
농학교	농학교/NNG
교육에	교육/NNG+에/JKB
대해	대하/VV+여/EC
“농학생들의	“/SL+농학생/NNG+들/XSN+의/JKG
요구가	요구/NNG+가/JKS
들어가지	들어가/VV+지/EC
않은	않/VX+은/ETM
순전히	순전히/MAG
교사들의	교사/NNG+들/XSN+의/JKG
지식으로	지식/NNG+으로/JKB
이끌고	이끌/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“농학생	“/SL+농학생/NNG
중심의	중심/NNG+의/JKG
농교육이	농교육/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
기원	기원/NNG
한다”고	하/VV+ㄴ다”고/EC
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

변승일	변승일/NNP
회장은	회장/NNG+은/JX
“이번	“/SN+이번/NNG
100일간의	100/SN+일/NNB+간/XSN+의/JKG
전국	전국/NNG
릴레이	릴레이/NNG
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
통해	통하/VV+여/EC
시민들에게	시민/NNG+들/XSN+에게/JKB
농아인의	농아인/NNG+의/JKG
현실을	현실/NNG+을/JKO
알리고,	알리/VV+고/EC+,/SP
서명운동까지	서명운동/NNG+까지/JX
진행했지만	진행하/VV+었/EP+지만/EC
여전히	여전히/MAG
정부는	정부/NNG+는/JX
움직이지	움직이/VV+지/EC
않고	않/VX+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“정부를	“/SL+정부/NNG+를/JKO
향해	향하/VV+여/EC
대규모	대규모/NNG
집회를	집회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
농아인협회는	농아인협회/NNP+는/JX
대규모	대규모/NNG
집회뿐만	집회/NNG+뿐만/JX
아니라	아니/VCN+라/EC
전국	전국/NNG
릴레이	릴레이/NNG
1인	1/SN+인/NNG
시위와	시위/NNG+와/JKB
함께	함께/MAG
진행해	진행하/VV+여/EC
오던	오/VX+던/ETM
‘한국수화언어법	‘/SL+한국/NNP+수화언어법/NNG
제정’을	제정’/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
생존권	생존권/NNG
확보	확보/NNG
서명운동을	서명운동/NNG+을/JKO
계속해	계속하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

기자회견문을	기자회견문/NNG+을/JKO
수화로	수화/NNG+로/JKB
낭독하는	낭독하/VV+는/ETM
한국농아청년회	한국농아청년회/NNP
정유연	정유연/NNP
회장	회장/NNG
