장애인	장애인/NNG
비하용어에	비하용어/NNG+에/JKB
‘뿔난’	‘/SN+뿔난’/NNG
농아인들	농아인/NNG+들/XSN

장애인차별금지법의	장애인차별금지법/NNG+의/JKG
시행으로	시행/NNG+으로/JKB
장애인을	장애인/NNG+을/JKO
비하,	비하/NNG+,/SP
차별하는	차별하/VV+는/ETM
용어가	용어/NNG+가/JKS
금지됐지만,	금지되/VV+었/EP+지만/EC+,/SP
언론이	언론/NNG+이/JKS
여전히	여전히/MAG
‘벙어리’	‘/SL+벙어리’/NNG
등	등/NNB
비하	비하/NNG
용어	용어/NNG
사용이	사용/NNG+이/JKS
빈번하자,	빈번하/VA+자/EC+,/SP
장애인단체가	장애인단체/NNG+가/JKS
반발하고	반발하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

장애인정보문화누리는	장애인정보문화누리/NNG+는/JX
장애인을	장애인/NNG+을/JKO
비하하고	비하하/VV+고/EC
차별적인	차별적/NNG+이/VCP+ㄴ/ETM
용어를	용어/NNG+를/JKO
기사에	기사/NNG+에/JKB
사용한	사용하/VV+ㄴ/ETM
것은	것/NNB+은/JX
물론,	물론/MAG+,/SP
이로	이/NP+로/JKB
인해	인하/VV+여/EC
수화언어의	수화언어/NNG+의/JKG
가치를	가치/NNG+를/JKO
깎아내린	깎/VV+아/EC+내리/VV+ㄴ/ETM
언론을	언론/NNG+을/JKO
장애인을	장애인/NNG+을/JKO
차별한	차별하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
간주해	간주하/VV+여/EC
국가인권위원회에	국가인권위원회/NNG+에/JKB
오는	오/VV+는/ETM
29일	29/SN+일/NNB
차별	차별/NNG
진정할	진정하/VV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

장애인정보문화누리가	장애인정보문화누리/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
8월부터	8/SN+월/NNB+부터/JX
최근까지	최근/NNG+까지/JX
모니터링	모니터링/NNG
한	한/MM
결과,	결과/NNG+,/SP
<새누리	</SS+새누리/NNG
"안철수,	"/SS+안철수/NNP+,/SP
NLL	NLL/SL
문제	문제/NNG
벙어리	벙어리/NNG
역할	역할/NNG
고생"(노컷뉴스)>,	고생/NNG+"(/SS+노컷뉴스/NNP+)>/SS+,/SP
<새누리	</SS+새누리/NNG
지도부,	지도부/NNG+,/SP
박근혜	박근혜/NNP
기자회견에	기자회견/NNG+에/JKB
꿀먹은	꿀/NNG+먹/VV+은/ETM
벙어리(뷰스앤뉴스)>,	벙어리/NNG+(/SS+뷰스앤뉴스/NNP+)>/SS+,/SP
<민주통합,	</SS+민주/NNP+통합/NNG+,/SP
안철수	안철수/NNP
관련	관련/NNG
논란엔	논란/NNG+에/JKB+ㄴ/JX
'꿀	'/SS+꿀/NNG
먹은	먹/VV+은/ETM
벙어리'(중앙뉴스)>	벙어리/NNG+'(/SS+중앙뉴스/NNP+)>/SS
등	등/NNB
정치관련	정치관련/NNG
뉴스는	뉴스/NNG+는/JX
물론	물론/MAG
<장쯔이	</SS+장쯔/NNP+이/JKS
"이창동	"/SS+이창동/NNP
감독의	감독/NNG+의/JKG
작품에서	작품/NNG+에서/JKB
벙어리	벙어리/NNG
역	역/NNG
맡고	맡/VV+고/EC
싶어"(뉴스앤,	싶/VX+어/EF+"(/SS+뉴스앤/NNP+,/SP
TV리포터)>	TV/SL+리포터/NNG+)>/SS
등	등/NNB
연예계	연예계/NNG
기사에까지	기사/NNG+에/JKB+까지/JX
장애인을	장애인/NNG+을/JKO
비하,	비하/NNG+,/SP
