'말뿐인	'/SS+말/NNG+뿐/JX+이/VCP+ㄴ/ETM
쇄신?'	쇄신/NNG+?/SF+'/SS
인권위	인권위/NNG
특혜인사·설문왜곡	특혜인사/NNG+·/SP+설문왜곡/NNG
논란	논란/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
조민정	조민정/NNP
기자	기자/NNG
=	=/SW
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
논란	논란/NNG
끝에	끝/NNG+에/JKB
연임한	연임하/VV+ㄴ/ETM
현병철	현병철/NNP
국가인권위원장이	국가인권위원장/NNG+이/JKS
무원칙한	무원칙하/VA+ㄴ/ETM
인사로	인사/NNG+로/JKB
측근	측근/NNG
챙기기에	챙기/VV+기/ETN+에/JKB
나섰다는	나서/VV+었/EP+다는/ETM
비판이	비판/NNG+이/JKS
제기돼	제기되/VV+어/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다	있/VX+다/EC

2일	2/SN+일/NNB
인권위에	인권위/NNG+에/JKB
따르면	따르/VV+면/EC
현	현/MM
위원장은	위원장/NNG+은/JX
최근	최근/NNG
운영지원과장으로	운영지원과장/NNG+으로/JKB
근무하던	근무하/VV+던/ETM
정모씨와	정/NNP+모/NP+씨/NNB+와/JC
장애차별조사1과장	장애차별조사/NNP+1/SN+과장/NNG
조모씨의	조/NNP+모/NP+씨/NNB+의/JKG
직책을	직책/NNG+을/JKO
맞바꾸는	맞바꾸/VV+는/ETM
인사를	인사/NNG+를/JKO
단행했다	단행하/VV+였/EP+다/EF

장애차별조사과장직은	장애차별조사과장직/NNG+은/JX
장애단체와의	장애단체/NNG+와/JKB+의/JKG
지속적	지속적/NNG
교류	교류/NNG
협력이	협력/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
물론	물론/MAG
각종	각종/NNG
정책에	정책/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
데다	데/NNB+다/JX
진정사건이	진정사건/NNG+이/JKS
급증하고	급증하/VV+고/EC
있어	있/VX+어/EC
지난해	지난해/NNG
'전문직위'로	'/SS+전문직위/NNG+'/SS+로/JKB
지정됐다	지정되/VV+었/EP+다/EF

인권위	인권위/NNG
내부	내부/NNG
규정상	규정/NNG+상/XSN
장애차별조사1과장	장애차별조사/NNG+1/SN+과장/NNG
직위는	직위/NNG+는/JX
인권위	인권위/NNG
과장급	과장급/NNG
직위를	직위/NNG+를/JKO
갖고	갖/VV+고/EC
장애인	장애인/NNG
인권보호	인권보호/NNG
업무를	업무/NNG+를/JKO
4년	4/SN+년/NNB
이상	이상/NNG
수행한	수행하/VV+ㄴ/ETM
경력이	경력/NNG+이/JKS
있어야	있/VA+어야/EC
갈	가/VV+ㄹ/ETM
