의족철인	의족철/NNG+이/VCP+ㄴ/ETM
올림픽	올림픽/NNG
우승	우승/NNG
돕는	돕/VV+는/ETM
경주마	경주마/NNP
‘당대불패’	‘/SN+당대불패/NNG+’/SN

경주마가	경주마/NNP+가/JKS
기부를	기부/NNG+를/JKO
통해	통하/VV+여/EC
의족철인의	의족철인/NNG+의/JKG
장애인올림픽	장애인올림픽/NNG
우승	우승/NNG
‘꿈’을	‘/SN+꿈/NNG+’/SL+을/JKO
도와	돕/VV+아/EC
화제다	화제/NNG+이/VCP+다/EF

주인공은	주인공/NNG+은/JX
한국마사회	한국/NNP+마사회/NNG
부산경남경마공원	부산경남/NNP+경마공원/NNG
소속의	소속/NNG+의/JKG
경주마	경주마/NNG
'당대불패(5세)'로	'/SS+당대불패/NNG+(/SS+5/SN+세/NNB+)'/SS+로/JKB
지난달	지난달/NNG
11일	11/SN+일/NNB
서울경마공원에서	서울경마공원/NNP+에서/JKB
펼쳐진	펼쳐지/VV+ㄴ/ETM
'제9회	'/SS+제/XPN+9/SN+회/NNB
대통령배	대통령배/NNG
대상경주'의	대상경주/NNG+'/SS+의/JKG
우승상금	우승상금/NNG
중	중/NNB
1억원을	1/SN+억/NR+원/NNB+을/JKO
서울사회복지공동모금회에	서울/NNP+사회복지공동모금회/NNG+에/JKB
기부했고,	기부하/VV+였/EP+고/EC+,/SP
이	이/MM
기부금	기부금/NNG
중	중/NNB
일부가	일부/NNG+가/JKS
사회복지법인	사회복지법인/NNG
에이블복지재단(이사장	에이블복지재단/NNP+(/SS+이사장/NNG
선동윤)의	선동윤/NNG+)/SS+의/JKG
‘스포츠형	‘/SL+스포츠형/NNG
및	및/MAG
활동형	활동형/NNG
의족지원’	의족지원/NNG+’/SL
사업에	사업/NNG+에/JKB
지원된	지원/NNG+되/XSV+ㄴ/ETM
것	것/NNB

부산경남경마공원에서	부산경남/NNP+경마공원/NNG+에서/JKB
현역	현역/NNG
경주마로	경주마/NNP+로/JKB
활약	활약/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
‘당대불패’는	‘/SN+당/XSN+대불패/NNG+’/SL+는/JX
2009년에	2009/SN+년/NNB+에/JKB
데뷔한	데뷔하/VV+ㄴ/ETM
