방통위,	방통위/NNG+,/SP
골든타임	골든타임/NNG
‘병신’	‘/SN+병신/NNG+’/SN
단어	단어/NNG
사용	사용/NNG
‘권고조치’	‘/SN+권고조치/NNG+’/SN

방송통신위원회가	방송통신위원회/NNG+가/JKS
최근	최근/NNG
종영된	종영되/VV+ㄴ/ETM
MBC	MBC/SL
드라마	드라마/NNG
‘골든타임’에서	‘/SN+골든타임/NNP+’/SL+에서/JKB
사용	사용/NNG
된	되/VV+ㄴ/ETM
‘병신’이라는	‘/SL+병신’/NNG+이/VCP+라는/ETM
단어는	단어/NNG+는/JX
장애인의	장애인/NNG+의/JKG
비하용어로	비하용어/NNG+로/JKB
느끼는	느끼/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
제작자들의	제작자/NNG+들/XSN+의/JKG
주의가	주의/NNG+가/JKS
필요하다며	필요하/VA+다며/EC
방송심의	방송심의/NNG
‘권고’	‘/SL+권고’/NNG
조치를	조치/NNG+를/JKO
내렸다	내리/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
23일	23/SN+일/NNB
‘골든타임’	‘/SN+골/NNB+든타임’/NNG
5회	5/SN+회/NNB
방송분을	방송분/NNG+을/JKO
보던	보/VV+던/ETM
이모씨는	이/NNP+모/NP+씨/NNB+는/JX
경악을	경악/NNG+을/JKO
금치	금하/VV+지/EC
못했다	못하/VX+였/EP+다/EC

이날	이날/NNG
방송분에서	방송/NNG+분/XSN+에서/JKB
이선균(이민우	이선균/NNP+(/SS+이민우/NNP
역)이	역/NNG+)/SS+이/JKS
자신의	자신/NNG+의/JKG
실수로	실수/NNG+로/JKB
인해	인하/VV+여/EC
존경하던	존경하/VV+던/ETM
선배	선배/NNG
의사가	의사/NNG+가/JKS
병원을	병원/NNG+을/JKO
떠나고,	떠나/VV+고/EC+,/SP
치명적인	치명적/NNG+이/VCP+ㄴ/ETM
내상을	내상/NNG+을/JKO
입은	입/VV+은/ETM
환자가	환자/NNG+가/JKS
위험한	위험하/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
놓이자	놓이/VV+자/EC
스스로를	스스로/NNG+를/JKO
자책하면	자책하/VV+면/EC
“왜	“/SN+왜/MAG
이렇게	이렇/VA+게/EC
병신	병신/NNG
같을까”라고	같/VA+을까/EC+”/SN+이/VCP+라고/EC
말했기	말하/VV+였/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

장애인	장애인/NNG
비하	비하/NNG
용어로	용어/NNG+로/JKB
널리	널리/MAG
알려진	알려지/VV+ㄴ/ETM
‘병신’	‘/SL+병신’/NNG
이라는	이/VCP+라는/ETM
단어가	단어/NNG+가/JKS
공중파에서	공중파/NNG+에서/JKB
나오자	나오/VV+자/EC
8월	8/SN+월/NNB
초	초/NNB
방송통신위원회에	방송통신위원회/NNG+에/JKB
민원을	민원/NNG+을/JKO
넣었다	넣/VV+었/EP+다/EC

그러나	그러나/MAJ
방통위는	방통위/NNG+는/JX
답변	답변/NNG
회신을	회신/NNG+을/JKO
통해	통하/VV+여/EC
"이민우가	"/SS+이민우/NNP+가/JKS
자책하며	자책하/VV+며/EC
발언한	발언하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
극의	극/NNG+의/JKG
맥락과	맥락/NNG+과/JC
1회성	1/SN+회/NNB+성/XSN
노출임을	노출/NNG+이/VCP+ㅁ/ETN+을/JKO
고려할	고려하/VV+ㄹ/ETM
때	때/NNG
심의규정	심의규정/NNG
위반으로	위반/NNG+으로/JKB
제재하기는	제재하/VV+기/ETN+는/JX
어렵다,	어렵/VA+다/EC+,/SP
등장인물이	등장인물/NNG+이/JKS
스스로의	스스로/NNG+의/JKG
행동을	행동/NNG+을/JKO
책망하며,	책망하/VV+며/EC+,/SP
‘모자라는	‘/SL+모자/NNG+이/VCP+라는/ETM
행동을	행동/NNG+을/JKO
하는	하/VV+는/ETM
자신을	자신/NNG+을/JKO
낮잡아	낮잡/VV+아/EC
이르는	이르/VV+는/ETM
표현’으로	표현/NNG+’/SL+으로/JKB
병신이라는	병신/NNG+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
사용한바,	사용하/VV+ㄴ/ETM+바/NNB+,/SP
문제	문제/NNG
삼기	삼/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
답변했다	답변하/VV+였/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
장애차별금주치진연대는	장애차별금주치진연대/NNP+는/JX
내부논의를	내부논의/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
다시	다시/MAG
방통위에	방통위/NNG+에/JKB
문제를	문제/NNG+를/JKO
제기했다	제기하/VV+였/EP+다/EC

대사	대사/NNG
맥락상	맥락/NNG+상/XSN
장애인을	장애인/NNG+을/JKO
비하하는	비하하/VV+는/ETM
의미로	의미/NNG+로/JKB
사용하지	사용하/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
불특정	불특정/NNG
다수에게	다수/NNG+에게/JKB
부정적	부정적/NNG
영향을	영향/NNG+을/JKO
조장할	조장하/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
여러	여러/MM
방송에서	방송/NNG+에서/JKB
1회에	1/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
‘병신’이라는	‘/VV+병신’/NNG+이/VCP+라는/ETM
단어가	단어/NNG+가/JKS
지속적으로	지속적/NNG+으로/JKB
사용된다면	사용되/VV+ㄴ다면/EC
장애인은	장애인/NNG+은/JX
열등한	열등하/VA+ㄴ/ETM
인간이라는	인간/NNG+이/VCP+라는/ETM
편견,	편견/NNG+,/SP
그릇된	그릇되/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
갖게	갖/VV+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것	것/NNB

'병신'	'/SS+병신/NNG+'/SS
이라는	이/VCP+라는/ETM
단어의	단어/NNG+의/JKG
사전적	사전/NNG+적/XSN
의미는	의미/NNG+는/JX
'신체의	'/SS+신체/NNG+의/JKG
어느	어느/MM
부분이	부분/NNG+이/JKS
제	저/NP+의/JKG
기능을	기능/NNG+을/JKO
하지	하/VV+지/EC
못하거나	못하/VX+거나/EC
보통과는	보통/NNG+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
형체를	형체/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
사람,	사람/NNG+,/SP
또는	또는/MAG
정신적으로	정신적/NNG+으로/JKB
장애가	장애/NNG+가/JKS
있어	있/VA+어/EC
온전하지	온전하/VA+지/EC
못한	못하/VX+ㄴ/ETM
사람	사람/NNG

흔히	흔히/MAG
그러한	그러하/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
경멸조로	경멸/NNG+조/NNB+로/JKB
이를	이르/VV+ㄹ/ETM
때	때/NNG
쓰는	쓰/VV+는/ETM
말'로	말/NNG+'/SS+로/JKB
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
사람을	사람/NNG+을/JKO
비하할	비하하/VV+ㄹ/ETM
때	때/NNG
쓰는	쓰/VV+는/ETM
단어로	단어/NNG+로/JKB
알려져	알려지/VV+어/EC
있다	있/VX+다/EF

장추련은	장추련/NNP+은/JX
방통위에	방통위/NNG+에/JKB
MBC의	MBC/SL+의/JKG
사과와	사과/NNG+와/JC
이후	이후/NNG
재발방지	재발방지/NNG
약속,	약속/NNG+,/SP
방송통신심의위원회의	방송통신심의위원회/NNG+의/JKG
장애인	장애인/NNG
비하발언에	비하발언/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심의규정을	심의규정/NNG+을/JKO
강화할	강화하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

방통위는	방통위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
답변	답변/NNG
회신을	회신/NNG+을/JKO
통해	통하/VV+여/EC
“장애인의	“/SN+장애인/NNG+의/JKG
경우,	경우/NNG+,/SP
'병신'이라는	'/SS+병신/NNG+'/SS+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
'비하의	'/SS+비하/NNG+의/JKG
의미'로	의미/NNG+'/SS+로/JKB
느끼는	느끼/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
주의가	주의/NNG+가/JKS
필요함에도	필요하/VA+ㅁ에도/EC
방송프로그램	방송프로그램/NNG
제작자	제작자/NNG
중	중/NNB
모르는	모르/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
주의	주의/NNG
환기	환기/NNG
차원에서	차원/NNG+에서/JKB
‘권고’	‘/SN+권고’/NNG
조치	조치/NNG
하고,	하/VV+고/EC+,/SP
방송사	방송사/NNG
심의책임자	심의책임자/NNG
대상	대상/NNG
회의	회의/NNG
시	시/NNG
‘장애인	‘장애인/NNG
관련	관련/NNG
용어	용어/NNG
사용’에	사용’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
전달했다”고	전달하/VV+였/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
