활동지원예산	활동지원예산/NNG
1500억원	1500/SN+억/NR+원/NNB
증액	증액/NNG
물거품	물거품/NNG
되나	되/VV+나/EF

국회	국회/NNG
보건복지위원회가	보건복지위원회/NNG+가/JKS
장애인활동지원예산	장애인활동지원예산/NNG
대폭	대폭/MAG
증액을	증액/NNG+을/JKO
결정했지만,	결정하/VV+였/EP+지만/EC+,/SP
주무부처인	주무부처/NNG+이/VCP+ㄴ/ETM
보건복지부의	보건복지부/NNG+의/JKG
반대로	반대/NNG+로/JKB
물거품	물거품/NNG
될	되/VV+ㄹ/ETM
우려를	우려/NNG+를/JKO
낳고	낳/VV+고/EC
있다	있/VX+다/EC

더욱이	더욱이/MAG
임채민	임채민/NNG
복지부장관이	복지부장관/NNG+이/JKS
장애인단체	장애인단체/NNG
대표와	대표/NNG+와/JC
가진	가지/VV+ㄴ/ETM
면담에서	면담/NNG+에서/JKB
변화된	변화되/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
보이지	보이/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
확인됨에	확인되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
현실화	현실화/NNG
가능성을	가능성/NNG+을/JKO
더욱	더욱/MAG
키우고	키우/VV+고/EC
있다	있/VX+다/EC

전국장애인차별철폐연대는	전/MM+국장애인차별철폐연대/NNG+는/JX
21일	21/SN+일/NNB
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
긴급	긴급/NNG
기자회견을	기자회견/NNG+을/JKO
열어	열/VV+어/EC
장애인활동지원제도	장애인활동지원제도/NNG
예산	예산/NNG
증액을	증액/NNG+을/JKO
반대하는	반대하/VV+는/ETM
복지부를	복지부/NNG+를/JKO
향해	향하/VV+여/EC
규탄하며,	규탄하/VV+며/EC+,/SP
다시한번	다시/MAG+한/MM+번/NNB
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
보장의	보장/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

전장연은	전장연/NNP+은/JX
최근	최근/NNG
잇따른	잇따르/VV+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
목숨을	목숨/NNG+을/JKO
잃는	잃/VV+는/ETM
참사에	참사/NNG+에/JKB
대해	대하/VV+여/EC
복지부의	복지부/NNG+의/JKG
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
사과와	사과/NNG+와/JKB
함께	함께/MAG
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
제공	제공/NNG
등을	등/NNB+을/JKO
요구하며,	요구하/VV+며/EC+,/SP
이를	이/NP+를/JKO
위해	위하/VV+여/EC
국회에	국회/NNG+에/JKB
제출된	제출되/VV+ㄴ/ETM
내년	내년/NNG
장애인활동지원	장애인활동지원/NNG
예산	예산/NNG
3214억원에	3214/SN+억/NR+원/NNB+에/JKB
1000억원을	1000/SN+억/NR+원/NNB+을/JKO
추가로	추가/NNG+로/JKB
증액할	증액하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구해	촉구하/VV+여/EC
왔다	오/VX+았/EP+다/EF

국회	국회/NNG
보건복지위원회도	보건복지위원회/NNG+도/JX
시급성을	시급성/NNG+을/JKO
인정,	인정/NNG+,/SP
요구에	요구/NNG+에/JKB
호응했다	호응하/VV+였/EP+다/EF

지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
열린	열리/VV+ㄴ/ETM
예산결산심사소위원회에서	예산결산심사소위원회/NNG+에서/JKB
만장일치로	만장일치/NNG+로/JKB
최중증	최/XPN+중증/NNG
독거장애인에	독거장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
활동보조	활동보조/NNG
서비스	서비스/NNG
지원에	지원/NNG+에/JKB
소요되는	소요되/VV+는/ETM
약	약/MM
800억원을	800/SN+억/NR+원/NNB+을/JKO
포함,	포함/NNG+,/SP
올해	올해/NNG
예산(3099억원)	예산/NNG+(/SS+3099/SN+억/NR+원/NNB+)/SS
대비	대비/NNG
50%인	50/SN+%/SW+이/VCP+ㄴ/ETM
약	약/MM
1500억원	1500/SN+억/NR+원/NNB
증액을	증액/NNG+을/JKO
결정했다	결정하/VV+였/EP+다/EC

너무나	너무나/MAG
환영할	환영하/VV+ㄹ/ETM
일이지만	일/NNG+이/VCP+지만/EC
큰	크/VA+ㄴ/ETM
난항에	난항/NNG+에/JKB
빠졌다	빠지/VV+었/EP+다/EC

바로	바로/MAG
복지부의	복지부/NNG+의/JKG
완강한	완강하/VA+ㄴ/ETM
반대로	반대/NNG+로/JKB
이후	이후/NNG
국회	국회/NNG
예결위와	예결위/NNG+와/JC
본회의	본회/NNG+의/JKG
통과가	통과/NNG+가/JKS
불투명한	불투명하/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

복지부는	복지부/NNG+는/JX
여전히	여전히/MAG
올해	올해/NNG
예산보다	예산/NNG+보다/JKB
3	3/SN

7%	7/SN+%/SW
증액된	증액되/VV+ㄴ/ETM
3024억원	3024/SN+억/NR+원/NNB
편성을	편성/NNG+을/JKO
고집하고	고집하/VV+고/EC
있어	있/VX+어/EC
예산	예산/NNG
증액이	증액/NNG+이/JKS
물거품	물거품/NNG
될	되/VV+ㄹ/ETM
위기에	위기/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
것	것/NNB

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
남병준	남병준/NNG
정책실장은	정책실장/NNG+은/JX
“20일	“/SL+20/SN+일/NNB
예산	예산/NNG
증액	증액/NNG
결정이	결정/NNG+이/JKS
났지만	나/VV+았/EP+지만/EC
복지부가	복지부/NNG+가/JKS
강하게	강하/VA+게/EC
반대하고	반대하/VV+고/EC
있어	있/VX+어/EC
물거품	물거품/NNG
될	되/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
크다	크/VA+다/EC

복지부는	복지부/NNG+는/JX
계속	계속/MAG
119벨	119/SN+벨/NNG
설치만을	설치/NNG+만/JX+을/JKO
대책으로	대책/NNG+으로/JKB
내세우고	내세우/VV+고/EC
있어	있/VX+어/EC
답답한	답답하/VA+ㄴ/ETM
실정”이라며	실정”/NNG+이/VCP+라며/EC
“이전	“/SL+이전/NNG
탈시설	탈시설/NNG
초기정착금도	초기정착금/NNG+도/JX
국회까지	국회/NNG+까지/JX
갔었지만	가/VV+았었/EP+지만/EC
