장애인단체,	장애인단체/NNG+,/SP
공직선거법	공직선거법/NNG
‘헌법소원’	‘/SN+헌법소원/NNG+’/SN

대선을	대선/NNG+을/JKO
30여일	30/SN+여/XSN+일/NNB
앞두고	앞두/VV+고/EC
장애인	장애인/NNG
단체가	단체/NNG+가/JKS
시각장애인	시각장애인/NNG
참정권	참정권/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+여/EC
헌법소원을	헌법소원/NNG+을/JKO
제기하고	제기하/VV+고/EC
나서	나/VX+아서/EC
주목된다	주목되/VV+ㄴ다/EF

장애우권익문제연구소와	장애우권익문제연구소/NNG+와/JC
한국시각장애인연합회는	한국/NNP+시각장애인연합/NNG+회/XSN+는/JX
14일	14/SN+일/NNB
오전	오전/NNG
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
‘시각장애인	‘/SN+시각장애인/NNG
참정권	참정권/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+여/EC
공직선거법	공직선거법/NNG
헌법소원	헌법소원/NNG
기자회견’을	기자회견/NNG+’/SL+을/JKO
개최했다	개최하/VV+였/EP+다/EC

‘선거	‘/SN+선거/NNG
공보물’이	공보/NNG+물/XSN+’/SL+이/JKS
후보자와	후보자/NNG+와/JC
정당,	정당/NNG+,/SP
정책	정책/NNG
공약을	공약/NNG+을/JKO
손	손/NNG
쉽게	쉽/VA+게/EC
접	접/NNB
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수단임에도	수단/NNG+이/VCP+ㅁ에도/EC
불구하고	불구하/VV+고/EC
시각장애	시각장애/NNG
유권자의	유권자/NNG+의/JKG
경우	경우/NNG
점자형	점자형/NNG
선거공보물	선거공보물/NNG
제공이	제공/NNG+이/JKS
반드시	반드시/MAG
필요한	필요하/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

하지만	하지만/MAJ
공직선거법	공직선거법/NNG
제65조	제/XPN+65/SN+조/NR
제4항은	제/XPN+4/SN+항/NNG+은/JX
점자형	점자형/NNG
선거공보물의	선거공보물/NNG+의/JKG
제공이	제공/NNG+이/JKS
의무사항이	의무사항/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
후보자의	후보자/NNG+의/JKG
의사에	의사/NNG+에/JKB
