'유모차	'/SS+유모차/NNG
동선까지'	동선/NNG+까지/JX+'/SS
서울복지시설	서울/NNP+복지시설/NNG
디자인	디자인/NNG
기준	기준/NNG
확정	확정/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이슬기	이슬기/NNG
기자	기자/NNG
=	=/SW
집단	집단/NNG
기숙사가	기숙사/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
'소숙사(小宿舍)형'	'/SS+소숙사/NNP+(/SS+小宿舍/SL+)/SS+형/XSN+'/SS
아동양육시설,	아동양육시설/NNG+,/SP
화장실	화장실/NNG
자동문이	자동문/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
노인요양시설,	노인요양시설/NNG+,/SP
유모차	유모차/NNG
동선을	동선/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
어린이집까지…	어린이집/NNG+까지/JX+…/SE

서울시는	서울시/NNP+는/JX
시내	시내/NNG
어린이집과	어린이집/NNG+과/JC
양육시설,	양육시설/NNG+,/SP
노인요양시설,	노인요양시설/NNG+,/SP
장애인복지관	장애인복지관/NNG
등	등/NNB
이용자의	이용자/NNG+의/JKG
편의와	편의/NNG+와/JC
안전을	안전/NNG+을/JKO
위해	위하/VV+여/EC
각종	각종/NNG
시설	시설/NNG
디자인	디자인/NNG
기준을	기준/NNG+을/JKO
담은	담/VV+은/ETM
'복지시설	'/SS+복지시설/NNG
유니버설	유니버설/NNP
디자인'	디자인/NNG+'/SS
가이드라인을	가이드라인/NNG+을/JKO
확정,	확정/NNG+,/SP
설계	설계/NNG
지원	지원/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
적용을	적용/NNG+을/JKO
확대해나갈	확대하/VV+여/EC+나가/VX+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
29일	29/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

'유니버설	'/SS+유니버설/NNG
디자인'이란	디자인/NNG+'/SS+이/VCP+란/ETM
연령,	연령/NNG+,/SP
성별,	성별/NNG+,/SP
국적,	국적/NNG+,/SP
장애	장애/NNG
유무에	유무/NNG+에/JKB
관계없이	관계없이/MAG
누구나	누구/NP+나/JX
손쉽게	손쉽/VA+게/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품·사용환경을	제품/NNG+·/SP+사용환경/NNG+을/JKO
만드는	만들/VV+는/ETM
디자인을	디자인/NNG+을/JKO
