<황당	</SS+황당/NNG
뉴스>차별	뉴스/NNG+>/SS+차별/NNG
당하는	당하/VV+는/ETM
서비스	서비스/NNG
원숭이	원숭이/NNG

사람들은	사람/NNG+들/XSN+은/JX
장애인을	장애인/NNG+을/JKO
돕는	돕/VV+는/ETM
데	데/NNB
동물은	동물/NNG+은/JX
개밖에	개/NNB+밖에/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다	있/VX+다/EC

그러나	그러나/MAJ
흔치는	흔치/NNG+는/JX
않지만	않/VX+지만/EC
개뿐만이	개뿐/NNG+만/JX+이/JKC
아니라	아니/VCN+라/EC
당나귀도	당나귀/NNG+도/JX
있고	있/VA+고/EC
원숭이도	원숭이/NNG+도/JX
있다	있/VA+다/EC

이	이/MM
동물들은	동물/NNG+들/XSN+은/JX
개가	개/NNG+가/JKS
다	다/MAG
못하는	못하/VV+는/ETM
특수한	특수하/VA+ㄴ/ETM
일들을	일/NNG+들/XSN+을/JKO
해내곤	하/VV+여/EC+내/VX+곤/EC
한다	하/VX+ㄴ다/EF

특히	특히/MAG
원숭이는	원숭이/NNG+는/JX
개보다	개/NNG+보다/JKB
영특하고	영특하/VA+고/EC
손이	손/NNG+이/JKS
섬세해	섬세하/VA+여/EC
개가	개/NNG+가/JKS
담당하지	담당하/VV+지/EC
못하는	못하/VX+는/ETM
부분까지	부분/NNG+까지/JX
장애인을	장애인/NNG+을/JKO
돕곤	돕/VV+곤/EC
한다	하/VX+ㄴ다/EF

섬세한	섬세하/VA+ㄴ/ETM
손길을	손길/NNG+을/JKO
원하는	원하/VV+는/ETM
병뚜껑	병뚜껑/NNG
따기,	따/VV+기/ETN+,/SP
세수	세수/NNG
시켜	시키/VV+어/EC
주기,	주/VX+기/ETN+,/SP
마이크로	마이크로/NNG
웨이브에	웨이브/NNG+에/JKB
음식	음식/NNG
데우기	데우/VV+기/ETN
등	등/NNB
거의	거의/MAG
사람	사람/NNG
수준의	수준/NNG+의/JKG
심부름을	심부름/NNG+을/JKO
해	하/VV+여/EC
내곤	내/VX+곤/EC
한다	하/VX+ㄴ다/EF

미조리에	미조리/NNG+에/JKB
거주하는	거주하/VV+는/ETM
데비	데비/NNG
로스는	로스/NNP+는/JX
성격	성격/NNG
장애를	장애/NNG+를/JKO
가지고	가지/VV+고/EC
있다	있/VX+다/EC

그녀는	그녀/NP+는/JX
어디를	어디/NP+를/JKO
가든	가/VV+든/EC
불안에	불안/NNG+에/JKB
떨어서	떨/VV+어서/EC
병을	병/NNG+을/JKO
치료하기	치료하/VV+기/ETN
위해	위하/VV+여/EC
원숭이를	원숭이/NNG+를/JKO
구입했다	구입하/VV+였/EP+다/EC

