내달	내달/NNG
준공	준공/NNG
목표	목표/NNG
별내역	별내역/NNG
설계도면	설계도면/NNG
보니	보/VV+니/EF

경춘선	경춘선/NNP
복선전철은	복선전철/NNG+은/JX
상봉역에서	상봉역/NNP+에서/JKB
출발해	출발하/VV+여/EC
퇴계원,	퇴계원/NNP+,/SP
마석,	마석/NNG+,/SP
가평,	가평/NNP+,/SP
남춘천	남춘천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
춘천역까지	춘천역/NNP+까지/JX
운행	운행/NNG
중으로	중/NNB+으로/JKB
미개통	미개통/NNG
구간이	구간/NNG+이/JKS
있다	있/VA+다/EF

상봉역과	상봉역/NNP+과/JC
퇴계원역	퇴계원역/NNG
사이로	사이/NNG+로/JKB
현재	현재/MAG
별내역(남양주시	별/MM+내역/NNG+(/SS+남양주시/NNP
별내면	별내/VV+면/EC
화접리)의	화접리/NNG+)/SS+의/JKG
마무리	마무리/NNG
공사가	공사/NNG+가/JKS
한창이다	한창/NNG+이/VCP+다/EC

별내역은	별/MM+내역/NNG+은/JX
1층	1/SN+층/NNG
선하역사로	선하역사/NNG+로/JKB
건축총면적은	건축총면적/NNG+은/JX
2천70㎡로	2/SN+천/NR+70/SN+㎡/SW+로/JKB
지난해	지난해/NNG
10월	10/SN+월/NNB
착공해	착공하/VV+여/EC
오는	오/VX+는/ETM
12월	12/SN+월/NNB
중순	중순/NNG
준공을	준공/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다	있/VX+다/EC

사업비	사업비/NNG
261억원은	261/SN+억/NR+원/NNB+은/JX
LH(한국토지주택공사)가	LH/SL+(/SS+한국/NNP+토지주택공사/NNG+)/SS+가/JKS
전액	전액/NNG
부담한다	부담하/VV+ㄴ다/EF

암사역	암사역/NNG
8호선	8/SN+호/NNB+선/XSN
연장(2017년	연장/NNG+(/SS+2017/SN+년/NNB
개통	개통/NNG
예정),	예정/NNG+)/SS+,/SP
당고개	당고개/NNP
4호선	4/SN+호/NNB+선/XSN
연장(2018년	연장/NNG+(/SS+2018/SN+년/NNB
개통	개통/NNG
예정)이	예정/NNG+)/SS+이/JKS
개통되면	개통되/VV+면/EC
환승역이	환승역/NNG+이/JKC
된다	되/VV+ㄴ다/EF

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
별내역을	별내역/NNG+을/JKO
방문했을	방문하/VV+였/EP+을/ETM
때	때/NNG
승강장	승강장/NNG
지붕	지붕/NNG
씌우기	씌우/VV+기/ETN
및	및/MAG
내부	내부/NNG
공사가	공사/NNG+가/JKS
진행되고	진행되/VV+고/EC
있었다	있/VX+었/EP+다/EF

마무리	마무리/NNG
공사	공사/NNG
중이라	중/NNB+이/VCP+라/EC
장애인	장애인/NNG
편의시설이	편의시설/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지는	있/VX+지/EC+는/JX
않았지만,	않/VX+았/EP+지만/EC+,/SP
설계도면에서	설계도면/NNG+에서/JKB
문제가	문제/NNG+가/JKC
되는	되/VV+는/ETM
사안을	사안/NNG+을/JKO
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

먼저	먼저/MAG
장애인화장실은	장애인화장실/NNG+은/JX
남녀로	남녀/NNG+로/JKB
구분돼	구분되/VV+어/EC
각각	각각/MAG
비장애인화장실	비장애인화장실/NNG
입구에	입구/NNG+에/JKB
마련돼	마련되/VV+어/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
내부	내부/NNG
공간이	공간/NNG+이/JKS
전동휠체어	전동휠체어/NNG
및	및/MAG
전동스쿠터를	전동스쿠터/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
이동하기에는	이동하/VV+기/ETN+에/JKB+는/JX
협소해	협소하/VA+여/EC
보임에도	보이/VV+ㅁ에도/EC
어린이	어린이/NNG
변기가	변기/NNG+가/JKS
설치됐다	설치되/VV+었/EP+다/EF

비장애인화장실	비장애인화장실/NNG
안에	안/NNG+에/JKB
어린이	어린이/NNG
변기가	변기/NNG+가/JKS
있는	있/VA+는/ETM
점을	점/NNG+을/JKO
감안하면,	감안하/VV+면/EC+,/SP
굳이	굳이/MAG
설치하지	설치하/VV+지/EC
않아도	않/VX+아도/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보였다	보이/VV+었/EP+다/EF

제거하면	제거하/VV+면/EC
협소한	협소하/VA+ㄴ/ETM
장애인화장실	장애인화장/NNG+실/XSN
내부	내부/NNG
공간을	공간/NNG+을/JKO
더	더/MAG
넓게	넓/VA+게/EC
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
비장애인화장실	비장애인화장실/NNG
입구에	입구/NNG+에/JKB
설치하는	설치하/VV+는/ETM
점자블록은	점자블록/NNG+은/JX
부문별하게	부문별하/VA+게/EC
설계돼	설계되/VV+어/EC
있어	있/VX+어/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
이동	이동/NNG
불편이	불편/NNG+이/JKS
초래됐다	초래되/VV+었/EP+다/EF

점자블록은	점자블록/NNG+은/JX
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려	알리/VV+어/EC
주기	주/VX+기/ETN
위해	위하/VV+여/EC
입구	입구/NNG
벽면에	벽면/NNG+에/JKB
설치되는	설치되/VV+는/ETM
점자표지판의	점자표지판/NNG+의/JKG
밑바닥에만	밑바닥/NNG+에/JKB+만/JX
설치하면	설치하/VV+면/EC
된다	되/VV+ㄴ다/EF

공사현장	공사현장/NNG
관계자는	관계자/NNG+는/JX
설계도면상	설계도면/NNG+상/XSN
나타나는	나타나/VV+는/ETM
이	이/NP
같은	같/VA+은/ETM
문제점에	문제점/NNG+에/JKB
대해	대하/VV+여/EC
개선의	개선/NNG+의/JKG
