시각장애인은	시각장애인/NNG+은/JX
건널	건너/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
‘육교’	‘/SL+육교/NNG+’/SN

강원도	강원도/NNP
춘천시	춘천시/NNP
온의동	온의동/NNP
‘춘천시외버스터미널’	‘/SL+춘천시외버스터미널/NNG+’/SN
앞	앞/NNG
육교에	육교/NNG+에/JKB
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
편의시설	편의시설/NNG
설치가	설치/NNG+가/JKS
미흡하고,	미흡하/VA+고/EC+,/SP
관리도	관리/NNG+도/JX
안	안/MAG
되고	되/VV+고/EC
있다	있/VX+다/EC

육교에는	육교/NNG+에/JKB+는/JX
장애인을	장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
교통약자들을	교통약자/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
스쿠르방식의	스쿠르방식/NNG+의/JKG
수직형리프트가	수직형리프트/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지만	있/VX+지만/EC
버튼	버튼/NNG
밑에	밑/NNG+에/JKB
점자블록이	점자블록/NNG+이/JKS
없다	없/VA+다/EF

시각장애인의	시각장애인/NNG+의/JKG
경우	경우/NNG
버튼을	버튼/NNG+을/JKO
못	못/MAG
눌러	누르/VV+어/EC
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
처지에	처지/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

물론	물론/MAG
시각장애인의	시각장애인/NNG+의/JKG
경우	경우/NNG
육교의	육교/NNG+의/JKG
계단을	계단/NNG+을/JKO
이용할	이용하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
점자블록이	점자블록/NNG+이/JKS
없어	없/VA+어/EC
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
현실이다	현실/NNG+이/VCP+다/EC

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
수직형리프트	수직형리프트/NNP
내부에는	내부/NNG+에/JKB+는/JX
범죄	범죄/NNG
예방	예방/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
설치된	설치되/VV+ㄴ/ETM
CCTV가	CCTV/SL+가/JKS
없어져	없어지/VV+어/EC
버린	버리/VX+ㄴ/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
춘천시청	춘천시청/NNP
담당자는	담당자/NNG+는/JX
CCTV가	CCTV/SL+가/JKS
없어진	없어지/VV+ㄴ/ETM
줄	줄/NNB
모르고	모르/VV+고/EC
있었으며,	있/VX+었/EP+으며/EC+,/SP
현장에	현장/NNG+에/JKB
나가	나가/VV+아/EC
보겠다고	보/VX+겠/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

수직형리프트	수직형리프트/NNG
버튼	버튼/NNG
밑에	밑/NNG+에/JKB
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록/NNG+이/JKS
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
수직형리프트	수직형리프트/NNG
안내표지판	안내표지판/NNG

문구	문구/NNG
중	중/NNB
'장애우'라는	'/SS+장애우/NNG+'/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
'장애인'으로	'/SS+장애인/NNG+'/SS+으로/JKB
바꿔야	바꾸/VV+어야/EC
하며,	하/VX+며/EC+,/SP
엘리베이터도	엘리베이터/NNG+도/JX
'수직형리프트'라고	'/SS+수직형리프트/NNG+'/SS+라고/JKQ
해야	하/VV+여야/EC
한다	하/VX+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
수직형리프트	수직형리프트/NNG
내부에는	내부/NNG+에/JKB+는/JX
설치된	설치되/VV+ㄴ/ETM
CCTV가	CCTV/SL+가/JKS
없어진	없어지/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
