2013평창동계스페셜올림픽	2013/SN+평/NNB+창동계스페셜올/NNP+림픽/NNG
‘안전	‘/SN+안전/NNG
확보	확보/NNG
이상무!’	이상무/NNP+!/SF+’/SN

‘2013평창동계스페셜올림픽’	‘/SL+2013/SN+평/NNB+창동계스페셜올림픽/NNP+’/SN
안전	안전/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대테러	대/XPN+테러/NNG
등	등/NNB
종합훈련이	종합훈련/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
강원도	강원도/NNP
강릉	강릉/NNP
교동	교동/NNP
종합운동장	종합운동장/NNG
내	내/NNB
강릉빙상장에서	강릉/NNP+빙상장/NNG+에서/JKB
진행됐다	진행되/VV+었/EP+다/EF

강릉시와	강릉시/NNP+와/JC
강릉소방서가	강릉소방서/NNP+가/JKS
주관한	주관하/VV+ㄴ/ETM
이번	이번/NNG
종합훈련은	종합훈련/NNG+은/JX
내년	내년/NNG
1월	1/SN+월/NNB
강원도	강원도/NNP
강릉과	강릉/NNP+과/JC
평창	평창/NNP
등지에서	등지/NNB+에서/JKB
열릴	열리/VV+ㄹ/ETM
스페셜올림픽을	스페셜올림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
대회	대회/NNG
안전	안전/NNG
확보와	확보/NNG+와/JC
유관기관의	유관기관/NNG+의/JKG
대응	대응/NNG
태세를	태세/NNG+를/JKO
종합	종합/NNG
점검하기	점검하/VV+기/ETN
위해	위하/VV+여/EC
시행됐다	시행되/VV+었/EP+다/EF

훈련은	훈련/NNG+은/JX
생물테러	생물테러/VV
긴급구조	긴급구조/NNG
훈련,	훈련/NNG+,/SP
건물붕괴	건물붕괴/NNG
및	및/MAG
대형화재	대형화재/NNG
발생,	발생/NNG+,/SP
인명구조	인명구조/NNG
및	및/MAG
사상자	사상자/NNG
병의원	병의원/NNG
긴급이송	긴급이송/NNG
등의	등/NNB+의/JKG
유형으로	유형/NNG+으로/JKB
진행됐다	진행되/VV+었/EP+다/EF

군·경·소방서	군/NNG+·/SP+경/NNG+·/SP+소방서/NNG
등	등/NNB
19개	19/SN+개/NNB
기관단체	기관단체/NNG
306명이	306/SN+명/NNB+이/JKS
참가했으며,	참가하/VV+였/EP+으며/EC+,/SP
소방헬기	소방헬기/NNG
등	등/NNB
48대의	48/SN+대/NNB+의/JKG
장비가	장비/NNG+가/JKS
동원됐다	동원되/VV+었/EP+다/EF

2013평창동계스페셜올림픽은	2013/SN+평/NNB+창동계스페셜올림픽/NNP+은/JX
전	전/MM
세계	세계/NNG
지적발달	지적발달/NNG
장애인들에게	장애인/NNG+들/XSN+에게/JKB
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
스포츠	스포츠/NNG
훈련	훈련/NNG
기회를	기회/NNG+를/JKO
제공해	제공하/VV+여/EC
운동능력과	운동능력/NNG+과/JC
사회	사회/NNG
적응력을	적응력/NNG+을/JKO
향상시켜	향상/NNG+시키/XSV+어/EC
생산적인	생산적/NNG+이/VCP+ㄴ/ETM
사회구성원으로	사회구성원/NNG+으로/JKB
인정받도록	인정받/VV+도록/EC
하는	하/VX+는/ETM
데	데/NNB
기여하고자	기여하/VV+고자/EC
하는	하/VX+는/ETM
국제스포츠대회로	국제스포츠대회/NNG+로/JKB
오는	오/VV+는/ETM
내년	내년/NNG
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
8일간	8/SN+일/NNB+간/XSN
강원도	강원도/NNP
강릉	강릉/NNP
및	및/MAG
평창	평창/NNP
일대에서	일대/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF

화재가	화재/NNG+가/JKS
난	나/VV+ㄴ/ETM
건물에	건물/NNG+에/JKB
소방차가	소방차/NNG+가/JKS
긴급	긴급/NNG
출동해	출동하/VV+여/EC
진화를	진화/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다	있/VX+다/EC

ⓒ2013평창동계스페셜올림픽	ⓒ/SL+2013/SN+평/NNB+창동계스페셜올/NNP+림픽/NNG
세계대회	세계대회/NNG
조직위원회	조직위원회/NNG
119소방대원들이	119/SN+소방대원/NNG+들/XSN+이/JKS
심폐소생술	심폐소생술/NNG
시범을	시범/NNG+을/JKO
보이고	보이/VV+고/EC
있다	있/VX+다/EC

ⓒ2013평창동계스페셜올림픽	ⓒ/SL+2013/SN+평/NNB+창동계스페셜올/NNP+림픽/NNG
세계대회	세계대회/NNG
조직위원회	조직위원회/NNG
화재가	화재/NNG+가/JKS
난	나/VV+ㄴ/ETM
건물	건물/NNG
옥상에서	옥상/NNG+에서/JKB
헬기로	헬기/NNG+로/JKB
인명을	인명/NNG+을/JKO
구조하고	구조하/VV+고/EC
있다	있/VX+다/EC

ⓒ2013평창동계스페셜올림픽	ⓒ/SL+2013/SN+평/NNB+창동계스페셜올/NNP+림픽/NNG
세계대회	세계대회/NNG
조직위원회	조직위원회/NNG
